seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,delta_auroc_vs_C+F+R0,delta_auprc_vs_C+F+R0,brier_improvement_vs_C+F+R0,delta_auroc_vs_C+F,delta_auprc_vs_C+F,brier_improvement_vs_C+F,timing,delta_auroc_vs_cf_r0,delta_auroc
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,NONE,C+F,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6880274442538593,0.538897485664505,0.646483704974271,0.2356217123236572,0.021921097770154385,0.08764578829899333,-0.025881821439069502,0.0,0.0,0.0,T0,0.021921097770154385,0.021921097770154385
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R0,C+F+R0,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6661063464837049,0.4512516973655117,0.6393653516295026,0.2097398908845877,0.0,0.0,0.0,-0.021921097770154385,-0.08764578829899333,0.025881821439069502,T0,0.0,0.0
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R1,C+F+R1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6128301886792453,0.4169922723638968,0.5954545454545455,0.23718891593648392,-0.0532761578044596,-0.034259425001614885,-0.027449025051896225,-0.07519725557461399,-0.12190521330060822,-0.001567203612826723,T0,-0.0532761578044596,-0.0532761578044596
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R2,C+F+R2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6214065180102917,0.4137697123495817,0.5813893653516296,0.22968759840528408,-0.04469982847341325,-0.037481985015929975,-0.019947707520696384,-0.06662092624356764,-0.1251277733149233,0.005934113918373118,T0,-0.04469982847341325,-0.04469982847341325
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R3,C+F+R3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6773584905660377,0.472820473898101,0.648713550600343,0.2065814719448033,0.011252144082332771,0.021568776532589318,0.0031584189397843854,-0.010668953687821614,-0.06607701176640401,0.029040240378853888,T0,0.011252144082332771,0.011252144082332771
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R4,C+F+R4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6158490566037735,0.38844521327341774,0.5995711835334476,0.23254974264101144,-0.05025728987993139,-0.06280648409209394,-0.02280985175642375,-0.07217838765008577,-0.15045227239108727,0.003071969682645753,T0,-0.05025728987993139,-0.05025728987993139
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R5,C+F+R5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6167066895368782,0.384310101743755,0.5989708404802745,0.23947766553562724,-0.04939965694682669,-0.06694159562175667,-0.02973777465103955,-0.07132075471698107,-0.15458738392075,-0.003855953211970048,T0,-0.04939965694682669,-0.04939965694682669
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R5_RP192,C+F+R5_RP192,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6405831903945112,0.413851373204667,0.6158662092624356,0.21825695275928433,-0.025523156089193755,-0.03740032416084471,-0.008517061874696641,-0.04744425385934814,-0.12504611245983804,0.01736475956437286,T0,-0.025523156089193755,-0.025523156089193755
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,S1,C+F+S1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6244596912521441,0.41305389103573475,0.5987993138936535,0.21468401305112328,-0.04164665523156086,-0.03819780632977693,-0.004944122166535586,-0.06356775300171524,-0.12584359462877026,0.020937699272533916,T0,-0.04164665523156086,-0.04164665523156086
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,S2,C+F+S2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6319725557461406,0.4283960720539074,0.5703259005145798,0.22439049193903665,-0.034133790737564285,-0.02285562531160429,-0.014650601054448958,-0.05605488850771867,-0.11050141361059762,0.011231220384620544,T0,-0.034133790737564285,-0.034133790737564285
