row_type,seed,arm,view,target,population,source,variant,candidate,reference,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier,r0_auroc,candidate_auroc,numerator_auroc_uplift,published_fixed_p3_auroc,published_peri20_auroc,published_oracle_uplift,recovery_ratio,recovery_defined,representation_note,matched_patient_sha256
matched_metric,3026,LOCAL0,T0-T1,pCR,ftv_complete_375,MaskFree,R3,,,375,110,265,0.5334819897084048,0.32427158992835897,0.5044596912521441,0.2678676944678578,,,,,,,,,raw regional mean (mask-free readout),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
matched_metric,3026,LOCAL0,T0-T1,pCR,ftv_complete_375,MaskFree,R5,,,375,110,265,0.5173584905660378,0.32798448069965014,0.5301029159519726,0.28490815101034944,,,,,,,,,raw regional mean (mask-free readout),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
recovery,2026,LOCAL0,T0-T1,pCR,ftv_complete_375,MatchedRecovery,R1,R1,R0,375,110,265,,,,,0.55368782161235,0.5162264150943396,-0.03746140651801033,0.5206861063464837,0.5563636363636363,0.03567753001715257,-1.0500000000000038,True,numerator raw regional means vs raw R0; denominator published PERI20(mean+std) vs FIXED_P3(mean+std),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
recovery,2026,LOCAL0,T0-T1,pCR,ftv_complete_375,MatchedRecovery,R2,R2,R0,375,110,265,,,,,0.55368782161235,0.5735849056603773,0.01989708404802737,0.5206861063464837,0.5563636363636363,0.03567753001715257,0.5576923076923069,True,numerator raw regional means vs raw R0; denominator published PERI20(mean+std) vs FIXED_P3(mean+std),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
recovery,2026,LOCAL0,T0-T1,pCR,ftv_complete_375,MatchedRecovery,R3,R3,R0,375,110,265,,,,,0.55368782161235,0.5463464837049743,-0.007341337907375678,0.5206861063464837,0.5563636363636363,0.03567753001715257,-0.20576923076923226,True,numerator raw regional means vs raw R0; denominator published PERI20(mean+std) vs FIXED_P3(mean+std),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
recovery,2026,LOCAL0,T0-T1,pCR,ftv_complete_375,MatchedRecovery,R5,R5,R0,375,110,265,,,,,0.55368782161235,0.5529331046312178,-0.0007547169811321641,0.5206861063464837,0.5563636363636363,0.03567753001715257,-0.02115384615384869,True,numerator raw regional means vs raw R0; denominator published PERI20(mean+std) vs FIXED_P3(mean+std),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
bridge,2026,LOCAL0,T0-T1,pCR,ftv_complete_375,Goal5_Bridge,PERI20_minus_P1,PERI20,P1,375,110,265,,,,,0.55368782161235,0.5563636363636363,0.0026758147512863095,,,,,,bridge diagnostic only; not the recovery denominator,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
recovery,3026,LOCAL0,T0-T1,pCR,ftv_complete_375,MatchedRecovery,R1,R1,R0,375,110,265,,,,,0.5554373927958833,0.5207204116638079,-0.03471698113207544,0.5007204116638079,0.5339965694682676,0.033276157804459694,-1.043298969072164,True,numerator raw regional means vs raw R0; denominator published PERI20(mean+std) vs FIXED_P3(mean+std),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
recovery,3026,LOCAL0,T0-T1,pCR,ftv_complete_375,MatchedRecovery,R2,R2,R0,375,110,265,,,,,0.5554373927958833,0.5284391080617497,-0.026998284734133682,0.5007204116638079,0.5339965694682676,0.033276157804459694,-0.8113402061855637,True,numerator raw regional means vs raw R0; denominator published PERI20(mean+std) vs FIXED_P3(mean+std),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
recovery,3026,LOCAL0,T0-T1,pCR,ftv_complete_375,MatchedRecovery,R3,R3,R0,375,110,265,,,,,0.5554373927958833,0.5334819897084048,-0.021955403087478564,0.5007204116638079,0.5339965694682676,0.033276157804459694,-0.6597938144329898,True,numerator raw regional means vs raw R0; denominator published PERI20(mean+std) vs FIXED_P3(mean+std),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
recovery,3026,LOCAL0,T0-T1,pCR,ftv_complete_375,MatchedRecovery,R5,R5,R0,375,110,265,,,,,0.5554373927958833,0.5173584905660378,-0.03807890222984556,0.5007204116638079,0.5339965694682676,0.033276157804459694,-1.1443298969072144,True,numerator raw regional means vs raw R0; denominator published PERI20(mean+std) vs FIXED_P3(mean+std),64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
bridge,3026,LOCAL0,T0-T1,pCR,ftv_complete_375,Goal5_Bridge,PERI20_minus_P1,PERI20,P1,375,110,265,,,,,0.5554373927958833,0.5339965694682676,-0.021440823327615766,,,,,,bridge diagnostic only; not the recovery denominator,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
