seed,arm,context,view,timing,target,population,candidate,reference_model,comparison_model,metric,reference,comparison,estimate,improvement,delta_auroc,ci_lower,ci_upper,confidence_level,n_patients,n_folds,n_bootstrap,n_valid_bootstrap,bootstrap_unit,ci_method,orientation,bootstrap_seed
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R2,R0,R2,auprc,0.3577654974097515,0.3659115931515594,0.008146095741807913,0.008146095741807913,,-0.029322462824588388,0.044408195670792634,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R2,R0,R2,brier,0.30851901993309533,0.2544925494968326,0.05402647043626274,0.05402647043626274,,0.03641192540394296,0.07128584893179372,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,auroc,0.694648370497427,0.6806518010291596,-0.013996569468267439,-0.013996569468267439,-0.013996569468267439,-0.05863022104046325,0.031807622917227614,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,auprc,0.47332108710912113,0.46931408878468844,-0.004006998324432687,-0.004006998324432687,,-0.06011164990455037,0.05257969006946677,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R2,C+F+R0,C+F+R2,brier,0.20291466374104608,0.214378077142403,-0.011463413401356926,-0.011463413401356926,,-0.029424969218239394,0.005586104186164803,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R3,R0,R3,auroc,0.5227358007845813,0.5542623230428109,0.031526522258229606,0.031526522258229606,0.031526522258229606,-0.006190792738344721,0.06846721706327993,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R3,R0,R3,auprc,0.3577654974097515,0.3666515303250744,0.008886032915322917,0.008886032915322917,,-0.02430747500199636,0.04159858930900721,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,MRI_ONLY,T0-T1,T0-T1,pCR,full_808,R3,R0,R3,brier,0.30851901993309533,0.289055999847217,0.019463020085878302,0.019463020085878302,,-0.0002495570408982039,0.039033988580767134,0.95,808,5,2000,2000,patient_within_outer_fold,percentile,reference - comparison (lower Brier is better),260811
2026,LOCAL0,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,auroc,0.694648370497427,0.700548885077187,0.005900514579760041,0.005900514579760041,0.005900514579760041,-0.016523539425297586,0.029127853278796734,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
2026,LOCAL0,C_PLUS_F,T0-T1,T0-T1,pCR,ftv_complete_375,R3,C+F+R0,C+F+R3,auprc,0.47332108710912113,0.48709696648301926,0.013775879373898126,0.013775879373898126,,-0.022022840387526735,0.04923826381318293,0.95,375,5,2000,2000,patient_within_outer_fold,percentile,comparison - reference,260811
