seed,arm,context,view,timing,timing_label,target,population,variant,reference,auroc,reference_auroc,delta_auroc_vs_r0
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R0,R0,0.5345522769913014,0.5345522769913014,0.0
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R1,R0,0.534320313832509,0.5345522769913014,-0.00023196315879236984
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R2,R0,0.5311615214054238,0.5345522769913014,-0.0033907555858775362
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R3,R0,0.5548626982773324,0.5345522769913014,0.020310421286031
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R4,R0,0.5238887941326966,0.5345522769913014,-0.010663482858604745
2026,LOCAL0,MRI_ONLY,T0-T3,T0-T3,late/pre-surgery,pCR,full_808,R5,R0,0.5286781511171755,0.5345522769913014,-0.005874125874125835
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R0,R0,0.5017495711835335,0.5017495711835335,0.0
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R1,R0,0.444631217838765,0.5017495711835335,-0.05711835334476845
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R2,R0,0.5087478559176672,0.5017495711835335,0.006998284734133775
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R3,R0,0.5383876500857633,0.5017495711835335,0.03663807890222981
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R4,R0,0.45999999999999996,0.5017495711835335,-0.04174957118353351
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,ftv_complete_375,R5,R0,0.5131732418524871,0.5017495711835335,0.011423670668953667
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R0,R0,0.5208732730683949,0.5208732730683949,0.0
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R1,R0,0.49273068395019615,0.5208732730683949,-0.02814258911819878
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R2,R0,0.5185604639263175,0.5208732730683949,-0.002312809142077432
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R3,R0,0.547760532150776,0.5208732730683949,0.0268872590823811
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R4,R0,0.5073852976292,0.5208732730683949,-0.013487975439194888
2026,LOCAL3,MRI_ONLY,T0,T0,,pCR,full_808,R5,R0,0.4915708681562341,0.5208732730683949,-0.02930240491216085
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R0,R0,0.5935849056603774,0.5935849056603774,0.0
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R1,R0,0.5241852487135505,0.5935849056603774,-0.06939965694682682
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R2,R0,0.5777015437392796,0.5935849056603774,-0.01588336192109774
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R3,R0,0.605180102915952,0.5935849056603774,0.011595197255574674
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R4,R0,0.5430531732418525,0.5935849056603774,-0.05053173241852482
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,ftv_complete_375,R5,R0,0.5590051457975986,0.5935849056603774,-0.034579759862778725
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R0,R0,0.5365580760702713,0.5365580760702713,0.0
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R1,R0,0.5034009892546478,0.5365580760702713,-0.03315708681562346
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R2,R0,0.5276616066859969,0.5365580760702713,-0.008896469384274353
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R3,R0,0.554132696571721,0.5365580760702713,0.017574620501449756
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R4,R0,0.49565069077264196,0.5365580760702713,-0.04090738529762933
2026,LOCAL3,MRI_ONLY,T0-T1,T0-T1,,pCR,full_808,R5,R0,0.5167047586559781,0.5365580760702713,-0.019853317414293192
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R0,R0,0.5541680960548885,0.5541680960548885,0.0
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R1,R0,0.5498799313893653,0.5541680960548885,-0.004288164665523175
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R2,R0,0.5455231560891939,0.5541680960548885,-0.008644939965694598
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R3,R0,0.5713207547169812,0.5541680960548885,0.0171526586620927
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R4,R0,0.5517667238421955,0.5541680960548885,-0.002401372212692987
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,ftv_complete_375,R5,R0,0.5479588336192109,0.5541680960548885,-0.006209262435677543
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R0,R0,0.5069895957700836,0.5069895957700836,0.0
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R1,R0,0.5430598669623059,0.5069895957700836,0.03607027119222228
2026,LOCAL3,MRI_ONLY,T0-T2,T0-T2,,pCR,full_808,R2,R0,0.5056114617090227,0.5069895957700836,-0.0013781340610609094
