seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,timing,r0_auroc,delta_auroc_vs_r0,delta_auroc
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R0,R0,ftv_complete_375,,375,110,265,2,0.49653516295025724,0.2926906061186707,0.4959691252144082,0.28292527530141204,T0,0.49653516295025724,0.0,0.0
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R0,R0,full_808,,808,275,533,2,0.5276138495650691,0.36391414531614774,0.5323759167661606,0.24346388988206344,T0,0.5276138495650691,0.0,0.0
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R1,R1,ftv_complete_375,,375,110,265,2,0.46054888507718694,0.2957783153461094,0.49982847341337905,0.2990100880114596,T0,0.49653516295025724,-0.035986277873070294,-0.035986277873070294
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R1,R1,full_808,,808,275,533,2,0.516213542555006,0.36549439054006383,0.49526522258229577,0.26162845129092677,T0,0.5276138495650691,-0.011400307010063115,-0.011400307010063115
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R2,R2,ftv_complete_375,,375,110,265,2,0.47907375643224703,0.29302254759583557,0.47109777015437393,0.27343180290705,T0,0.49653516295025724,-0.017461406518010203,-0.017461406518010203
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R2,R2,full_808,,808,275,533,2,0.510550912502132,0.3551217800441234,0.5007027119222242,0.2633187522115801,T0,0.5276138495650691,-0.017062937062937045,-0.017062937062937045
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R3,R3,ftv_complete_375,,375,110,265,2,0.52590051457976,0.3279607533077439,0.5187821612349914,0.23349621389190003,T0,0.49653516295025724,0.02936535162950271,0.02936535162950271
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R3,R3,full_808,,808,275,533,2,0.5660037523452157,0.39427116120857936,0.5351697083404401,0.22836003087045775,T0,0.5276138495650691,0.038389902780146645,0.038389902780146645
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R4,R4,ftv_complete_375,,375,110,265,2,0.4856946826758147,0.29206805524544466,0.4867924528301887,0.28329878264048947,T0,0.49653516295025724,-0.01084048027444251,-0.01084048027444251
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R4,R4,full_808,,808,275,533,2,0.49998976633122977,0.3493055408023153,0.5013201432713628,0.2784209253409715,T0,0.5276138495650691,-0.027624083233839303,-0.027624083233839303
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R5,R5,ftv_complete_375,,375,110,265,2,0.48682675814751286,0.2965515649592182,0.5037735849056604,0.27044716365536253,T0,0.49653516295025724,-0.009708404802744375,-0.009708404802744375
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R5,R5,full_808,,808,275,533,2,0.49943032577178925,0.34021342303055013,0.5201500938086304,0.3093572605188356,T0,0.5276138495650691,-0.02818352379327982,-0.02818352379327982
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R5_RP192,R5_RP192,ftv_complete_375,,375,110,265,2,0.4732075471698113,0.28367324965235075,0.5042881646655232,0.2928267670044466,T0,0.49653516295025724,-0.023327615780445954,-0.023327615780445954
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,R5_RP192,R5_RP192,full_808,,808,275,533,2,0.5233839331400307,0.3625937979699092,0.504455057137984,0.2651762794830043,T0,0.5276138495650691,-0.004229916425038338,-0.004229916425038338
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S1,S1,ftv_complete_375,,375,110,265,2,0.4693310463121785,0.2805126951460573,0.47512864493996565,0.2790826446259747,T0,0.49653516295025724,-0.027204116638078757,-0.027204116638078757
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S1,S1,full_808,,808,275,533,2,0.5208118710557734,0.36623950879827377,0.5020262664165103,0.25381976480168533,T0,0.5276138495650691,-0.0068019785092956475,-0.0068019785092956475
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S2,S2,ftv_complete_375,,375,110,265,2,0.46373927958833616,0.2753799235961175,0.437221269296741,0.30740794021798923,T0,0.49653516295025724,-0.032795883361921074,-0.032795883361921074
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S2,S2,full_808,,808,275,533,2,0.5067166979362101,0.3534866001765125,0.48787651373017227,0.2630437131721705,T0,0.5276138495650691,-0.020897151628858968,-0.020897151628858968
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S3,S3,ftv_complete_375,,375,110,265,2,0.513138936535163,0.30954142507985044,0.4983704974271012,0.25928246065676314,T0,0.49653516295025724,0.016603773584905723,0.016603773584905723
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S3,S3,full_808,,808,275,533,2,0.5592972880777759,0.3833348353179353,0.5213099096025925,0.22778520077029488,T0,0.5276138495650691,0.03168343851270683,0.03168343851270683
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S4,S4,ftv_complete_375,,375,110,265,2,0.4861406518010292,0.2987668739672121,0.5075471698113208,0.30156601537769334,T0,0.49653516295025724,-0.010394511149228014,-0.010394511149228014
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S4,S4,full_808,,808,275,533,2,0.5373153675592699,0.38551496234406896,0.5142793791574279,0.2625310322098473,T0,0.5276138495650691,0.009701517994200826,0.009701517994200826
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S5,S5,ftv_complete_375,,375,110,265,2,0.4608919382504288,0.2829907348198767,0.5062607204116638,0.30106918053517606,T0,0.49653516295025724,-0.035643224699828446,-0.035643224699828446
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0,,pCR,S5,S5,full_808,,808,275,533,2,0.5440900562851783,0.3887400270858599,0.5327409176189664,0.2768883452225217,T0,0.5276138495650691,0.016476206720109188,0.016476206720109188
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R0,R0,ftv_complete_375,,375,110,265,2,0.55368782161235,0.3456184055739495,0.5783876500857632,0.22922756783198142,T0-T1,0.55368782161235,0.0,0.0
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R0,R0,full_808,,808,275,533,2,0.5227358007845813,0.3577654974097515,0.5105270339416681,0.30851901993309533,T0-T1,0.5227358007845813,0.0,0.0
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R1,R1,ftv_complete_375,,375,110,265,2,0.5162264150943396,0.3288632551803481,0.5602915951972556,0.24010485137209472,T0-T1,0.55368782161235,-0.03746140651801033,-0.03746140651801033
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R1,R1,full_808,,808,275,533,2,0.5256216953777929,0.37059730406794256,0.5375575643868327,0.2607720907264422,T0-T1,0.5227358007845813,0.0028858945932116464,0.0028858945932116464
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R2,R2,ftv_complete_375,,375,110,265,2,0.5735849056603773,0.3944606110499306,0.5801029159519726,0.22596529417179273,T0-T1,0.55368782161235,0.01989708404802737,0.01989708404802737
2026,LOCAL0,mri_only_pcr,MRI_ONLY,T0-T1,,pCR,R2,R2,full_808,,808,275,533,2,0.5297015179942008,0.3659115931515594,0.5136790039229063,0.2544925494968326,T0-T1,0.5227358007845813,0.006965717209619582,0.006965717209619582
