seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,visit,r0_auroc,delta_auroc_vs_r0
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,R0,R0,full_808,,808,201.0,607.0,2,0.5319202996549378,0.28676696018568615,0.5171260665371659,0.25907296830928056,T0,0.5319202996549378,0.0
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,R1,R1,full_808,,808,201.0,607.0,2,0.5169621415164704,0.2568690822724317,0.5202693288090028,0.2669320702816364,T0,0.5319202996549378,-0.014958158138467459
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,R2,R2,full_808,,808,201.0,607.0,2,0.5543452424860869,0.2817941586309207,0.5322481496963289,0.24811175077865458,T0,0.5319202996549378,0.022424942831149042
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,R3,R3,full_808,,808,201.0,607.0,2,0.515068807527437,0.2658482877293156,0.49829517978476645,0.26274535749752836,T0,0.5319202996549378,-0.01685149212750081
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,R4,R4,full_808,,808,201.0,607.0,2,0.5361987426950913,0.2754374256386788,0.5382109223241289,0.26916071808114655,T0,0.5319202996549378,0.004278443040153457
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,R5,R5,full_808,,808,201.0,607.0,2,0.5429688460498169,0.28123051555036616,0.5305843107362692,0.2851680919714772,T0,0.5319202996549378,0.011048546394879066
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,R5_RP192,R5_RP192,full_808,,808,201.0,607.0,2,0.5506651257714721,0.2881112091015814,0.5445384281229766,0.2676372732517477,T0,0.5319202996549378,0.018744826116534274
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,S1,S1,full_808,,808,201.0,607.0,2,0.511069037022466,0.2562928024952329,0.5334161154687845,0.254607905181235,T0,0.5319202996549378,-0.020851262632471834
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,S2,S2,full_808,,808,201.0,607.0,2,0.5509028170514806,0.2733408393624329,0.5482103485865565,0.2508496428794879,T0,0.5319202996549378,0.018982517396542775
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,S3,S3,full_808,,808,201.0,607.0,2,0.5286663879941316,0.2787638106641913,0.5015736801986771,0.2736913236507319,T0,0.5319202996549378,-0.0032539116608062413
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,S4,S4,full_808,,808,201.0,607.0,2,0.5186669617317039,0.26825401851216785,0.5291171818010442,0.26586719658516433,T0,0.5319202996549378,-0.01325333792323391
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HER2,S5,S5,full_808,,808,201.0,607.0,2,0.5181915791716869,0.2716598211883915,0.5063684870540215,0.29839605842063666,T0,0.5319202996549378,-0.013728720483250911
2026,LOCAL0,phenotype,MRI_ONLY_STATIC,T0,,HR,R0,R0,full_808,,808,453.0,355.0,2,0.5142430743400803,0.5737618160543423,0.5034636072505674,0.2936692882854736,T0,0.5142430743400803,0.0
