seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,timing,c_auroc,c_auprc,c_brier,delta_auroc_vs_C,delta_auprc_vs_C,brier_improvement_vs_C
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,NONE,C,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,0.0,0.0,0.0
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R0,C+R0,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6113550600343054,0.37985486050521994,0.6155231560891938,0.25786649929750105,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.08531732418524873,-0.15635772689476274,-0.014771404754560347
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R1,C+R1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6376672384219554,0.41825022969094083,0.6000857632933105,0.21686900896041839,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.059005145797598746,-0.11796235770904184,0.026226085582522318
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R2,C+R2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6065866209262436,0.37335200314127603,0.6043739279588336,0.2550429466825387,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.09008576329331053,-0.16286058425870664,-0.011947852139597981
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R3,C+R3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6797941680960549,0.4754420621385667,0.6506003430531733,0.2059440396124067,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.016878216123499268,-0.060770525261415964,0.037151054930534
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R4,C+R4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6173927958833618,0.39286490121207485,0.589451114922813,0.23155961070333775,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.07927958833619231,-0.14334768618790783,0.011535483839602956
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R5,C+R5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.613893653516295,0.3995549865696894,0.6084048027444253,0.24479249710313555,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.08277873070325914,-0.13665760083029327,-0.0016974025601948495
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R5_RP192,C+R5_RP192,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6425728987993138,0.4148104915587295,0.6264150943396226,0.21736534796377896,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.054099485420240345,-0.12140209584125317,0.025729746579161744
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,S1,C+S1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6232590051457977,0.41289189776155966,0.5992281303602058,0.21459059436360617,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.07341337907375645,-0.12332068963842302,0.028504500179334535
2026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,S2,C+S2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6179759862778731,0.41961848527056306,0.5714408233276158,0.2308354335279764,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.07869639794168104,-0.11659410212941962,0.012259661014964313
