seed,arm,variant,feature_dim,task,endpoint,view,target,analysis_scope,target_semantics,aggregation,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias,timing
2026,LOCAL0,R0,128,delta,T0_to_T1,T0_to_T1,delta_FTV,observable_only,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,366,0.4975486629654808,0.29969973316857906,0.07191634954544146,23.207135350532983,11.958016125469667,24.222567386068665,0.04192090868615751,0.1819268127438973,0.1278305659728347,-8.469954163026262,1.027120244570015,T0_to_T1
2026,LOCAL0,R0,128,delta,T0_to_T1,T0_to_T1,delta_FTV,primary_measurement_valid,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,375,0.504583456593469,0.3047279219092857,0.08738064668090717,24.199237899719247,12.368747063653107,25.477864188497076,0.050185772218501436,0.14181476529429923,0.11475535882171053,-9.31266094259539,0.4498034073177558,T0_to_T1
2026,LOCAL0,R0,128,delta,T1_to_T2,T1_to_T2,delta_FTV,observable_only,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,365,0.425986185384344,0.4710963355692388,0.221510463176681,14.990053787427389,8.653572799996448,17.02259769956717,0.11940268741658999,0.23897217030915327,0.23029440662603962,-6.360406577794046,0.1750643371370058,T1_to_T2
2026,LOCAL0,R0,128,delta,T1_to_T2,T1_to_T2,delta_FTV,primary_measurement_valid,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,375,0.41339219478894074,0.4859468347092007,0.23487323133877047,15.039254583458783,8.791851837969402,17.219808801872187,0.12663057084445256,0.2032051225807076,0.21905646930614067,-6.604035501162549,0.10111173767628823,T1_to_T2
2026,LOCAL0,R0,128,delta,T2_to_T3,T2_to_T3,delta_FTV,observable_only,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,371,0.24710565708739782,0.1572257487938093,0.016558285431560904,21.903189498077055,7.525539392347373,22.209881182479446,0.01380879446776731,0.0584906525620875,0.03802479707813096,-4.834331442714049,-0.6986754524041787,T2_to_T3
2026,LOCAL0,R0,128,delta,T2_to_T3,T2_to_T3,delta_FTV,primary_measurement_valid,literal_ftv_end_minus_ftv_start,pooled_outer_test_folds,375,0.2332317669814541,0.10411300021903581,-0.00044406996937840226,27.395732051304215,9.214271061309864,27.537956917151757,0.00516468473951887,0.04330444970616904,0.02166562509454566,-5.889484120823452,-0.5943430958205616,T2_to_T3
2026,LOCAL0,R0,128,static,T0,T0,FTV,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,374,0.7680342934151482,0.6784121223873396,0.3780487950829886,33.57010938988043,14.85007304297839,42.67940335287805,0.21343536336909316,0.20801924741314326,0.3094178471099448,11.908571912659413,-7.7054367371246695,T0
2026,LOCAL0,R0,128,static,T0,T0,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.7693180111503014,0.6810894296608792,0.38049583890246497,33.582531400972925,14.918026395355945,42.77656700591202,0.21493159101964437,0.20893729385525434,0.31132365672594575,11.913979194037765,-7.775943343619345,T0
2026,LOCAL0,R0,128,static,T1,T1,FTV,observable_only,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,367,0.5210110778576853,0.22171182189846944,-0.2562426747002482,38.297418125040124,12.783207014049312,34.34636987087729,-0.11503539585162907,0.5696001770316028,0.16733003756659484,8.679819189231857,-4.987107781396872,T1
2026,LOCAL0,R0,128,static,T1,T1,FTV,primary_measurement_valid,static_ftv_log_winsor_median_iqr_inverse_natural,pooled_outer_test_folds,375,0.531703493002617,0.241671253526527,-0.24330093888141113,42.013632516712896,13.789413558395388,37.95576601319648,-0.10691040992574287,0.5965370938551247,0.18665675946327495,8.94578785952817,-5.338945007266471,T1
