target,model,spatial,timing,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,positive,n_folds,ece_bin_contract,auroc,auprc,brier,calibration_slope,calibration_intercept,ece_10bin
HER2,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,201,5,"10_equal_width_bins_[0,1]",0.5585253305138229,0.29407889052403136,0.27464862731382145,1.0,-4.44484233075801,0.2689906458971011
HER2,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,201,5,"10_equal_width_bins_[0,1]",0.5790018038133337,0.3166971581737125,0.2746592248284716,1.2624916309589005,-1.1114556020540838,0.2739883010700867
HER2,dinov3_vitb16_lvd1689m_posthoc,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,201,5,"10_equal_width_bins_[0,1]",0.5378502872785987,0.27460267150641726,0.26362932755285745,0.1641956406987141,-1.087487073460098,0.23827884402260088
HER2,dinov3_vitb16_lvd1689m_posthoc,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,201,5,"10_equal_width_bins_[0,1]",0.5337116000530634,0.2831678715667051,0.26361160462704375,0.12426396220961614,-1.1103618227804655,0.24943228240026113
HR,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,453,5,"10_equal_width_bins_[0,1]",0.5052949040823307,0.5863915063362433,0.3514352421030437,1.0,-3.100543534023123,0.2553006915648449
HR,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,453,5,"10_equal_width_bins_[0,1]",0.508097153672271,0.5869015925807617,0.35165840233386325,0.8350430080325999,-1.8578122649294517,0.2652471650328578
HR,dinov3_vitb16_lvd1689m_posthoc,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,453,5,"10_equal_width_bins_[0,1]",0.5766937163821784,0.6080132023621023,0.2853229654559834,1.0,-4.176591370454032,0.16748441000536715
HR,dinov3_vitb16_lvd1689m_posthoc,LOCAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,453,5,"10_equal_width_bins_[0,1]",0.5853477403561239,0.6233864765445785,0.28523612255448844,0.5709649466755958,0.8523853442331364,0.1834366704641341
