comparison_id,family,estimand,analysis_population,timing,reference_model,reference_spatial,candidate_model,candidate_spatial,metric,higher_is_better,reference_value,candidate_value,delta_candidate_minus_reference,ci_level,ci_low,ci_high,bootstrap_seed,bootstrap_replicates,valid_bootstrap_replicates,n_paired,positive,inference_scope
dinov3_vs_dinov1:b3ad5cae6918ef85,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical,full_808,T0,dino_vitb16_imagenet1k_mri_clinical,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical,LOCAL,brier,False,0.23686096139464138,0.22946573122151873,-0.007395230173122658,0.95,-0.017274581499427795,0.0021717544980241104,2026,5000,5000,808,275,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:edb7b8604f874541,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,GLOBAL,auroc,True,0.5159519725557462,0.5395883361921098,0.023636363636363567,0.95,-0.047581017725996023,0.09634124674914143,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:edb7b8604f874541,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,GLOBAL,auprc,True,0.31710121341222464,0.3275649726095988,0.01046375919737419,0.95,-0.04524454101342925,0.06937135697396564,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:edb7b8604f874541,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,GLOBAL,brier,False,0.27393223569284497,0.25466973568752216,-0.019262500005322813,0.95,-0.041698701534719135,0.0017849678761471513,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:eecda094370ed1e6,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,LOCAL,auroc,True,0.5401715265866209,0.5534476843910806,0.013276157804459676,0.95,-0.05943545199898131,0.0875819514188527,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:eecda094370ed1e6,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,LOCAL,auprc,True,0.33175177748512497,0.3227905409468774,-0.008961236538247541,0.95,-0.07633577427749128,0.06081461001172833,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:eecda094370ed1e6,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_only_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_only_paired,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_only_paired,LOCAL,brier,False,0.27188005001122323,0.27622242387178614,0.004342373860562909,0.95,-0.025047956738626104,0.03284229759667075,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:5decb5a9bc0cb336,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_clinical_paired,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical_paired,GLOBAL,auroc,True,0.5872727272727273,0.6007204116638079,0.013447684391080572,0.95,-0.042519653997740804,0.0711311641225841,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:5decb5a9bc0cb336,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_clinical_paired,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical_paired,GLOBAL,auprc,True,0.3958333278207355,0.3861970370958787,-0.009636290724856778,0.95,-0.07861593047855017,0.06888897577565914,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:5decb5a9bc0cb336,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_clinical_paired,GLOBAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical_paired,GLOBAL,brier,False,0.26970619961272124,0.28012456518942086,0.010418365576699617,0.95,-0.016193958340575236,0.036383381939595255,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:02c0190d37948c5c,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_clinical_paired,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical_paired,LOCAL,auroc,True,0.6051114922813036,0.61073756432247,0.005626072041166386,0.95,-0.05402189491863398,0.06287511147384278,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:02c0190d37948c5c,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_clinical_paired,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical_paired,LOCAL,auprc,True,0.3879303977232129,0.3810703570274274,-0.0068600406957854965,0.95,-0.08103478722960962,0.05615666646354299,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
dinov3_vs_dinov1:02c0190d37948c5c,dinov3_vs_dinov1,dinov3_minus_dinov1_mri_clinical_paired,radiomics_complete_case_375,T0,dino_vitb16_imagenet1k_mri_clinical_paired,LOCAL,dinov3_vitb16_lvd1689m_posthoc_mri_clinical_paired,LOCAL,brier,False,0.2609388657660158,0.26816150537457756,0.007222639608561732,0.95,-0.01759565101319387,0.032800619135913665,2026,5000,5000,375,110,descriptive paired outer-fold OOF patient bootstrap; not confirmatory and not used for model or checkpoint selection
