target,model,spatial,task,endpoint,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,n_folds,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,calibration_slope,calibration_intercept,calibration_mean_bias
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.19643941290249176,0.22222882991177265,-0.010858992487193797,25.46842810100656,15.490447702253558,25.477864188497076,0.0003703641490787648,0.10386304787188702,-9.571782155905469,0.310802432402212
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,delta,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.20592676936289472,0.23395355648616317,-0.1275317673758279,24.937775886673325,15.51442084547917,24.445499639427307,-0.04468273663577928,0.10631002901563627,-9.541320631107597,0.46345448086425095
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.19426305609284333,0.22128038822936444,-0.035725786679125404,17.497741950357533,10.733099065169352,17.219808801872187,-0.016140315591374518,0.11335772499843201,-7.665599889617486,-0.05292782255723951
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.18946376554541589,0.24207983461568058,-0.07055498341167914,16.986544888048467,10.68889331450162,16.60517378340784,-0.02698279229220274,0.14015069031125532,-7.493430772401406,-0.09237032545772532
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.2677672090112641,0.2580354220519166,0.01433956233430611,27.192564373567304,13.358179573640028,27.537956917151757,0.012542417167096663,0.12549934180506153,-4.447956360869295,0.28519462551769426
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.25543921161836575,0.25873828351575084,-1.0524111425049278,24.7475410257093,13.294672016869459,22.944585785259125,-0.27248149888775625,0.1853831342648607,-4.196034326831118,0.33783720696536007
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.5527520764592104,0.6609049518871418,0.3351997378057978,34.78859638552534,17.10791358991788,42.77656700591202,0.18673706609702198,0.26492320269138847,13.153028860474345,-7.863527522784431
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.5460827046462239,0.6926933079046226,0.31670761830979155,34.017209366443595,17.089208209605808,41.82120336681659,0.18414582160889298,0.2696313824703006,12.824995133266995,-7.961375181787512
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.5103533962908181,0.7104074544958038,0.46945978820203504,27.444874858926745,10.681273750136368,37.95576601319648,0.2769247536886834,0.41596402284797146,4.979053377343017,-5.278360101262514
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.5069487472556609,0.6691109557716183,0.37613341584775195,24.515963265445272,10.626690372037341,33.934864367476976,0.26359340448064356,0.34870787611506765,5.6568303486811855,-5.2480277324567055
FTV,dinov3_vitb16_lvd1689m_posthoc,GLOBAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.45210162999781794,0.8460994451999585,0.20356997488651352,27.757174646980022,7.528937421638512,31.345565059981617,0.11447840886374178,0.12740984340848913,2.575681807962461,-5.257582403028133
