analysis,population,seed,arm,fold,view,target,variant,clinical_contract,selected_c,validation_auroc,validation_auprc,threshold,train_rows,validation_rows,test_rows,feature_dim,class_weight,c_grid
phenotype,full_808,2026,LOCAL0,0,T2,HER2,P1,,0.01,0.6064516129032258,,0.48804114098787577,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,subtype_4class,P1,,1.0,0.5530409236087117,0.3248786578203746,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,HR,P2,,100.0,0.5718645948945615,,0.36931042422531185,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,HER2,P2,,0.01,0.5512544802867383,,0.45669494221519746,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,subtype_4class,P2,,0.001,0.49816777685407077,0.26215834642206876,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,HR,P3,,100.0,0.5993340732519423,,0.4169770542970533,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,HER2,P3,,100.0,0.6017921146953406,,0.8613186751301526,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,subtype_4class,P3,,0.01,0.5570063959648324,0.2880453308654654,,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,HR,P4,,0.1,0.5485571587125416,,0.350032563043,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,HER2,P4,,0.001,0.6247311827956988,,0.5291045338503397,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,subtype_4class,P4,,0.001,0.5667594763203373,0.2827491595129716,,525,121,162,384,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T2,HR,P5,,0.1,0.5629855715871255,,0.359058104827181,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,0,T2,HER2,P5,,0.001,0.6125448028673836,,0.5341388038445612,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,0,T2,subtype_4class,P5,,0.001,0.5671789658491786,0.2889745756727015,,525,121,162,640,balanced,"[1e-06,1e-05,0.0001,0.001,0.01,0.1]"
phenotype,full_808,2026,LOCAL0,0,T3,HR,P1,,1.0,0.5638179800221976,,0.4526970811812439,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,HER2,P1,,0.01,0.6107526881720431,,0.5,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,subtype_4class,P1,,100.0,0.5697826215490738,0.30071113927997384,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,HR,P2,,1.0,0.6251387347391787,,0.4273681829912327,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,HER2,P2,,0.001,0.5881720430107527,,0.4964063866400268,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,subtype_4class,P2,,0.1,0.5921564902304635,0.31329236617555345,,525,121,162,128,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,HR,P3,,0.1,0.640677025527192,,0.35665528271620534,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,HER2,P3,,0.001,0.6025089605734767,,0.5095137554303986,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
phenotype,full_808,2026,LOCAL0,0,T3,subtype_4class,P3,,0.1,0.5932626543165881,0.31284437870041004,,525,121,162,256,balanced,"[0.0001,0.001,0.01,0.1,1.0,10.0,100.0]"
