seed,arm,view,target,variant,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier
2026,LOCAL0,T0-T1,pCR,CORE,oracle_pair_CORE,375,110.0,265.0,2,0.5175643224699829,0.31175760812697184,0.5590909090909091,0.2805571766238104
2026,LOCAL0,T0-T1,pCR,CORE_PERI,oracle_pair_CORE_PERI,375,110.0,265.0,2,0.5238078902229846,0.3318542969014458,0.5398799313893654,0.25658514769373886
2026,LOCAL0,T0-T1,pCR,FIXED_P3,oracle_pair_CORE,375,110.0,265.0,2,0.5206861063464837,0.3375063621111499,0.5325042881646656,0.2792097207203341
2026,LOCAL0,T0-T1,pCR,FIXED_P3,oracle_pair_CORE_PERI,375,110.0,265.0,2,0.5206861063464837,0.3375063621111499,0.5325042881646656,0.2792097207203341
2026,LOCAL0,T0-T1,pCR,FIXED_P3,oracle_pair_LOCAL_REST,344,101.0,243.0,2,0.5235708756060791,0.35871816902662457,0.5593244509636148,0.28358926798166156
2026,LOCAL0,T0-T1,pCR,FIXED_P3,oracle_pair_PERI10,375,110.0,265.0,2,0.5206861063464837,0.3375063621111499,0.5325042881646656,0.2792097207203341
2026,LOCAL0,T0-T1,pCR,FIXED_P3,oracle_pair_PERI20,375,110.0,265.0,2,0.5206861063464837,0.3375063621111499,0.5325042881646656,0.2792097207203341
2026,LOCAL0,T0-T1,pCR,LOCAL_REST,oracle_pair_LOCAL_REST,344,101.0,243.0,2,0.5436988143258771,0.3755850211363011,0.5223485311494113,0.2540546562470944
2026,LOCAL0,T0-T1,pCR,PERI10,oracle_pair_PERI10,375,110.0,265.0,2,0.5250771869639795,0.3210088118400797,0.56852487135506,0.2846000097350005
2026,LOCAL0,T0-T1,pCR,PERI20,oracle_pair_PERI20,375,110.0,265.0,2,0.5563636363636363,0.35057276313260693,0.5526586620926244,0.2813156469948597
2026,LOCAL0,T0-T2,pCR,CORE,oracle_pair_CORE,374,110.0,264.0,2,0.5879820936639119,0.37620162219620795,0.5852272727272727,0.24193334992364074
2026,LOCAL0,T0-T2,pCR,CORE_PERI,oracle_pair_CORE_PERI,374,110.0,264.0,2,0.5853650137741047,0.3919285008405858,0.5424242424242425,0.24087716783290572
2026,LOCAL0,T0-T2,pCR,FIXED_P3,oracle_pair_CORE,374,110.0,264.0,2,0.5836088154269972,0.35229944703796023,0.571969696969697,0.2711439262729288
2026,LOCAL0,T0-T2,pCR,FIXED_P3,oracle_pair_CORE_PERI,374,110.0,264.0,2,0.5836088154269972,0.35229944703796023,0.571969696969697,0.2711439262729288
2026,LOCAL0,T0-T2,pCR,FIXED_P3,oracle_pair_LOCAL_REST,343,101.0,242.0,2,0.6356271990835447,0.4068027343664629,0.574871123475984,0.2375794478874381
2026,LOCAL0,T0-T2,pCR,FIXED_P3,oracle_pair_PERI10,374,110.0,264.0,2,0.5836088154269972,0.35229944703796023,0.571969696969697,0.2711439262729288
