seed_base,arm,analysis_scope,task,endpoint,target_semantics,scale,aggregation,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias
2026,GAP0,primary_measurement_valid,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,natural,pooled_5fold_oof,375,0.3277776766412561,0.28437543694725526,0.015422738371177913,42.336623301659024,20.146113899855585,42.77656700591202,0.010284689376597086,0.049663922914027166,0.06337421485352619,16.184077260225752,-10.594959563705677
2026,GAP0,primary_measurement_valid,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,natural,pooled_5fold_oof,375,0.38123358743884406,0.28548810598889335,0.035400752890311304,37.00629111589124,13.028517473449732,37.95576601319648,0.025015300625868805,0.09736439848309561,0.08908162115067478,7.970193121685543,-8.028250163746426
2026,GAP0,primary_measurement_valid,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,natural,pooled_5fold_oof,375,0.15924132438275115,0.10969658096326533,-0.03897407416979948,31.703251145059784,8.187502572699561,31.345565059981617,-0.011411058769995501,0.002263752916414881,0.005219244029197253,2.1765494055258867,-6.753622949347623
2026,GAP0,primary_measurement_valid,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,natural,pooled_5fold_oof,375,0.05390203970315401,0.0344602242921841,-0.04654593120707795,12.694117294732129,3.260351670556056,12.477635535818399,-0.017349581841230716,0.0007931444164270993,0.0009704970853808602,0.8512559810235997,-2.7099060625111386
2026,GAP0,primary_measurement_valid,delta,T0_to_T1,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.030012970758903176,-0.02289491001487172,-0.021226447481818234,25.598698110211693,13.862553085865017,25.477864188497076,-0.004742702167679022,0.015494939945346457,-0.0028499280091513366,-11.201926535227951,-0.14251288266846027
2026,GAP0,primary_measurement_valid,delta,T1_to_T2,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.15681237911025148,0.1463317089735447,-0.10185727256582666,18.0477174900643,10.300563315665073,17.219808801872187,-0.04807885486522366,0.2463525647307552,0.07263015795276262,-8.437908156033561,-0.47555096708202826
2026,GAP0,primary_measurement_valid,delta,T2_to_T3,literal_ftv_end_minus_ftv_start,natural,pooled_5fold_oof,375,0.03665286153145978,-0.033370164373929104,-0.05990169592978378,28.198064281217125,10.061317671076667,27.537956917151757,-0.02397081838900788,0.04538552100664061,-0.007109139045747692,-5.923618514372068,-0.47273683669224986
2026,GAP0,observable_only,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,natural,pooled_5fold_oof,374,0.3344194061733882,0.2802606441620644,0.013172427814927223,42.28586678630587,19.92514191860467,42.67940335287805,0.009220760733658255,0.048119241052509164,0.06147825052083915,16.085575370292148,-10.570447573911334
2026,GAP0,observable_only,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,natural,pooled_5fold_oof,367,0.34329681822330893,0.26070967174025184,0.003574208097709475,34.10791762496394,12.33011631482229,34.34636987087729,0.006942574915771151,0.025384412869212402,0.04153753346852482,7.782883983176512,-7.948722926111987
2026,GAP0,observable_only,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,natural,pooled_5fold_oof,372,0.1535546623408199,0.11883631198682133,-0.04417986474228974,25.899209671618525,7.29248290371189,25.507316453551763,-0.015363953271226749,0.0027216406698985047,0.006199612686323288,2.1276464410763722,-5.881955650323149
