epoch,arm,architecture,seed_base,fold,effective_seed,patient_order_sha256,dropped_logical_tail_patients,train_loss,train_base_loss,train_state_loss,train_ftv_loss,train_grounded_patients,train_representation_std,train_optimizer_steps,val_loss,val_base_objective,val_state_loss,val_ftv_loss,val_grounded_patients,val_representation_std,finite
1,GAP0,GAP,2026,0,2026,ff7209b5cc5772ee2a9c7c528ff3e43384ce34c8529d48fad1c18ae3732de38d,24,2.3280696146190167,2.3280696146190167,1.000077055580914,0.0,0.0,0.3517630994319916,20.0,1.5333492076101385,1.5333492076101385,0.3936848076414471,0.0,0.0,0.2291447669267654,True
2,GAP0,GAP,2026,0,2026,4c81e4df44829f8c7af577c6769a29351055fddf489f913b789afd011fb07cf2,24,1.3456970497965812,1.3456970497965812,0.2921126182191074,0.0,0.0,0.4309029281139374,20.0,0.9912655915110564,0.9912655915110564,0.1140089063358701,0.0,0.0,0.5350614190101624,True
3,GAP0,GAP,2026,0,2026,460601f2740d07da728e05cc03e9dd7fe52ed56a3043ad0ae742dd6ced687458,24,0.9914615284651518,0.9914615284651518,0.148988756770268,0.0,0.0,0.6333097815513611,20.0,0.8146962104750074,0.8146962104750074,0.0921006974540958,0.0,0.0,0.64999920129776,True
4,GAP0,GAP,2026,0,2026,d68d66f3dc4b2424234fe8070c35f7237d55584de4657debefbf3bab4f007f83,24,0.9189740672707558,0.9189740672707558,0.1568350656423717,0.0,0.0,0.682934582233429,20.0,0.8584687512768202,0.8584687512768202,0.1621334129128574,0.0,0.0,0.6768379211425781,True
5,GAP0,GAP,2026,0,2026,016e71e12a0d168cdfd26225a75a09abe5051a1f8e70b15d951bb1b3297f9ff8,24,0.9546744085848332,0.9546744085848332,0.2021405038889497,0.0,0.0,0.6913374066352844,20.0,0.8780050592974198,0.8780050592974198,0.2032025577115618,0.0,0.0,0.6773932576179504,True
6,GAP0,GAP,2026,0,2026,4d30019690796cedb67ed45d6d1f879f88431328ab5239cdcf92f5cb1a6d9add,24,0.8703715484589338,0.8703715484589338,0.2219443853013217,0.0,0.0,0.6990842223167419,20.0,0.8487467726400076,0.8487467726400076,0.2008629582268147,0.0,0.0,0.698169469833374,True
7,GAP0,GAP,2026,0,2026,6a28e93351eda42fe42ce2fef989e6835d34ad6c44a220cfd7afe3dc3ceb6bf1,24,0.9177276317030192,0.9177276317030192,0.2569593938067555,0.0,0.0,0.7340598106384277,20.0,0.8541495913316396,0.8541495913316396,0.2728020439216913,0.0,0.0,0.7348758578300476,True
1,GAP0,GAP,2026,1,2027,4c00aeac23e4804a1693955fecd0df02cc5f9b7896fe6b2b77b356c2c6e0b9c4,24,2.1816061727702616,2.1816061727702616,0.842972730472684,0.0,0.0,0.3050595819950104,20.0,1.4605230575750685,1.4605230575750685,0.2717820957672497,0.0,0.0,0.0946466103196144,True
2,GAP0,GAP,2026,1,2027,a8ed6b01fd8c15bed04868c47e386b7f9fa0493512f7597a0a20d833e8fa0d71,24,1.4178277187049388,1.4178277187049388,0.2019078875891864,0.0,0.0,0.1304590255022049,20.0,1.1973612111462049,1.1973612111462049,0.0702698848956872,0.0,0.0,0.1196340322494506,True
3,GAP0,GAP,2026,1,2027,176ac7f114b3181147a0572cb8577f749d0f90f7396788c8887c722fab705ed5,24,1.2399829901754855,1.2399829901754855,0.101331281941384,0.0,0.0,0.2142608165740966,20.0,1.075634771142124,1.075634771142124,0.0645857575264844,0.0,0.0,0.3501263558864593,True
4,GAP0,GAP,2026,1,2027,b0fabc7251e43195480e15c108fe6937e8af0a00b558fb77234c21abc08edae4,24,1.014531232044101,1.014531232044101,0.1067208406515419,0.0,0.0,0.5973239541053772,20.0,0.7829772233963013,0.7829772233963013,0.0748192998003368,0.0,0.0,0.6550971865653992,True
5,GAP0,GAP,2026,1,2027,a5f4579c99613e73fe002efaa8aed67d67e4a46021a2c9020bbee320f116ec5f,24,0.8747878979891539,0.8747878979891539,0.1164712932426482,0.0,0.0,0.684934675693512,20.0,0.7997237296143839,0.7997237296143839,0.1018239074994709,0.0,0.0,0.6613433957099915,True
6,GAP0,GAP,2026,1,2027,629e6436eb3ffeedc41fc644d2eb64a39c95cad9f4c672b1a6cd556cfaf3ab59,24,0.8683232966810465,0.8683232966810465,0.1524216689635068,0.0,0.0,0.6834723949432373,20.0,0.7863375056873668,0.7863375056873668,0.1491523791443217,0.0,0.0,0.6646525263786316,True
