seed_base,task,endpoint,analysis_scope,comparison,left_arm,right_arm,effect_natural_spearman,effect_natural_pearson,effect_natural_r2,effect_natural_rmse,effect_natural_mae,effect_natural_b0_rmse,effect_natural_rmse_gain_over_b0,effect_natural_prediction_target_variance_ratio,effect_natural_calibration_slope,effect_natural_calibration_intercept,effect_natural_calibration_mean_bias,effect_transformed_spearman,effect_transformed_pearson,effect_transformed_r2,effect_transformed_rmse,effect_transformed_mae,effect_transformed_b0_rmse,effect_transformed_rmse_gain_over_b0,effect_transformed_prediction_target_variance_ratio,effect_transformed_calibration_slope,effect_transformed_calibration_intercept,effect_transformed_calibration_mean_bias
2026,static,T0,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.42987484355444305,0.32255184776496976,0.2712132155286888,-6.299764838225187,-4.592781983678522,0.0,0.14727139831848862,0.11869137112133007,0.18565485740467003,-3.5675731966731554,1.740478686826835,0.4237315306235919,0.41898574469379823,0.47428233756388666,-0.11699219846438552,-0.09394460830522983,0.0,0.2890192367983233,0.2981543925762173,0.3873358470624686,-0.21311515726519892,-0.026067450080261737
2026,static,T1,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.18571145750369777,0.07226884856553839,0.03931599684194764,-0.7620131956551504,-1.2233486317512163,0.0,0.020076348752656265,-0.0363198213581661,-0.0006898920217956184,0.40884381461671726,0.3967272533088746,0.18930115168002337,0.18913364192682747,0.1683131744742254,-0.044566725266986185,-0.046542400107827786,0.0,0.09216125079902786,0.1444795315897831,0.15581618701752137,-0.04345839504219387,-0.015025344941773138
2026,static,T2,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.2173159631357379,0.1251050344681367,0.029967998114627248,-0.4605671240516216,-0.27727800711345196,0.0,0.014693214914782963,0.004429422576718979,0.013990305766242054,0.3507832233706152,0.4763745569785893,0.23348153359149101,0.2488213222463408,0.15938902155095483,-0.054983863666470456,-0.039477461801545155,0.0,0.08500968810229696,0.10414425095872369,0.13639824952038687,0.042674260218234616,0.008553063859566902
2026,static,T3,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.266257154753508,0.25913059382861486,0.034060747444750517,-0.20827921794803572,-0.07330466512790901,0.0,0.01669220240887368,0.0025200476459505115,0.01592868849606353,0.08090773875123025,0.13768748420417154,0.3054980822131396,0.31786011862477176,0.15115823062502415,-0.0479937229008679,-0.035358915240244815,0.0,0.07669214353555287,0.059210322140803226,0.10331774424392816,0.0833098819782162,0.0179417086963834
2026,static,macro,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.2747898547368466,0.19476408115681496,0.09363948948250356,-1.9326560939699995,-1.5416783219177734,0.0,0.049683291098700386,0.022330254996458368,0.053720989911294995,-0.6817596049836476,0.6878169953296185,0.2880030745270615,0.2937002068729345,0.23828569105352276,-0.06613412757467751,-0.05383084636371188,0.0,0.13572057980880026,0.15149712431638176,0.19571700696107625,-0.032647352527735485,-0.0036495056165211422
3026,static,T0,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.35112344976675386,0.32788110344123145,0.3174288900631824,-7.662718740259685,-4.9316671089198,0.0,0.17913356018496396,0.16299915993866798,0.22920517191236395,-4.141407130984417,2.411790353234813,0.3543788298880279,0.34431021290868935,0.3973720650426528,-0.09937700116037496,-0.08206593341008775,0.0,0.24519364933166102,0.3920847013619986,0.38712384707636677,-0.21240304454454265,-0.030300370024951905
3026,static,T1,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.23410080782796672,0.08339991421832427,0.05346504495411697,-1.0164694814506063,-1.692586523637658,0.0,0.026780370631887648,0.032545818541598465,0.037257829480596666,0.35033469207813006,1.0046932885492827,0.23492916721083762,0.22350951000727365,0.2069780584561982,-0.054224575177940826,-0.05597590665908592,0.0,0.11100841656573383,0.13503379966807783,0.16904716692207045,-0.041845889719667406,-0.006751210688837102
3026,static,T2,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.3136873364432814,0.2492407126258692,0.05905680493103149,-0.9100254737871261,-0.3675706734953934,0.0,0.029032032826517493,0.012766103540516376,0.030946399585602715,0.46109451336247087,0.7389011359810631,0.27888527130729956,0.33812133833481195,0.1993768960462663,-0.06502990432953615,-0.036051059200296776,0.0,0.10218678781459137,0.2128192795426151,0.20030819474765227,0.05848761119814766,-0.0021206642660817968
3026,static,T3,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.10762339900007975,0.1098311904092334,0.004375247745953104,-0.026714859843824712,-0.08875735012861874,0.0,0.0021410194076543435,-0.0010899739836412704,0.0027896150885843903,-0.07755593284679552,-0.06761201093001956,0.10375716822487849,0.12138782730885994,0.1058062243442821,-0.03209806570229623,-0.027532712955833927,0.0,0.052670570833842564,-0.042120094744626024,0.030619011246153773,0.009408574032562456,-0.00926246334880602
3026,static,macro,primary_measurement_valid,LOCAL0-GAP0,LOCAL0,GAP0,0.25163374825952045,0.19258823017366458,0.108581496923571,-2.403982138835307,-1.7701454140453663,0.0,0.05927174576275585,0.05180527700928539,0.07504975401678694,-0.8518834645976536,1.0219431917087851,0.24298760915776085,0.2568322221399087,0.22738331097234984,-0.062682386592537,-0.0504064030563261,0.0,0.1277648561364572,0.17445442145701637,0.19677455499806085,-0.04658818725837499,-0.012108677082169205
