seed_base,arm,analysis_scope,task,endpoint,target_semantics,scale,aggregation,n_folds,n_test,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,prediction_target_variance_ratio,calibration_slope,calibration_intercept,calibration_mean_bias
2026,GAP0,primary_measurement_valid,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.3396145570763126,0.33573369455321245,0.0774468667918729,0.3855554176866802,0.30809229023356266,0.4038965057517139,0.0464597656994897,0.2307813937367122,0.1582987905610298,0.4233608847837121,0.012297855424649139
2026,GAP0,primary_measurement_valid,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.382002806031305,0.3746174390447017,0.12606736061245438,0.4548391213313911,0.3546265985625716,0.49414975063675054,0.07801984320774817,0.21422078211909557,0.1780905741581163,0.177025415778363,0.01262929855200714
2026,GAP0,primary_measurement_valid,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.14650509690890315,0.15085889054726098,-0.020753216754734096,0.6390398942701297,0.5015533263864904,0.6425687462285612,0.00297868847341064,0.09737658835278475,0.044457345177780036,-0.29404893711298047,0.0017424018122290587
2026,GAP0,primary_measurement_valid,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.016468990829988005,0.04332469913490722,-0.04913368327628722,0.6241895998866239,0.5004529803733144,0.6147106558945465,-0.015333083257133362,0.07626565002252804,0.02200241711822758,-0.6495984647783022,-0.0199219359076796
2026,GAP0,primary_measurement_valid,delta,T0_to_T1,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.033418006384565074,-0.03475467489730679,-0.04754421203275418,0.9473812743098422,0.5224731338423123,0.9399665324822373,-0.010952818001169519,0.017005606580572603,-0.0021534212595478,-0.005963650919148761,0.01193336643158592
2026,GAP0,primary_measurement_valid,delta,T1_to_T2,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.17341318250493473,0.19041955831129193,-0.11783316465198038,0.9624898010905663,0.5650674139806732,0.9195192108402048,-0.04443151246337184,0.2562254608005258,0.0760589674473231,-0.00702442619124158,-0.02846172427892294
2026,GAP0,primary_measurement_valid,delta,T2_to_T3,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.04531505851358734,-0.026479536519334778,-0.6466891605574557,0.9072365482819282,0.35669277878999706,0.8647480762588101,-0.14571406863051742,0.3877455313163317,-0.023752466161724516,0.0068814279177403,0.0018492279358190422
2026,GAP0,observable_only,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,374,0.33462142582836496,0.33954148264649764,0.08744518722611216,0.38265155704519566,0.30634334277692715,0.4027899113489097,0.05105311315751778,0.22357493079321195,0.15888774410883771,0.42150096203986964,0.01232184415298242
2026,GAP0,observable_only,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,367,0.35311770228887596,0.34716386013838746,0.11154850884158836,0.45205598697807153,0.35341074786282867,0.48473008493804703,0.06638545670060342,0.17225279550078418,0.1480567862889281,0.17333984419337084,0.00863504074885694
2026,GAP0,observable_only,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,372,0.14553605264946193,0.14602966912167883,-0.020413927959605838,0.6371755551530329,0.5007951539612953,0.6398859725431689,0.0020063913600117797,0.09429767164694694,0.04227884097191176,-0.3008592034865718,0.0010272182445269194
2026,GAP0,observable_only,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,373,0.013922183929870557,0.040311012221708756,-0.04997875923696188,0.6212209126797646,0.49765923123309974,0.6113123593073811,-0.015926480762876623,0.07527142805660346,0.02066316458188826,-0.6544880435720962,-0.019252886888073244
2026,GAP0,observable_only,delta,T0_to_T1,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,366,0.0488289814630006,0.023957454747032293,-0.04168897713353502,0.9477676381864001,0.5288991520908786,0.9441401833567087,-0.0061064131743855,0.01849814314831358,0.005197421617177379,-0.005350787701014862,0.01800088958196354
2026,GAP0,observable_only,delta,T1_to_T2,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,365,0.15829853651154044,0.14713597766215017,-0.16355167342609317,0.9780780333716755,0.5656797135867215,0.9210851354082482,-0.06369935755101942,0.24419364998755871,0.04636790432383864,0.0061252635767217,-0.011223532193580858
2026,GAP0,observable_only,delta,T2_to_T3,literal_ftv_end_minus_ftv_start,standardized_outer_train,mean_of_5_fold_specific_transform_metrics,5,371,0.032438327231019956,0.016016043260373265,-0.11385499135844687,1.0878965328706982,0.37489673126015105,1.081971060328575,-0.023599299502523628,0.04397991999457366,-0.0026446267796000596,-0.0042955281715892,0.037250190666584276
2026,GAP3,primary_measurement_valid,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,transformed_outer_train,mean_of_5_fold_specific_transform_metrics,5,375,0.36927952042124657,0.3745906438907811,0.10856075321862593,0.379208430914343,0.3036405284705662,0.4038965057517139,0.06363044229927542,0.22790483712355672,0.17105104776870622,0.4090057818903192,0.0033349083489978794
