arm,both_seed_pass,candidate_both_seed_gt_0_20,comparison,diagnostic_type,evidence_scope,input_variant,interval,maximum_exclusions_from_375,minimum_seed_delta_spearman,n_max,n_min,oracle_representation,patient_set_sha256,rank_metric,reference_both_seed_gt_0_20,seed_2026_candidate_spearman,seed_2026_delta_spearman,seed_2026_reference_spearman,seed_3026_candidate_spearman,seed_3026_delta_spearman,seed_3026_reference_spearman,spearman_gain_threshold,target,target_kind,task_type,threshold_operator,timing
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,difference,T1->T2,6,-0.0559707041569908,369,369,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0723243532710225,0.0600232870827236,0.0123010661882989,0.0092217998883231,-0.0559707041569908,0.0651925040453139,0.1,LD,residual_ftv,dynamic,>=,
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,difference,T1->T2,6,-0.0109792703758468,369,369,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0742896176102362,0.0672870354743417,0.0070025821358945,0.0356194968137014,-0.0109792703758468,0.0465987671895483,0.1,LD,residual_ftv,dynamic,>=,
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,difference,T2->T3,64,-0.0071130723321759,311,311,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0191843608730907,0.0080100350356572,0.0111743258374335,0.1083204781654288,-0.0071130723321759,0.1154335504976047,0.1,LD,residual_ftv,dynamic,>=,
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,difference,T2->T3,64,-0.0414496702141201,311,311,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.012503387125868,0.0082833160148797,0.0042200711109883,0.0586783432822601,-0.0414496702141201,0.1001280134963802,0.1,LD,residual_ftv,dynamic,>=,
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,current,,0,-0.007003010208012,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0703329531061012,-0.007003010208012,0.0773359633141132,0.0841783320333151,-0.0036558066269301,0.0878341386602452,0.1,LD,residual_ftv,static,>=,T0
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,current,,0,-0.0049694446506911,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0702871614991523,-0.0049694446506911,0.0752566061498435,0.0875115991819429,-0.0012095933973782,0.0887211925793211,0.1,LD,residual_ftv,static,>=,T0
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,current,,0,0.00648814764413,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,-0.061373007414906,0.0170741077271788,-0.0784471151420849,-0.0417282735307418,0.00648814764413,-0.0482164211748719,0.1,LD,residual_ftv,static,>=,T1
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,current,,0,0.0111398335184137,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,-0.0484136283551308,0.0229799041489898,-0.0713935325041207,-0.0326177200275379,0.0111398335184137,-0.0437575535459517,0.1,LD,residual_ftv,static,>=,T1
LOCAL0,False,False,,oracle_localization,primary_ftv_residual,current,,1,-0.025123858478934,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.1107910633687417,0.0316351091857837,0.079155954182958,0.0787323565619671,-0.025123858478934,0.1038562150409011,0.1,LD,residual_ftv,static,>=,T2
LOCAL3,False,False,,oracle_localization,primary_ftv_residual,current,,1,0.0161279959787742,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,residual_spearman,False,0.0981311232614033,0.0462074494623187,0.0519236737990846,0.0969887332457058,0.0161279959787742,0.0808607372669316,0.1,LD,residual_ftv,static,>=,T2
