seed,arm,representation,matched_reference_for,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,feature_dim,fold,n,spearman,pearson,natural_r2,transformed_r2,rmse,mae,prediction_target_variance_ratio,calibration_slope,calibration_intercept,residual_spearman,residual_pearson,residual_transformed_r2,residual_rmse,residual_mae,reconstructed_natural_r2,reconstructed_natural_rmse,reconstructed_natural_mae,reconstructed_prediction_target_variance_ratio,reconstructed_calibration_slope,reconstructed_calibration_intercept,natural_spearman,natural_pearson,transformed_spearman,transformed_pearson,natural_metric_interpretation
2026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,0,69,-0.1173913043478261,-0.12240146771996561,-0.06235701413479977,-0.06245553040500895,31.84569793775238,23.59254927686392,0.019045096775398788,-0.8869416175427899,-25.185440342892726,,,,,,,,,,,,-0.1173913043478261,-0.12240146771996561,-0.1173913043478261,-0.1219089109690509,raw_target
2026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,1,67,-0.05012371298587279,-0.09518092654401791,-0.14357071829131018,-0.1523936894587461,35.72488740329625,26.57805246778967,0.08546596123830834,-0.32557671535566485,-12.852397231314553,,,,,,,,,,,,-0.05012371298587279,-0.09518092654401791,-0.05012371298587279,-0.0929835876283036,raw_target
2026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,2,83,0.09806473279879098,0.14621723047336077,-0.012146138713519106,-0.01157639150518941,30.78396272418032,24.21910843682706,0.017239878403802776,1.1136057236332162,7.065199298280009,,,,,,,,,,,,0.09806473279879098,0.14621723047336077,0.09735158763193748,0.14651749508583264,raw_target
2026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,3,72,0.09351083670975627,0.11856134820685833,-0.0029990288816206245,-0.0031017096793661825,34.01251216501183,26.636661547416864,0.04379732363994636,0.5665253436916796,-2.4855345956563726,,,,,,,,,,,,0.09351083670975627,0.11856134820685833,0.09351083670975627,0.11843351562542273,raw_target
2026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,4,84,0.17199554520603424,-0.06044349146358821,-0.016918102224106724,-0.018949952635667566,47.068740584409845,25.211748832500348,0.00595201579942683,-0.7834612215195257,-25.100200424221157,,,,,,,,,,,,0.17199554520603424,-0.06044349146358821,0.17254314338149293,0.09873259269127509,raw_target
2026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,0,69,-0.06770186335403727,-0.10545701776076344,-0.06670773274241437,-0.06704408756916314,31.910840871931534,23.321903176701447,0.02684979768425672,-0.643583612053495,-22.819916443224244,,,,,,,,,,,,-0.06770186335403727,-0.10545701776076344,-0.06770186335403727,-0.10533491656415088,raw_target
2026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,1,67,0.14414558224918192,0.018804911912141477,-0.02637935321441809,-0.03244296197760965,33.84490574649103,25.348702329058227,0.03286025213204559,0.1037375191344901,-9.117742467682788,,,,,,,,,,,,0.14414558224918192,0.018804911912141477,0.14414558224918192,0.010031317500310988,raw_target
2026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,2,83,0.13494395701271986,0.11860387464638669,-0.017176648182103627,-0.016678688521782226,30.860368229737833,24.15413808051739,0.022124933596701344,0.797366323030045,2.739008330305464,,,,,,,,,,,,0.13494395701271986,0.11860387464638669,0.1341680353909755,0.11900992665879026,raw_target
2026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,3,72,0.1575020901665702,0.1827825496744799,0.020612624759674292,0.02052659321723338,33.609782698744134,26.246766014161825,0.04813406853776228,0.8331216972657535,1.3756967050291316,,,,,,,,,,,,0.1575020901665702,0.1827825496744799,0.1575020901665702,0.18269809475259643,raw_target
2026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,4,84,0.18866052445074416,0.06486637143648612,0.0025312426050674297,0.003417189987430791,46.616454539029796,24.986165402352885,0.007135905966914173,0.7678829865460169,-4.747772719583564,,,,,,,,,,,,0.18866052445074416,0.06486637143648612,0.1890563382444911,0.17315781864039342,raw_target
