seed,arm,representation,matched_reference_for,task_type,target_kind,target,input_variant,metric_space,feature_dim,target_definition,interval,macro_definition,interval_count,intervals,n_sum_descriptive,n_min,n_max,maximum_exclusions_from_375,patient_set_sha256,gate_e_use,spearman,residual_spearman,pearson,natural_r2,transformed_r2,residual_transformed_r2,reconstructed_natural_r2,rmse,mae,reconstructed_natural_rmse,reconstructed_natural_mae,prediction_target_variance_ratio,calibration_slope,calibration_intercept
2026,LOCAL0,Z4_MATCHED_Z6,Z6,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1123,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.17632450425699456,,0.11857056670855799,0.006717621858925334,-0.018623745532554067,,,39.351652252816564,26.933827351875788,,,0.0466808382750988,0.5330069871515756,-1.5664187218423062
2026,LOCAL0,Z4_MATCHED_Z6,Z6,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,749,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1979983238248395,,0.1498433101943038,0.01510118365409505,-0.0026681593803203002,,,35.94045004715616,25.32397627349341,,,0.0556269776097445,0.6344122118289098,-2.8697495636914323
2026,LOCAL0,Z4_MATCHED_Z7,Z7,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.17658443008188462,,0.11895128093233291,0.0068928984619844,-0.01830617935014457,,,39.311809665516364,26.88356664588905,,,0.046658966756116034,0.5349381231685968,-1.562389559731255
2026,LOCAL0,Z4_MATCHED_Z7,Z7,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1980797587893958,,0.1502133496930964,0.01528893252418035,-0.0023847486708761002,,,35.91319419542492,25.288471125515706,,,0.05560188622273675,0.6360795040291443,-2.8629637713760974
2026,LOCAL0,Z5,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1122,373,375,2,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1402471080546289,,0.11611817372034712,0.005226728530008867,-0.025827456057699368,,,39.32381275839102,26.972109219051816,,,0.04049772186178837,0.5869242985452195,-0.5006403606562229
2026,LOCAL0,Z5,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,749,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.18125880541024803,,0.15301721260224854,0.0213756137076558,0.00563233272889365,,,35.825833349079744,25.186188791930213,,,0.038328399035951005,0.7804551706515996,-1.3883863179400837
2026,LOCAL0,Z6,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1123,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.144964672191082,,0.11505557318847913,0.0015054499849802352,-0.03216665027802546,,,39.48390452250511,27.045966098440704,,,0.048473407433354467,0.5316816442182223,-0.8186723167068731
2026,LOCAL0,Z6,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,749,374,375,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.19089115873272006,,0.154300713127142,0.019660358311183353,0.0037244500508434504,,,35.857626009908145,25.16207508114959,,,0.04707722031449115,0.7167756749193306,-1.758816433887613
2026,LOCAL0,Z7,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.14218684530553863,,0.1198749961666134,0.0005173757507497666,-0.024207650323423067,,,39.395200416869166,26.970392827316974,,,0.054482535680831425,0.5628361550808713,-2.2687921572289667
2026,LOCAL0,Z7,,dynamic,raw,BPE,difference,natural_target,256,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1582631698714302,,0.12378954012436535,-0.00450770828848625,-0.028191516166972103,,,36.273088634202296,25.545271583488923,,,0.0696029039983519,0.48443565510245323,-3.717611612066415
2026,LOCAL3,Z1,,dynamic,raw,BPE,difference,natural_target,192,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.08007893241857271,,0.06561568054208576,-0.017014823338257202,-0.04668296357545947,,,39.74119717921209,27.262499976331615,,,0.052516088016667704,0.26424962056887397,-3.9159114123760195
2026,LOCAL3,Z1,,dynamic,raw,BPE,difference,natural_target,192,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.09901035385140511,,0.0746792500281821,-0.02126162248886675,-0.05159871779885515,,,36.57300906443571,25.978246383189333,,,0.06788867073324575,0.23545057883688023,-6.4785437558623284
2026,LOCAL3,Z2,,dynamic,raw,BPE,difference,natural_target,192,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.15299297122472796,,0.11821818391936974,0.010206405265271933,-0.0047630055253266995,,,39.22702401577029,26.646875635897363,,,0.0352194224962358,0.613436345702551,-1.6171235544537639
2026,LOCAL3,Z2,,dynamic,raw,BPE,difference,natural_target,192,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.16226123563545336,,0.12382540040184445,0.01290105959495735,0.001249704360141551,,,35.95460756809396,25.225675129887932,,,0.0361751290866103,0.6270012994584026,-3.080739699839353
2026,LOCAL3,Z3,,dynamic,raw,BPE,difference,natural_target,128,adjacent_percent_change_new_extension,macro_all_3_intervals,unweighted_mean_of_3_preregistered_interval_metrics,3,T0->T1|T1->T2|T2->T3,1125,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1629955431379606,,0.13609967077900983,0.012795000212503035,-0.011567196434668298,,,39.17614672348346,26.78402765324687,,,0.04091659005235527,0.7093193653009853,-0.22866504542696223
2026,LOCAL3,Z3,,dynamic,raw,BPE,difference,natural_target,128,adjacent_percent_change_new_extension,macro_early_2_intervals,unweighted_mean_of_T0toT1_and_T1toT2_metrics_descriptive_only,2,T0->T1|T1->T2,750,375,375,0,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,False,0.1959014677437706,,0.147404570434429,0.01504477261308345,-4.833715178275029e-05,,,35.918322035878916,25.156630152795806,,,0.0452926604820437,0.7475771724330696,-0.7883566298014437
