task_type,target_kind,input_variant,representation,probe_fold_rows,distinct_outer_folds,n_train_min,n_validation_min,n_test_min,n_test_max,joint_valid_total_min,joint_valid_total_max,maximum_exclusions_from_375,selected_alpha_counts_json,feature_constant_columns_max,test_used_for_scaler,test_used_for_alpha_selection,test_predict_call_count,patient_set_sha256
dynamic,residual_ftv,difference,Z5,180,5,186,38,55,84,311,375,64,"{""100"":27,""1000"":153}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,difference,Z6,180,5,187,38,55,84,312,375,63,"{""100"":23,""1000"":157}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,difference,Z7,180,5,188,39,55,84,313,375,62,"{""10"":2,""100"":35,""1000"":143}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,prefix,Z1,180,5,188,39,55,84,313,375,62,"{""100"":9,""1000"":171}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,prefix,Z2,180,5,188,39,55,84,313,375,62,"{""100"":15,""1000"":165}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,prefix,Z3,180,5,188,39,55,84,313,375,62,"{""10"":6,""100"":25,""1000"":149}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,prefix,Z4,180,5,188,39,55,84,313,375,62,"{""100"":19,""1000"":161}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,prefix,Z5,180,5,186,38,55,84,311,375,64,"{""100"":13,""1000"":167}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,prefix,Z6,180,5,187,38,55,84,312,375,63,"{""100"":18,""1000"":162}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv,prefix,Z7,180,5,188,39,55,84,313,375,62,"{""10"":2,""100"":17,""1000"":161}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
dynamic,residual_ftv_ld,difference,Z1,120,5,188,39,55,84,313,375,62,"{""10"":4,""100"":25,""1000"":91}",0,False,False,1,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
