fold,task_type,context,family,timing,interval,fit_scope,winsor_lower,winsor_upper,log1p,train_mean_after_family_transform,train_population_scale,n_train
0,static,raw_FTV,FTV,T0,,outer_train_only,1.557474736,193.36984299999963,True,2.828492365199791,0.947205072646635,247
0,static,raw_LD,LD,T0,,outer_train_only,1.592,11.447999999999992,True,1.6239703336228362,0.35502808808007824,247
0,static,raw_SPH,SPH,T0,,outer_train_only,0.07284266994000001,0.4641958682,False,0.21759958655230766,0.09041462086282087,247
0,static,raw_BPE,BPE,T0,,outer_train_only,7.276311,85.72163399999997,True,3.252497707744309,0.5023536985732746,247
0,static,residual_ftv_response_LD,LD,T0,,outer_train_only,1.592,11.447999999999992,True,1.6239703336228362,0.35502808808007824,247
0,static,residual_ftv_predictor_for_LD,FTV,T0,,outer_train_only,1.557474736,193.36984299999963,True,2.828492365199791,0.947205072646635,247
0,static,residual_ftv_response_SPH,SPH,T0,,outer_train_only,0.07284266994000001,0.4641958682,False,0.21759958655230766,0.09041462086282087,247
0,static,residual_ftv_predictor_for_SPH,FTV,T0,,outer_train_only,1.557474736,193.36984299999963,True,2.828492365199791,0.947205072646635,247
0,static,residual_ftv_response_BPE,BPE,T0,,outer_train_only,7.276311,85.72163399999997,True,3.252497707744309,0.5023536985732746,247
0,static,residual_ftv_predictor_for_BPE,FTV,T0,,outer_train_only,1.557474736,193.36984299999963,True,2.828492365199791,0.947205072646635,247
0,static,residual_ftv_ld_response_SPH,SPH,T0,,outer_train_only,0.07284266994000001,0.4641958682,False,0.21759958655230766,0.09041462086282087,247
0,static,residual_ftv_ld_predictor_for_SPH,FTV,T0,,outer_train_only,1.557474736,193.36984299999963,True,2.828492365199791,0.947205072646635,247
0,static,residual_ftv_ld_predictor_for_SPH,LD,T0,,outer_train_only,1.592,11.447999999999992,True,1.6239703336228362,0.35502808808007824,247
0,static,residual_ftv_ld_response_BPE,BPE,T0,,outer_train_only,7.276311,85.72163399999997,True,3.252497707744309,0.5023536985732746,247
0,static,residual_ftv_ld_predictor_for_BPE,FTV,T0,,outer_train_only,1.557474736,193.36984299999963,True,2.828492365199791,0.947205072646635,247
0,static,residual_ftv_ld_predictor_for_BPE,LD,T0,,outer_train_only,1.592,11.447999999999992,True,1.6239703336228362,0.35502808808007824,247
0,static,raw_FTV,FTV,T1,,outer_train_only,0.322966987,154.25478479999998,True,2.20699844065959,1.057968996555547,247
0,static,raw_LD,LD,T1,,outer_train_only,0.32199999999999995,10.661999999999997,True,1.465016877272416,0.4116616135661541,247
0,static,raw_SPH,SPH,T1,,outer_train_only,0.07203260596,0.4429840367999997,False,0.2113105326448583,0.08356360393116574,247
0,static,raw_BPE,BPE,T1,,outer_train_only,6.367185399999999,70.14184999999995,True,3.0673498566647073,0.48022687810170683,247
0,static,residual_ftv_response_LD,LD,T1,,outer_train_only,0.32199999999999995,10.661999999999997,True,1.465016877272416,0.4116616135661541,247
0,static,residual_ftv_predictor_for_LD,FTV,T1,,outer_train_only,0.322966987,154.25478479999998,True,2.20699844065959,1.057968996555547,247
0,static,residual_ftv_response_SPH,SPH,T1,,outer_train_only,0.07203260596,0.4429840367999997,False,0.2113105326448583,0.08356360393116574,247
