residualizer_id,fold,task_type,target_kind,target,timing,interval,predictors,model,alpha,fit_scope,target_space,n_train,intercept,coefficient_json,residual_train_mean,residual_train_population_scale
afe669eb3b1914bf2a168e8b6a46882d6a5e0b4ef05f041899cc7dfdb13c96a5,0,static,residual_ftv,LD,T0,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,5.051948929962611e-16,[0.6801370759414176],-2.696898035526696e-17,0.7305257823806173
67b68c02c58ed1a866978b3aaa1e6d9a73d49dc9d5be7f51a04181fe51512090,0,static,residual_ftv,SPH,T0,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,3.393733122479742e-16,[-0.5616992156997066],1.4383456189475712e-17,0.8257961531496048
550d3f57875ed2cb739b9154fb222bf66f05bdf791ca710e8a51a99fb7cfed1c,0,static,residual_ftv,BPE,T0,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,-2.8069854872694423e-16,[0.07993805954457775],-2.8766912378951425e-17,0.9967738785650323
1a5340e400fdb9dfe5b6354a87efb4623a45808996a0c19a36a57c82850d9f42,0,static,residual_ftv_ld,SPH,T0,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,4.4183541572877355e-16,"[-0.41512986600123175,-0.21549972039915588]",2.157518428421357e-17,0.8107233316486984
0218fbc81c0c0f9ea0ffb9e0250207eea1673f50795b1d8891dfd0962e329b18,0,static,residual_ftv_ld,BPE,T0,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,-1.362344004060007e-16,"[0.28771699361443126,-0.30549567347472495]",-1.4383456189475712e-17,0.9708308119172175
3c782e73b16a223fdc603f04bbb266e9b6aa8a63d13a68acdb871a1d9bfee6e1,0,static,residual_ftv,LD,T1,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,1.6698913118702894e-16,[0.6100415534118709],-3.416070845000482e-17,0.7904656457709703
f6a9d3978311abda667a835255dd08607fc77a7fa4c2ba0c5f383f38c579ea82,0,static,residual_ftv,SPH,T1,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,-9.398672977407741e-17,[-0.5395563624947627],5.393796071053392e-18,0.840548437674823
a8ac8482d22ae7dd8e3df6142f377a5faa2d5ae6fdc806c9c45edfd58af874a3,0,static,residual_ftv,BPE,T1,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,-9.935154867285966e-16,[0.1499822851213604],1.797932023684464e-17,0.9885965663224355
8a6616ab9f30f968b9ca4829501d879e74db5c96beb3b2fa6d02185c1284c2fe,0,static,residual_ftv_ld,SPH,T1,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,-4.6954251478036e-17,"[-0.36857643513645716,-0.2802758703928282]",-8.98966011842232e-18,0.810747907254633
21b3d5b422d4984811038e6103a1aafa052ca8e020b35ca544f3e231ff50da45,0,static,residual_ftv_ld,BPE,T1,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,-9.72263154816842e-16,"[0.24829938609910193,-0.16116459678503653]",1.4383456189475712e-17,0.9801457445919884
2db1892625d49cc33fa45ba3845fac7ae3611936ee405b7ff012438e7599b4fe,0,static,residual_ftv,LD,T2,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,-3.3757569437923997e-16,[0.5852860815896718],-3.595864047368928e-18,0.8091146019918913
88b89fe55ddc20fc089fc230a21a1ccc22011960319bbbb4eac399b767600bab,0,static,residual_ftv,SPH,T2,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,6.420810043012946e-17,[-0.5963045134898133],-1.797932023684464e-18,0.8009630106415035
25d192086faef7f017c67f5d50969cc9445a28874f507b2ed86509f9cdbe3d28,0,static,residual_ftv,BPE,T2,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,8.658927524147158e-16,[0.13935732406030832],3.595864047368928e-18,0.9901627570818703
7404f9517f9f9ad3095b106a0880f65b1bbbf872aa67dd19290cfd77932a2504,0,static,residual_ftv_ld,SPH,T2,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,5.4484035683549503e-17,"[-0.5752445100581258,-0.035982409447509106]",1.2585524165791248e-17,0.8004884360968179
16931b21bdba46b2fb05fcde66a108e41988502575a9e9d2cacea4e410a86c98,0,static,residual_ftv_ld,BPE,T2,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,8.330455614161433e-16,"[0.19970259467353293,-0.10310388801545246]",-3.595864047368928e-18,0.986549165373377
4443c5b74fecbb54362e46df9b98b415ba30ce2612dda5b750af8c325ba0c186,0,static,residual_ftv,LD,T3,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,-2.5987910512700755e-16,[0.45534543211625317],-1.4383456189475712e-17,0.8893715058432728
d1715ceb7b29917a60b82939c5d9a8569e03d972dc56f58bca6ba68ce824f451,0,static,residual_ftv,SPH,T3,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,4.754942186453577e-18,[-0.6004024589963645],7.191728094737856e-18,0.7978709141394686
5212fe683a8bb71523f79f37a3d6b4d8f50ed30cbcf32312e7e1bf4b6faf2923,0,static,residual_ftv,BPE,T3,,FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,5.110116555491152e-16,[0.17818108255087875],0.0,0.9838670789091624
1a295c3bcf91ea08f382397e13129d1ebd21cf39bb4388f9bf3d07273b8df2c2,0,static,residual_ftv_ld,SPH,T3,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,2.831168502601368e-17,"[-0.6054816332309717,0.011154551855283685]",-1.4383456189475712e-17,0.7977929991103824
773a2353f77150024a795e3d13ba73dc710a492191f983d6dc34f5f8500c6628,0,static,residual_ftv_ld,BPE,T3,,FTV+LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,4.3619354552522985e-16,"[0.2879724396207291,-0.24111663217875393]",0.0,0.9598344602872588
592a130460c0e82588c0182ee57aaf6746f8ba5c53ef3c014be0badc5a7ff230,0,dynamic,residual_ftv,LD,,T0->T1,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,2.0687086718131315e-17,[0.37486261431041074],1.4383456189475712e-17,0.9264665080821703
4a44f7e2e7d8476986b2033e2a9aea3f800f95cebdf2328b71dcf364b98bfbf1,0,dynamic,residual_ftv,SPH,,T0->T1,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,1.4698462274096648e-17,[-0.09489101519856386],1.4383456189475712e-17,0.9954510464529426
f51aa42e300f30dfa150e5d2db89140af0f9faf391c87721c18e4e4b4bcf8916,0,dynamic,residual_ftv,BPE,,T0->T1,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,3.075162166724325e-17,[0.33854807960495586],-1.4383456189475712e-17,0.9404558164620069
4c692098d36a1a9b9e780375e51e739c82336638cbfa03956fbb115b19a3d55f,0,dynamic,residual_ftv_ld,SPH,,T0->T1,delta_FTV+delta_LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,2.3148648978908084e-17,"[-0.020877906460985213,-0.1974406246772076]",3.595864047368928e-18,0.9783451045096815
dd806461d65f90c676e4c3dfaae29c18a954607eb5c3bf928aa548b0f74642e8,0,dynamic,residual_ftv_ld,BPE,,T0->T1,delta_FTV+delta_LD,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,3.818238920041754e-17,"[0.3530205631438975,-0.038607433727592726]",-7.191728094737856e-18,0.9397469443034249
f657221f50fbda6708a7b38f40091e1b6b367319f3d1d79bef8e538d1a837e38,0,dynamic,residual_ftv,LD,,T1->T2,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,244,-1.5314218333454415e-16,[0.25444724173809913],1.4560301962297136e-17,0.9668122452549519
36c68eb3df022a5c9cad87fdc1ba802e9f784f4c46bd0529e8a027375eb6ec7f,0,dynamic,residual_ftv,SPH,,T1->T2,delta_FTV,Ridge,1.0,outer_train_only,Goal6_train_winsorized_family_transformed_standardized,247,-4.9157678734712066e-18,[-0.369679015457823],-1.2585524165791248e-17,0.928563862090148
