target,joint_N_evidence,family_specific_evidence,raw_image_observability_rule,raw_image_observable,raw_best_candidate,raw_qualifying_timings,beyond_ftv_gate,beyond_ftv_decodable,residual_best_candidate,residual_qualifying_timings,longitudinal_literal_difference_supported,dynamic_best_candidate,dynamic_qualifying_intervals,both_seed_stability,input_observability,projection_bottleneck_flag,pooling_bottleneck_flag,localization_flag,projection_primary_mapping,pooling_primary_mapping,localization_primary_mapping,passed_residual_effect_cells,all_Z1_to_Z7_primary_residual_weak,primary_bottleneck,scientific_classification,grounding_eligibility,patient_count,patient_set_sha256
LD,Goal6_joint_N_and_joint_N_res_increment_supported_n384,descriptive_strongest_family_not_individually_pCR_tested,RAW_IMAGE_SUPPORT_FOR_CLASSIFICATION_Gate-A-style_not_primary_gate,False,LOCAL3/Z2,T0,B,False,LOCAL3/Z2,,False,LOCAL3/Z4,,False,LESION_DERIVED_TARGET_COMPATIBLE_WITH_LOCAL_INPUT,False,False,False,False,False,False,,True,encoder/current_feature_map,Class D — CURRENTLY NOT IMAGE-OBSERVABLE,not_authorized_for_direct_phenotype_grounding,375,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
SPH,Goal6_joint_N_and_joint_N_res_increment_supported_n384,descriptive_weaker_family_not_individually_pCR_tested,RAW_IMAGE_SUPPORT_FOR_CLASSIFICATION_Gate-A-style_not_primary_gate,False,LOCAL3/Z4,T0,C,True,LOCAL3/Z4,T0,False,LOCAL0/Z4,,True,LESION_DERIVED_TARGET_COMPATIBLE_WITH_LOCAL_INPUT,False,False,False,False,False,False,,False,mixed_or_unresolved,MIXED OR UNRESOLVED,not_authorized_for_direct_phenotype_grounding,375,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
BPE,Goal6_joint_N_and_joint_N_res_increment_supported_n384,descriptive_weakest_family_not_individually_pCR_tested,RAW_IMAGE_SUPPORT_FOR_CLASSIFICATION_Gate-A-style_not_primary_gate,False,LOCAL3/Z4,T2,D,True,LOCAL3/Z4,T0|T1|T2,False,LOCAL0/Z4,,True,FOV_OBSERVABILITY_UNVERIFIED,False,False,False,False,False,False,,False,input_observability,FOV-BLOCKED — A/D CLASSIFICATION NOT AUTHORIZED,not_authorized_for_direct_phenotype_grounding,375,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6
