comparison,candidate,reference,seed,arm,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,n_candidate,spearman_candidate,pearson_candidate,natural_r2_candidate,transformed_r2_candidate,residual_spearman_candidate,residual_transformed_r2_candidate,reconstructed_natural_r2_candidate,rmse_candidate,mae_candidate,reconstructed_natural_rmse_candidate,reconstructed_natural_mae_candidate,prediction_target_variance_ratio_candidate,calibration_slope_candidate,n_reference,spearman_reference,pearson_reference,natural_r2_reference,transformed_r2_reference,residual_spearman_reference,residual_transformed_r2_reference,reconstructed_natural_r2_reference,rmse_reference,mae_reference,reconstructed_natural_rmse_reference,reconstructed_natural_mae_reference,prediction_target_variance_ratio_reference,calibration_slope_reference,delta_spearman,delta_pearson,delta_natural_r2,delta_transformed_r2,delta_residual_spearman,delta_residual_transformed_r2,delta_reconstructed_natural_r2,delta_rmse,delta_mae,delta_reconstructed_natural_rmse,delta_reconstructed_natural_mae,delta_prediction_target_variance_ratio,delta_calibration_slope
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,375,0.1178534531801115,0.06666036900450892,-0.004402242765673803,-0.017117581257320102,,,,36.14519751270199,24.8025943539721,,,0.024559796953903944,0.4253587072617465,375,0.04294732051427922,-0.004738491250390893,-0.032294936386428,-0.046122049079794045,,,,36.64364472969352,25.211807864123223,,,0.03038905003593699,-0.02718200705973883,0.07490613266583229,0.0713988602548998,0.027892693620754194,0.029004467822473942,,,,-0.4984472169915293,-0.4092135101511225,,,-0.0058292530820330465,0.45254071432148535
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,375,0.10500557515075663,0.06677391670352076,-0.004869705869941621,-0.018224502885150002,,,,36.15360777902677,24.818830554477707,,,0.025738158847242124,0.41621536885770805,375,0.05834839003299579,0.002693564912390708,-0.0315948027118107,-0.046913310733189995,,,,36.63121620743551,25.260922430255576,,,0.03228883415642811,0.014989987266187374,0.04665718511776085,0.06408035179113004,0.026725096841869078,0.028688807848039993,,,,-0.4776084284087361,-0.44209187577786935,,,-0.006550675309185985,0.40122538159152066
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,375,0.0857141881897827,0.06886531851946218,-0.00721420032005704,-0.028134333023437062,,,,36.19575879108091,25.060974336076757,,,0.03119564363987278,0.38990031428482547,375,0.05255410171805667,0.02689766470348188,-0.011249704541010486,-0.025741170492488207,,,,36.268197265718214,25.03970726365979,,,0.017939423577007133,0.20082155859529963,0.03316008647172603,0.0419676538159803,0.004035504220953445,-0.002393162530948855,,,,-0.07243847463730191,0.021267072416968347,,,0.013256220062865646,0.18907875568952584
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,375,0.07365684378200023,0.07487184943069666,-0.01358090872976958,-0.041736474677905346,,,,36.309977205061585,25.311074387349276,,,0.04476018084598088,0.35389354778158627,375,0.05821754465809535,0.03612101452070377,-0.00986256039986011,-0.027042372156793525,,,,36.24331395479453,25.086106901733157,,,0.019529970475008394,0.2584694069517117,0.015439299123904876,0.03875083490999289,-0.003718348329909471,-0.014694102521111821,,,,0.06666325026705522,0.22496748561611923,,,0.025230210370972485,0.09542414082987455
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,prefix,natural_target,375,0.09219092046876778,0.05510503388982044,-0.027304634110326242,-0.0429898129023123,,,,36.55496639215697,25.35589707919642,,,0.05165069731076275,0.24246730160782956,375,0.0519931732847878,0.0018398419515523096,-0.04157923289828158,-0.05595285026238343,,,,36.808059434242345,25.54012003692021,,,0.042106295320782874,0.008966170667274882,0.04019774718397998,0.053265191938268126,0.01427459878795534,0.012963037360071136,,,,-0.253093042085375,-0.18422295772379016,,,0.009544401989979877,0.2335011309405547
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,prefix,natural_target,375,0.08965889179656389,0.05123633894250104,-0.028733775775102943,-0.04498268761020438,,,,36.58038439726419,25.36540867930646,,,0.05155938083422544,0.2256442355753656,375,0.0698368415064285,0.014503958040705018,-0.03777842203003168,-0.05273698591707787,,,,36.74084019230816,25.5351899871384,,,0.04352342921299236,0.06952243610599841,0.019822050290135396,0.03673238090179602,0.009044646254928734,0.007754298306873492,,,,-0.16045579504397267,-0.1697813078319399,,,0.008035951621233078,0.15612179946936716
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,3026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,prefix,natural_target,375,0.055143474798043005,0.05338347952688654,-0.024176141840570375,-0.04884699572750628,,,,36.49926279336188,25.349821205794306,,,0.04704014041079099,0.24613454595180642,375,0.033207190806690184,0.06110190073123078,-0.03157472745374745,-0.06799169341757691,,,,36.63085977645392,25.765721473635242,,,0.06104198790135341,0.2473092646175377,0.02193628399135282,-0.007718421204344239,0.007398585613177078,0.019144697690070628,,,,-0.13159698309203804,-0.4159002678409358,,,-0.014001847490562415,-0.001174718665731267
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,3026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,prefix,natural_target,375,0.04867106610535898,0.05698018175920938,-0.02348257977521473,-0.05300477713861515,,,,36.48690222851959,25.43219876618927,,,0.04820470970072906,0.25952493703807866,375,0.05346706109910116,0.042699002343766654,-0.023914450850713642,-0.0459250968867569,,,,36.494599465427534,25.49696609760525,,,0.041074267171391475,0.210684611679111,-0.004795994993742184,0.014281179415442727,0.000431871075498913,-0.0070796802518582475,,,,-0.007697236907944216,-0.0647673314159789,,,0.007130442529337588,0.04884032535896765
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL0,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T1->T2,difference,natural_target,375,0.18553100466492206,0.14981748653943372,0.015293705408751967,0.0049389508352785825,,,,36.038117621378035,25.741843982849847,,,0.05283607500099314,0.6517743012697058,375,0.14692934349755377,0.12569734287428425,-0.0002550913085785922,-0.013349087243741183,,,,36.3215293565381,25.898532818325382,,,0.06001030377766892,0.5131131969649642,0.038601661167368295,0.024120143665149474,0.01554879671733056,0.018288038079019766,,,,-0.28341173516006535,-0.15668883547553492,,,-0.007174228776675784,0.13866110430474166
PREPROJECTOR_MINUS_PROJECTED,Z2,Z1,2026,LOCAL3,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T1->T2,difference,natural_target,375,0.21951689612015016,0.18087688410016825,0.030671825059856328,0.02072391160543318,,,,35.755607357161146,25.63251970529816,,,0.04661209932597853,0.8377872300590972,375,0.13967231766981453,0.14666493514397355,-0.010928442265922822,-0.056284124864520446,,,,36.51480192143592,26.695570336123094,,,0.10348850731006347,0.45591117040757323,0.07984457845033563,0.0342119489561947,0.04160026732577915,0.07700803646995363,,,,-0.7591945642747717,-1.0630506308249323,,,-0.056876407984084935,0.38187605965152394
