population,arm,timing,model,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,calibration_slope_mean,calibration_slope_std,ece10_mean,ece10_std,n_cells
full_808,C0,T0,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424585,3.232086092532449,0.10302051437283644,0.03325537323874623,10
full_808,C0,T0,C_PLUS_M,0.688474695820843,0.03833973153133391,0.51943147807413,0.051616220731186664,0.22305161661062228,0.017942092827515244,3.22808363564492,2.5036512636493393,0.11878877709342466,0.038543811185035186,10
full_808,C0,T0_T1,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424585,3.232086092532449,0.10302051437283644,0.03325537323874623,10
full_808,C0,T0_T1,C_PLUS_M,0.6952810952052708,0.03593816716097822,0.5297883115094872,0.047603720266069134,0.21881404996509315,0.016773393001590895,2.9493631935246767,2.6672588635084447,0.11952443624924562,0.031880400287149474,10
full_808,C0,T0_T2,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424585,3.232086092532449,0.10302051437283644,0.03325537323874623,10
full_808,C0,T0_T2,C_PLUS_M,0.6912745868132926,0.0344522899287879,0.5424807670995282,0.04641135950490954,0.2205133825787638,0.014909053151319587,3.053426147412171,2.9413564393890264,0.13578371902391229,0.02925497908776748,10
full_808,C0,T0_T3,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424585,3.232086092532449,0.10302051437283644,0.03325537323874623,10
full_808,C0,T0_T3,C_PLUS_M,0.702237700581908,0.027883077489378735,0.5585084723486153,0.04616662427717508,0.2190903267843868,0.01829533022713375,3.731480399362823,3.2823877609352388,0.12631610918497266,0.032788983070896636,10
full_808,C1,T0,C,0.7031132876997803,0.018679208541506676,0.52788433880849,0.03167102723622831,0.21100392527082207,0.01350333639344532,2.5518689743424567,3.232086092532445,0.10302051437283641,0.033255373238746236,10
full_808,C1,T0,C_PLUS_M,0.7052352479120244,0.017082724225141007,0.5318680821087656,0.03684607149996137,0.20968466941750444,0.015443817251444173,2.3634146240918996,2.65852638149706,0.09052895268316168,0.0369672697717167,10
