population,arm,timing,model,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,calibration_slope_mean,calibration_slope_std,ece10_mean,ece10_std,n_cells
ftv_complete_375,C0,T0,C,0.6961589583479194,0.05945133767546719,0.490055109057408,0.06370225035646739,0.20959045241683003,0.005479237195107193,2.289865022083151,0.9416880177613691,0.14098391001348767,0.019459714222558194,10
ftv_complete_375,C0,T0,C_PLUS_F,0.701030919841618,0.055678843978264767,0.5079266606446124,0.06819616379718443,0.20705573391145812,0.02452153458006492,3.899529396851045,4.8398439128347315,0.12872483295048393,0.04283539802347448,10
ftv_complete_375,C0,T0,C_PLUS_F_PLUS_M,0.6720480570844147,0.06171725373382703,0.4414598491363537,0.065833422811173,0.2274162115084332,0.016466586585608758,5.825890553883616,6.367793702033957,0.17051393575357082,0.025039260397086836,10
ftv_complete_375,C0,T0,C_PLUS_M,0.6735347528209485,0.0558622167274671,0.442651643043415,0.06539837572846371,0.23470357992614604,0.016932067106704415,8.494853481569292,6.0621825481421,0.18506801588806474,0.03822138050505045,10
ftv_complete_375,C0,T0,F,0.5143817890897032,0.08104862087302242,0.35623717806511823,0.07171634978551912,0.24524256316165785,0.00040473294151593725,32.07148356956614,62.98862718002875,0.19393443205105237,0.016280808941708743,10
ftv_complete_375,C0,T0_T1,C,0.6961589583479194,0.05945133767546719,0.490055109057408,0.06370225035646739,0.20959045241683003,0.005479237195107193,2.289865022083151,0.9416880177613691,0.14098391001348767,0.019459714222558194,10
ftv_complete_375,C0,T0_T1,C_PLUS_F,0.7334826232100929,0.050994327501696676,0.5702290612116974,0.0716097210464633,0.1876687581326737,0.011549958342489734,1.3706525283944042,1.5867519518312156,0.14179556385765252,0.05100708495496999,10
ftv_complete_375,C0,T0_T1,C_PLUS_F_PLUS_M,0.7013134593406196,0.08359092683455271,0.5241813539835836,0.10326055749842401,0.2239672161730236,0.026839706489707682,7.147078797983366,8.894800514548514,0.1821694704708754,0.0489586001975063,10
ftv_complete_375,C0,T0_T1,C_PLUS_M,0.6656488101451964,0.09130752738803007,0.4733292133945632,0.10170981900381292,0.22260396379333008,0.014629433513801667,6.167469343972775,8.435698223070403,0.1616934759234845,0.03912829505674565,10
ftv_complete_375,C0,T0_T1,F,0.6752503765245332,0.09331768946019524,0.47053914636541805,0.0937913011621319,0.1973287100809636,0.017531397547250197,1.7723499040100585,0.7384128436217262,0.09569102657137922,0.028971660757168265,10
