seed,fold,arm,timing,train_auroc,validation_auroc,oof_auroc,train_minus_oof_auroc,validation_minus_oof_auroc
2026,0,C0,T0,0.6541948644885536,0.5542495479204339,0.5338997451146984,0.12029511937385517,0.020349802805735506
2026,0,C0,T0_T1,0.7319075219376356,0.6048824593128391,0.5670348343245539,0.16487268761308171,0.0378476249882852
2026,0,C0,T0_T2,0.760806916426513,0.7022302591922844,0.5432455395072218,0.21756137691929123,0.15898471968506267
2026,0,C0,T0_T3,0.7537642068451899,0.7025316455696202,0.6015293118096856,0.15223489503550425,0.10100233375993461
2026,0,C1,T0,0.5929071009940744,0.582579867389994,0.5447748513169075,0.048132249677166894,0.037805016073086506
2026,0,C1,T0_T1,0.6158242398730692,0.6045810729355033,0.5019541206457094,0.11387011922735979,0.1026269522897939
2026,0,C1,T0_T2,0.6487225981931808,0.6597347799879446,0.4744265080713679,0.1742960901218129,0.18530827191657673
2026,0,C1,T0_T3,0.6981025159472849,0.6714888487040385,0.49056924384027184,0.20753327210701306,0.18091960486376663
2026,0,C2,T0,0.6388628047793284,0.5919228450874021,0.5879354290569243,0.05092737572240413,0.003987416030477808
2026,0,C2,T0_T1,0.7433701389113752,0.593128390596745,0.6067969413763806,0.13657319753499453,-0.01366855077963558
2026,0,C2,T0_T2,0.6852475471942492,0.6398432790837855,0.5554800339847069,0.12976751320954227,0.08436324509907855
2026,0,C2,T0_T3,0.6179937182268561,0.6232670283303194,0.5332200509770604,0.08477366724979574,0.09004697735325906
2026,0,C3,T0,0.6304601236926465,0.5889089813140446,0.6450297366185217,-0.01456961292587522,-0.05612075530447713
2026,0,C3,T0_T1,0.6063691998834311,0.6259795057263412,0.5802888700084962,0.026080329874934916,0.04569063571784504
2026,0,C3,T0_T2,0.6336819609493897,0.6645569620253164,0.4647408666100255,0.16894109433936416,0.19981609541529094
2026,0,C3,T0_T3,0.6419875012142603,0.6482820976491863,0.4621920135938828,0.1797954876203775,0.18609008405530353
2026,0,C4,T0,0.5567464300747984,0.5427968655816757,0.5425658453695836,0.014180584705214772,0.00023102021209209234
2026,0,C4,T0_T1,0.5716089758119354,0.5269740807715491,0.4893797790994052,0.08222919671253015,0.03759430167214384
2026,0,C4,T0_T2,0.659391898455461,0.6371308016877637,0.5320305862361937,0.12736131221926728,0.10510021545157
2026,0,C4,T0_T3,0.6038597286533044,0.6344183242917419,0.47017841971113006,0.13368130894217434,0.16423990458061188
2026,0,C5,T0,0.521500501894246,0.5051235684147077,0.4796941376380629,0.041806364256183115,0.025429430776644835
2026,0,C5,T0_T1,0.5940485056503577,0.6069921639541892,0.4742565845369584,0.11979192111339931,0.1327355794172308
2026,0,C5,T0_T2,0.6060130168701228,0.6422543701024713,0.45471537807986406,0.1512976387902587,0.18753899202260726
2026,0,C5,T0_T3,0.6513939707929929,0.6306509945750451,0.5515717926932879,0.09982217809970495,0.07907920188175721
2026,1,C0,T0,0.5971840992023768,0.7070121951219513,0.5602378929481733,0.03694620625420353,0.14677430217377807
2026,1,C0,T0_T1,0.7485387670746277,0.6856707317073171,0.576890399320306,0.1716483677543218,0.10878033238701112
2026,1,C0,T0_T2,0.7849807859979978,0.7015243902439025,0.5750212404418013,0.20995954555619656,0.1265031498021012
2026,1,C0,T0_T3,0.6285077663319018,0.7243902439024391,0.5573491928632115,0.07115857346869026,0.16704105103922762
2026,1,C1,T0,0.5201989214324927,0.5057926829268293,0.5276125743415463,-0.007413652909053603,-0.021819891414716963
2026,1,C1,T0_T1,0.5027610036490457,0.5859756097560975,0.5094307561597281,-0.0066697525106823585,0.07654485359636942
2026,1,C1,T0_T2,0.6400200213130106,0.5670731707317074,0.5213254035683943,0.11869461774461632,0.04574776716331308
2026,1,C1,T0_T3,0.6385022766170438,0.5829268292682926,0.5408666100254885,0.09763566659155531,0.04206021924280412
2026,1,C2,T0,0.6149933800497303,0.6524390243902438,0.47714528462192013,0.13784809542781012,0.1752937397683237
2026,1,C2,T0_T1,0.6631575548164175,0.686890243902439,0.5738317757009346,0.0893257791154829,0.11305846820150445
2026,1,C2,T0_T2,0.6615913714599412,0.6960365853658537,0.5214953271028038,0.1400960443571374,0.1745412582630499
2026,1,C2,T0_T3,0.6928020150482772,0.7182926829268292,0.5199660152931181,0.17283599975515906,0.1983266676337111
2026,1,C3,T0,0.6977911970807633,0.7189024390243903,0.4949872557349193,0.202803941345844,0.22391518328947102
2026,1,C3,T0_T1,0.6703264765718345,0.677439024390244,0.5716227697536109,0.0987037068182236,0.10581625463663302
2026,1,C3,T0_T2,0.8570898052765847,0.7051829268292684,0.5332200509770603,0.32386975429952447,0.17196287585220815
2026,1,C3,T0_T3,0.6488035650854136,0.6685975609756099,0.5502124044180118,0.09859116066740181,0.11838515655759807
2026,1,C4,T0,0.5590063616107469,0.5262195121951219,0.5410365335598981,0.01796982805084879,-0.01481702136477625
2026,1,C4,T0_T1,0.6370652630219266,0.6027439024390244,0.5775700934579439,0.05949516956398271,0.02517380898108057
2026,1,C4,T0_T2,0.6634966254399846,0.5667682926829268,0.5289719626168223,0.13452466282316222,0.0377963300661045
2026,1,C4,T0_T3,0.5980317757612943,0.5567073170731707,0.47204757858963464,0.12598419717165965,0.08465973848353603
2026,1,C5,T0,0.5506829851131849,0.6603658536585365,0.5149532710280373,0.03572971408514758,0.14541258263049917
2026,1,C5,T0_T1,0.5793263796945134,0.6012195121951219,0.4426508071367885,0.1366755725577249,0.15856870505833343
2026,1,C5,T0_T2,0.589869861465431,0.5649390243902439,0.4892098555649958,0.10066000590043517,0.0757291688252481
2026,1,C5,T0_T3,0.6002599541447347,0.5530487804878049,0.5194562446898896,0.08080370945484505,0.033592535797915324
2026,2,C0,T0,0.7515461580804974,0.5617842073538276,0.5920135938827528,0.15953256419774464,-0.03022938652892515
