seed,timing,reference_arm,candidate_arm,population,draws,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_brier,delta_brier_ci_low,delta_brier_ci_high
2026,T0,C0,C1,full_808,5000.0,-0.012714500953153038,-0.06905533443094758,0.04470028032532305,-0.002329732171347781,-0.048659809243255414,0.04532901560102821,-0.007850761867814644,-0.015206986182069903,-0.0007916092257360288
2026,T0,C0,C2,full_808,5000.0,-0.004057621746246822,-0.05107908049432082,0.043722432453953006,-0.0004943464149384556,-0.04211403814036736,0.04077674383063923,0.01310257228729288,0.0016214413854486634,0.024630691912954247
2026,T0,C0,C3,full_808,5000.0,0.03740857356859367,-0.008291740422317902,0.08304052467124991,0.03144076519893066,-0.010054524341523633,0.07499738510147884,-0.01618346251408929,-0.025323546712016465,-0.007221191416106503
2026,T0,C0,C4,full_808,5000.0,-0.023058190369488533,-0.07066737314327906,0.02566087787316313,-0.014230485484513269,-0.06169664771899036,0.034385799233021985,0.035552107569018894,0.02560030582573653,0.04537774509241145
2026,T0,C0,C5,full_808,5000.0,-0.024595451752683517,-0.09266622914359456,0.044680410662891815,-0.009881016735381653,-0.05904196561791245,0.04127238851503075,-0.0003783694287463632,-0.010770237073370327,0.00997840640289429
2026,T0,C2,C3,full_808,5000.0,0.041676942555925564,-0.002640882513939008,0.08504037690437208,0.03264323099567935,-0.008463868637064033,0.07563203773240491,-0.029244104037172473,-0.03985445457912327,-0.01847730014620487
2026,T0,C3,C4,full_808,5000.0,-0.06064939685815614,-0.11719040868911304,-0.004258277472580936,-0.04623967596744914,-0.10231722482314605,0.008229636003631611,0.05179787885915366,0.03954084034024228,0.06422376377743179
2026,T0_T1,C0,C1,full_808,5000.0,-0.03427072169686157,-0.08893943763372487,0.023695464483822634,-0.019600527860749322,-0.06546111659739165,0.026431398397587718,0.016739143085072888,0.004953717927699492,0.02809293543049161
2026,T0_T1,C0,C2,full_808,5000.0,0.0020011947538423657,-0.04747870808566528,0.05184703131792106,0.0007979626563455676,-0.043999536603024185,0.04640816351915294,0.04199846935428872,0.025635746070333993,0.0580130275018799
2026,T0_T1,C0,C3,full_808,5000.0,-0.01129051227128713,-0.06508381232619585,0.041506989318833724,-0.002823909470513062,-0.05030393723266102,0.044021978610431854,0.01523832667134331,0.003129615281315518,0.027077600215020963
2026,T0_T1,C0,C4,full_808,5000.0,-0.02815115179085733,-0.08949300508822633,0.03250778888567313,-0.01654386233088754,-0.06692950511390096,0.03449135588981434,0.020226591640644477,0.0071967060242703815,0.033260580825653197
2026,T0_T1,C0,C5,full_808,5000.0,-0.038002244456624194,-0.1051671795658873,0.02915929801845057,-0.0167756361094824,-0.0675833208394554,0.03570964197219029,0.01139895061516452,-0.0021086312574493168,0.024530312628105795
2026,T0_T1,C2,C3,full_808,5000.0,-0.012527288619125297,-0.06091709708867208,0.03560321593784867,-0.0029257693596180944,-0.04844420753309786,0.043927824102185785,-0.02684325770103901,-0.041534710710514317,-0.012232673386085554
2026,T0_T1,C3,C4,full_808,5000.0,-0.016517204038891453,-0.06626693639482949,0.03291666647677137,-0.013798688687408574,-0.06372473551608154,0.03428658469957387,0.004836701432891097,-0.005400595651128796,0.01517842641553241
2026,T0_T2,C0,C1,full_808,5000.0,-0.047356512559308145,-0.09444439262734741,-0.0014158801501083498,-0.04257958535366447,-0.0948584379925612,0.009005410752885704,0.01793190334528273,0.005259912786668092,0.03066675499275225
2026,T0_T2,C0,C2,full_808,5000.0,-0.022652449825189876,-0.07746479717054279,0.0314132912311264,-0.017986150688777423,-0.06868167074607287,0.03316987608689336,0.0401732084683996,0.0215142113425932,0.05914576133192104
2026,T0_T2,C0,C3,full_808,5000.0,-0.013148163733426296,-0.06894099595401375,0.042639045768244135,-0.015699829656403277,-0.07026905135154235,0.03717127931855938,0.009426456037943771,-0.004625152861543839,0.023451815704423135
2026,T0_T2,C0,C4,full_808,5000.0,-0.047208863891551815,-0.10451270662176662,0.010251244175967199,-0.04190559423965904,-0.09837623133408346,0.01443934223180057,0.0015462347863246697,-0.011859388006368361,0.01445648095212151
2026,T0_T2,C0,C5,full_808,5000.0,-0.050214625749681885,-0.10640987395279017,0.0064729485005864205,-0.030868864392880755,-0.08598165194926041,0.02593537931271914,0.0022942747806668808,-0.010481581539451583,0.014381170030389056
2026,T0_T2,C2,C3,full_808,5000.0,0.009011676538759571,-0.0483138608603293,0.06508300881330822,0.0015581595334636805,-0.049569604015426136,0.05130491595630814,-0.030491703691915426,-0.048116274611473026,-0.012273091645976286
2026,T0_T2,C3,C4,full_808,5000.0,-0.03535879596780445,-0.08338616554511073,0.011974601983638821,-0.027121390508965146,-0.07629685078962976,0.022465030713563875,-0.007641088841360096,-0.01721686443202822,0.0021854891878689206
2026,T0_T3,C0,C1,full_808,5000.0,-0.02641929838981349,-0.07885282320410077,0.025222076418768294,-0.00920911610058662,-0.057281437994913635,0.03807757750852084,0.026317103888940117,0.012161648634907507,0.04043595618806407
2026,T0_T3,C0,C2,full_808,5000.0,-0.012675799539736686,-0.05934942968383557,0.03223561258823197,0.007892254892103694,-0.03584270596283389,0.051169501868532995,0.03740282520914479,0.022498277436625722,0.05218373032968589
2026,T0_T3,C0,C3,full_808,5000.0,-0.002840164169968995,-0.054137775308134864,0.0474024728270051,-0.0017201162665301155,-0.04939710223263995,0.044696673713873904,0.03916673601624428,0.023676441656050658,0.055340806056214144
2026,T0_T3,C0,C4,full_808,5000.0,-0.03270738984063046,-0.09734796406273115,0.02959783153694224,-0.012566587155607423,-0.06706619574503175,0.03945525261525269,0.037830012827277236,0.021500716298042778,0.05381683674005351
2026,T0_T3,C0,C5,full_808,5000.0,-0.030537163736781066,-0.09480409709764605,0.036312065452598935,-0.004382139706795342,-0.060126154450933715,0.05071489285224948,0.005049546935064034,-0.008530266465972483,0.018432254287352384
2026,T0_T3,C2,C3,full_808,5000.0,0.0095183790258882,-0.04028984292837714,0.06105007786489451,-0.009523396689462145,-0.05599376203259678,0.037212246590756885,0.0018500682332575806,-0.0137261760502321,0.016856440145048203
2026,T0_T3,C3,C4,full_808,5000.0,-0.030030889185435672,-0.08722339289015779,0.02723828050893176,-0.010933818256886808,-0.062366219706222005,0.03988063846045553,-0.0011964866804139935,-0.015822338552513852,0.012958007596162557
3026,T0,C0,C1,full_808,5000.0,-0.03596256897593209,-0.10342667296189666,0.028506033515491382,-0.03951960157188788,-0.09630229574425267,0.016345676666991216,0.013036580514091043,0.003469292530355079,0.02236515903162519
3026,T0,C0,C2,full_808,5000.0,-0.039469670409093,-0.08961722110283016,0.010703556957130926,-0.05592198434436353,-0.10303326652915647,-0.008446150088293159,0.01273548583271661,0.003583451777761765,0.02167144454334213
3026,T0,C0,C3,full_808,5000.0,-0.04117187382257979,-0.08611687779783771,0.004363677958963714,-0.04675359171009661,-0.09608414258723409,0.0047809134538032184,0.009494805706194981,0.0010833137602549324,0.017610446033296045
3026,T0,C0,C4,full_808,5000.0,-0.04314617275309615,-0.09843412635462413,0.011820424408771325,-0.05065973985309318,-0.10632942779908383,0.002896266777069345,-0.00240395912335601,-0.010075534870396325,0.00527285456735801
3026,T0,C0,C5,full_808,5000.0,-0.03996500460248065,-0.09913525187492896,0.02025197671958792,-0.053887719034982504,-0.10797665612251155,-5.643820735819211e-05,0.01582976433143578,0.0057256237776729755,0.025932063001492575
3026,T0,C2,C3,full_808,5000.0,-0.0026179120971449856,-0.051277504664222505,0.04559243117065621,0.009021669768862173,-0.03268644355159733,0.051107137043056514,-0.00314968681377,-0.010795053927527585,0.005017065906022889
3026,T0,C3,C4,full_808,5000.0,-0.0022621687836952616,-0.05029972261987954,0.04654130574781653,-0.004405896901310101,-0.036908520505850174,0.02693138754695628,-0.011749042687120773,-0.018002068935035292,-0.005735536990780537
3026,T0_T1,C0,C1,full_808,5000.0,-0.04659313164546569,-0.10556772269137546,0.014062704853408159,-0.026172206270396646,-0.07732733816770256,0.025344771190014676,0.015418422930097632,0.0018414391459555827,0.02896680705811225
3026,T0_T1,C0,C2,full_808,5000.0,-0.031327163786993524,-0.08362044306336533,0.021950400196797875,-0.024410151910664927,-0.06815626891033345,0.02022843337640085,0.036526050814157995,0.02041420938714126,0.05276000503422708
3026,T0_T1,C0,C3,full_808,5000.0,-0.029409899324635967,-0.08165497276514204,0.02132130949467904,-0.015768312291520606,-0.06759672670615914,0.03542287799045217,0.024098462690235516,0.007418203309514866,0.041063875478215
3026,T0_T1,C0,C4,full_808,5000.0,-0.050471064884608154,-0.11870204759528752,0.01531381161791526,-0.013699202196263445,-0.06867768428298399,0.04185541652635499,0.023562542392605912,0.007671771689513645,0.038577324075338905
3026,T0_T1,C0,C5,full_808,5000.0,-0.05730376221744065,-0.12836077397414172,0.012925301898854278,-0.026523824981809788,-0.08386043420824968,0.02909002827763985,0.006451149903938429,-0.007430514686199021,0.02038748127531083
3026,T0_T1,C2,C3,full_808,5000.0,0.002029213925812214,-0.050973415734108,0.05517732771582996,0.008937984955372182,-0.03561790838532956,0.05419589901111194,-0.012519542132162121,-0.03049511776506485,0.00631843216522945
3026,T0_T1,C3,C4,full_808,5000.0,-0.021522310047952166,-0.08178363257899304,0.03956897706476864,0.0011313366289443902,-0.05505185030402135,0.05660679367927747,-0.0004703452849156327,-0.017835718422602162,0.01683877598874464
3026,T0_T2,C0,C1,full_808,5000.0,-0.020403946132126247,-0.07723790590245186,0.035986060999109545,-0.010429943075875026,-0.06389950691339183,0.0425172789611892,0.011597089024738182,0.004858503590257013,0.018135600906779615
3026,T0_T2,C0,C2,full_808,5000.0,0.023200101409827822,-0.024098479381629564,0.07226310197285973,0.012227152879441231,-0.03837283366677918,0.06466601615913319,0.015710235068891427,0.0015353874628001739,0.0302571298000996
3026,T0_T2,C0,C3,full_808,5000.0,-0.0040131841617765535,-0.057065780380021185,0.05041740836624376,0.005052237775245128,-0.04960257363661897,0.060393286228431396,0.027555224316874728,0.012090776244677285,0.043343253322976956
3026,T0_T2,C0,C4,full_808,5000.0,-0.008576863370822268,-0.07211567858510248,0.05529698241487539,-0.020492214129536897,-0.07521184737731437,0.03391142703141699,0.009962473973460234,-0.0031561362730969248,0.023551298861040935
3026,T0_T2,C0,C5,full_808,5000.0,-0.024986793736400417,-0.08712701346770334,0.03760932691226856,-0.025071784183095445,-0.08245508002271172,0.032463194493378186,0.018382008302610522,0.006571182033226543,0.0307548951545646
3026,T0_T2,C2,C3,full_808,5000.0,-0.02780443489997258,-0.0780714671150619,0.024013317574464642,-0.007372953951289364,-0.05904727132114619,0.042828308647765614,0.011934229441132406,-0.006618449918358309,0.030134530158377762
3026,T0_T2,C3,C4,full_808,5000.0,-0.004842835911301289,-0.06582726427702612,0.05393725401535034,-0.026105404325032576,-0.08016566345604254,0.027491586693108253,-0.01749883808462933,-0.03669169437951995,0.0022976336783730044
3026,T0_T3,C0,C1,full_808,5000.0,-0.004679809312089956,-0.058922390408734426,0.04747120939924743,0.0009919930820247206,-0.05327392200641633,0.05251172523018978,0.011567292672897222,0.0020361857996652236,0.02111569841099915
3026,T0_T3,C0,C2,full_808,5000.0,-0.026391303971371058,-0.0800101943690383,0.025131765448606597,-0.018223126028800756,-0.06800603312949827,0.030587530692980366,0.03091866454509866,0.01747635415599336,0.04460440417217457
3026,T0_T3,C0,C3,full_808,5000.0,-0.058256933567349255,-0.11445967783770578,0.00019675132011798098,-0.04735465771964223,-0.0991539731333353,0.005150672647030877,0.04004718699929379,0.025143771422414977,0.05456635490726374
3026,T0_T3,C0,C4,full_808,5000.0,-0.04253527058919642,-0.10849575347542899,0.023635947268541794,-0.03375389805451004,-0.08941193967871171,0.0200589051229709,0.03219847470223376,0.015994468056447414,0.04824590379166686
3026,T0_T3,C0,C5,full_808,5000.0,-0.058433169790783904,-0.12817112523676705,0.01335503060842045,-0.03834850920505872,-0.0966378249195332,0.018477490966535948,0.028459090158644222,0.016051587290893093,0.04024308049351716
3026,T0_T3,C2,C3,full_808,5000.0,-0.03008510881345244,-0.08723951088948712,0.02772949788558619,-0.028215943412862356,-0.07955327330268273,0.023304626810711073,0.008858561221533716,-0.008854715226671698,0.026500811078017234
3026,T0_T3,C3,C4,full_808,5000.0,0.014828655667649276,-0.03783685350848872,0.06764242213469897,0.013333727532980504,-0.026704858392711854,0.05367388986306027,-0.007756344585405495,-0.025818571120597898,0.010419611253934622
