n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
162.0,55.0,107.0,0.6977909940526763,0.5189698532587201,0.204581612406788,0.5987329242313176,0.07425457956753162,2026,0,T0,full_808,C5,C,0.1,0.7254370102471368
162.0,55.0,107.0,0.6887000849617673,0.48499963258562423,0.23772247345648254,5.774717981180595,0.1768374365772832,2026,0,T0,full_808,C5,C_PLUS_M,0.001,0.7284508740204942
162.0,55.0,107.0,0.6977909940526763,0.5189698532587201,0.204581612406788,0.5987329242313176,0.07425457956753162,2026,0,T0_T1,full_808,C5,C,0.1,0.7254370102471368
162.0,55.0,107.0,0.6674596431605777,0.4735847681766207,0.23851089411558024,4.9388748798715,0.1575393158377556,2026,0,T0_T1,full_808,C5,C_PLUS_M,0.001,0.7480409885473176
162.0,55.0,107.0,0.6977909940526763,0.5189698532587201,0.204581612406788,0.5987329242313176,0.07425457956753162,2026,0,T0_T2,full_808,C5,C,0.1,0.7254370102471368
162.0,55.0,107.0,0.6662701784197111,0.4940509865781451,0.214645408996695,1.0348853427054605,0.07686106406205075,2026,0,T0_T2,full_808,C5,C_PLUS_M,0.01,0.774864376130199
162.0,55.0,107.0,0.6977909940526763,0.5189698532587201,0.204581612406788,0.5987329242313176,0.07425457956753162,2026,0,T0_T3,full_808,C5,C,0.1,0.7254370102471368
162.0,55.0,107.0,0.6796941376380629,0.483406603412474,0.21303583982499893,1.0105329859606793,0.08447671595417491,2026,0,T0_T3,full_808,C5,C_PLUS_M,0.01,0.7450271247739602
162.0,55.0,107.0,0.6807986406117247,0.5515332886856389,0.20364924721577493,0.7807298982139561,0.08823721335193795,2026,1,T0,full_808,C5,C,10.0,0.7158536585365854
162.0,55.0,107.0,0.6844519966015292,0.5595412888514113,0.20216899378847017,0.8713668374908066,0.08057642976263166,2026,1,T0,full_808,C5,C_PLUS_M,0.1,0.7314024390243902
162.0,55.0,107.0,0.6807986406117247,0.5515332886856389,0.20364924721577493,0.7807298982139561,0.08823721335193795,2026,1,T0_T1,full_808,C5,C,10.0,0.7158536585365854
162.0,55.0,107.0,0.6542056074766355,0.5065605226242493,0.212570760242295,0.6213973038738164,0.07529023404732405,2026,1,T0_T1,full_808,C5,C_PLUS_M,1.0,0.7411585365853659
