arm,timing,train_auroc_mean,validation_auroc_mean,oof_auroc_mean,train_minus_oof_auroc_mean,validation_minus_oof_auroc_mean
C0,T0,0.7037803622669747,0.600597351475323,0.5500347862329876,0.15374557603398706,0.05056256524233545
C0,T0_T1,0.6827367515589504,0.6089620547200048,0.5712619227008224,0.11147482885812798,0.03770013201918232
C0,T0_T2,0.7130630151761368,0.62150682162337,0.5620863724531507,0.150976642722986,0.05942044917021917
C0,T0_T3,0.6651006118539631,0.6196967759008511,0.5714900370305062,0.09361057482345705,0.04820673887034514
C1,T0,0.5587267273812992,0.5547580271688793,0.5268104070149564,0.031916320366342815,0.027947620153922808
C1,T0_T1,0.5811857329867569,0.5826359546597274,0.5099565572850707,0.07122917570168612,0.07267939737465667
C1,T0_T2,0.6014849605966092,0.5761920750084536,0.522026257995223,0.07945870260138621,0.0541658170132306
C1,T0_T3,0.6258738628127941,0.5805799850041901,0.5369899488626345,0.08888391395015964,0.043590036141555516
C2,T0,0.6693948156183582,0.6131818315470677,0.5115204950225228,0.15787432059583534,0.10166133652454486
C2,T0_T1,0.780530792043302,0.6326746938355459,0.5387465734758982,0.24178421856740395,0.09392812035964786
C2,T0_T2,0.81322195435775,0.6595157786794866,0.5586691460540869,0.254552808303663,0.10084663262539964
C2,T0_T3,0.7567785933788371,0.6367243343771593,0.5392119395328706,0.21756665384596657,0.0975123948442887
C3,T0,0.6508906036089084,0.6071097597730046,0.5554369118802199,0.09545369172868838,0.051672847892784646
C3,T0_T1,0.7697955522239482,0.6411924057983798,0.5351712861287893,0.23462426609515896,0.10602111966959063
C3,T0_T2,0.770738377977856,0.645872513562387,0.5413050448053094,0.22943333317254674,0.10456746875707768
C3,T0_T3,0.7695370478041077,0.6220997074346875,0.5295272599028551,0.24000978790125266,0.09257244753183233
C4,T0,0.5684866889714999,0.5486765186933062,0.5145577980474825,0.053928890924017446,0.034118720645823844
C4,T0_T1,0.6173063834161694,0.597183470794925,0.5153118738077299,0.10199450960843952,0.08187159698719504
C4,T0_T2,0.6802291589221701,0.5940064908334436,0.5169963610714802,0.16323279785069,0.07701012976196345
C4,T0_T3,0.6866846897949628,0.5872331811699671,0.5253213318157772,0.16136335797918558,0.06191184935418994
C5,T0,0.5440541755704795,0.5409750676281627,0.5216351132556387,0.02241906231484079,0.019339954372523976
C5,T0_T1,0.568003773866711,0.5826331429453535,0.4867823536012568,0.08122142026545419,0.09585078934409669
C5,T0_T2,0.5879422504365254,0.6105925274555639,0.5099071832769593,0.07803506715956607,0.10068534417860456
C5,T0_T3,0.6049290437276752,0.5809974602684543,0.5275355476827881,0.0773934960448871,0.05346191258566633
