seed,timing,reference_arm,candidate_arm,population,draws,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_brier,delta_brier_ci_low,delta_brier_ci_high
2026,T0,C3,C4,full_808,5000.0,-0.06064939685815614,-0.11719040868911304,-0.004258277472580936,-0.04623967596744914,-0.10231722482314605,0.008229636003631611,0.05179787885915366,0.03954084034024228,0.06422376377743179
2026,T0_T1,C3,C4,full_808,5000.0,-0.016517204038891453,-0.06626693639482949,0.03291666647677137,-0.013798688687408574,-0.06372473551608154,0.03428658469957387,0.004836701432891097,-0.005400595651128796,0.01517842641553241
2026,T0_T2,C3,C4,full_808,5000.0,-0.03535879596780445,-0.08338616554511073,0.011974601983638821,-0.027121390508965146,-0.07629685078962976,0.022465030713563875,-0.007641088841360096,-0.01721686443202822,0.0021854891878689206
2026,T0_T3,C3,C4,full_808,5000.0,-0.030030889185435672,-0.08722339289015779,0.02723828050893176,-0.010933818256886808,-0.062366219706222005,0.03988063846045553,-0.0011964866804139935,-0.015822338552513852,0.012958007596162557
3026,T0,C3,C4,full_808,5000.0,-0.0022621687836952616,-0.05029972261987954,0.04654130574781653,-0.004405896901310101,-0.036908520505850174,0.02693138754695628,-0.011749042687120773,-0.018002068935035292,-0.005735536990780537
3026,T0_T1,C3,C4,full_808,5000.0,-0.021522310047952166,-0.08178363257899304,0.03956897706476864,0.0011313366289443902,-0.05505185030402135,0.05660679367927747,-0.0004703452849156327,-0.017835718422602162,0.01683877598874464
3026,T0_T2,C3,C4,full_808,5000.0,-0.004842835911301289,-0.06582726427702612,0.05393725401535034,-0.026105404325032576,-0.08016566345604254,0.027491586693108253,-0.01749883808462933,-0.03669169437951995,0.0022976336783730044
3026,T0_T3,C3,C4,full_808,5000.0,0.014828655667649276,-0.03783685350848872,0.06764242213469897,0.013333727532980504,-0.026704858392711854,0.05367388986306027,-0.007756344585405495,-0.025818571120597898,0.010419611253934622
