arm,timing,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,calibration_slope_mean,calibration_slope_std,ece10_mean,ece10_std,n_cells
C0,T0,0.5500347862329876,0.04473056269746066,0.40110810032845495,0.0597576088887372,0.24385697028417516,0.01213312199142998,13.621597430214177,21.115345930191296,0.13728506203667684,0.03475097430736471,10
C0,T0_T1,0.5712619227008224,0.03464984897016924,0.4095048642435331,0.04057736340829671,0.24199249701131137,0.012194095809656942,16.343605213865896,28.190514109482727,0.12987917200278612,0.03997355336670902,10
C0,T0_T2,0.5620863724531509,0.03135631606621803,0.41383270142519973,0.03390703960523017,0.24284350415401673,0.009412787554099977,15.734665454558264,23.922612112623572,0.13841930551799145,0.032672676936572484,10
C0,T0_T3,0.5714900370305062,0.031025125686016015,0.41286756663404267,0.028800484558986292,0.23439995749060225,0.011981574689627985,12.180466851496801,24.66910297364654,0.10592719854660582,0.045253625407758305,10
C1,T0,0.5268104070149565,0.032638388819482826,0.3919271704400675,0.03582226156043846,0.24646140724136148,0.009936850787482429,0.9699059475746766,1.1198739399615119,0.14652041654553064,0.02898933225941453,10
C1,T0_T1,0.5099565572850707,0.03819423008972035,0.3662178216577497,0.03254686130230459,0.25803570759907657,0.014515408537704175,0.22966371456557338,0.618745572805065,0.17636707430465043,0.040239388545414784,10
C1,T0_T2,0.5220262579952228,0.040571304902528284,0.3795840108052805,0.03969886563061995,0.2576099849976871,0.016689933270556807,0.5036988841220866,1.3571119277472872,0.17382319027268167,0.054287803511667586,10
C1,T0_T3,0.5369899488626345,0.033159961877027966,0.3950110295033378,0.035080441103205996,0.25336135590403497,0.017228587902984288,0.4869237053995299,1.0456514172875886,0.1659233977350149,0.05114556878201224,10
C2,T0,0.5115204950225228,0.055184208436498204,0.3597603671674792,0.03770810866183811,0.2566562345497174,0.029835743399714107,-0.008784386777048379,1.0500657861155431,0.1608674551108143,0.06768159913689711,10
C2,T0_T1,0.5387465734758982,0.039908094232665794,0.3818228637132847,0.040945334186001506,0.28126955381189367,0.03288100648177158,0.16787190660067056,0.3001943976464125,0.21345021285722537,0.05351400032147345,10
C2,T0_T2,0.558669146054087,0.05002456952922755,0.39692520632122585,0.043736324042052785,0.270760387087292,0.034372917176483955,0.24409532134206172,0.32458801541467647,0.1936626432709721,0.07423259222959004,10
C2,T0_T3,0.5392119395328706,0.028034115502153362,0.39262650622850537,0.0373777684997292,0.2686500694721787,0.025215543449753814,0.2074675604562247,0.24171761679552348,0.19170544020521893,0.052273366278225035,10
C3,T0,0.5554369118802199,0.05373861965204068,0.40540451798663907,0.06230485755920421,0.2404436236437185,0.01831030334913412,2.949584833163306,5.909927222398095,0.1186600511817216,0.0651612122808583,10
C3,T0_T1,0.5351712861287893,0.03674403453152591,0.37655234885127165,0.04125921505373025,0.26167786051144865,0.02395581116739873,0.4585557095320647,0.8922679434441899,0.1659888035376384,0.052656570492131294,10
C3,T0_T2,0.5413050448053093,0.059068125449189296,0.4095982030165013,0.04994302740058138,0.2613671868884392,0.0287089973461186,0.37416780590035165,0.6044806547934657,0.1777752866499111,0.06944548421914268,10
C3,T0_T3,0.529527259902855,0.04510472976690689,0.3723668291355055,0.03945378338933755,0.27395559718310286,0.025831924467268355,0.18413955739315904,0.4255655698583174,0.20666693824662924,0.05168732448418538,10
C4,T0,0.5145577980474824,0.029921689109173536,0.3818274524380518,0.029512770376729502,0.2605175299916359,0.03309017587260318,7.6639851080761545,13.506339098744489,0.16923468065537445,0.09077726384611802,10
C4,T0_T1,0.5153118738077299,0.0491427193189829,0.3691350351878872,0.044635314651962965,0.26371034237286417,0.03044415236013036,-0.8047275336188117,5.438746124475651,0.18099529832880354,0.08967717607472502,10
C4,T0_T2,0.5169963610714802,0.03982932002879082,0.37302271848102275,0.02334287751057486,0.24869957515295762,0.020074602474928652,0.4607915018426004,2.1851113354841423,0.13260433630172322,0.07247224188468529,10
C4,T0_T3,0.5253213318157772,0.04765654428127942,0.3712860580057162,0.042914672245472754,0.2695556749141404,0.0380558916089731,0.3796763914885314,3.3522200000289613,0.18996927725804177,0.0893311792898523,10
C5,T0,0.5216351132556387,0.03870165366084202,0.3715000948802038,0.03403087747981277,0.251577312289223,0.02936440411009864,-2.1836633698313914,7.0099703943500815,0.13759529109326948,0.09505519465375764,10
C5,T0_T1,0.4867823536012568,0.03991499565128907,0.3549974405720286,0.03157684272405801,0.25097523083672685,0.03439674369360028,-9.418006698326673,17.555633997584472,0.12916020555710944,0.10289825499492256,10
C5,T0_T2,0.5099071832769594,0.0365874893681078,0.3682450749169348,0.03539163968111394,0.25333590725028277,0.025608074091156726,6.389552767289987,13.656562082232366,0.15077687398909828,0.07231370182815094,10
C5,T0_T3,0.5275355476827881,0.04098213387907301,0.3766434013978027,0.036149442651717455,0.2513004018901718,0.029482642401458557,11.429037925997523,16.804759416545593,0.14438556040261621,0.08238945539060276,10
