n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,arm,timing,split,population
162.0,55.0,107.0,0.5338997451146984,0.37992308869496094,0.249260050535013,23.07702158148963,0.15845784438238053,2026,0,C0,T0,test,full_808
525.0,178.0,347.0,0.6541948644885536,0.5016285413071133,0.24892204570927387,88.16446071844993,0.17003370194234074,2026,0,C0,T0,train,full_808
121.0,42.0,79.0,0.5542495479204339,0.381830291852437,0.24931457378172234,21.26448818520725,0.15100472763019038,2026,0,C0,T0,validation,full_808
162.0,55.0,107.0,0.5670348343245539,0.36546252210477503,0.24081460363235802,0.18198423780094997,0.1316036064941831,2026,0,C0,T0_T1,test,full_808
525.0,178.0,347.0,0.7319075219376356,0.5882541560034624,0.19112329194090344,1.1446601578717448,0.04002118064842559,2026,0,C0,T0_T1,train,full_808
121.0,42.0,79.0,0.6048824593128391,0.41370893382696666,0.23900447290138976,0.31369048248982373,0.17390722722454957,2026,0,C0,T0_T1,validation,full_808
162.0,55.0,107.0,0.5432455395072218,0.36827147930037063,0.25041873018644356,0.15868887800951129,0.1686733212880247,2026,0,C0,T0_T2,test,full_808
525.0,178.0,347.0,0.760806916426513,0.6475289152115402,0.17985652880942687,1.0001494990755884,0.028964695698616975,2026,0,C0,T0_T2,train,full_808
121.0,42.0,79.0,0.7022302591922844,0.5425624592915509,0.2127711868425309,0.5949169354058177,0.10903553609712553,2026,0,C0,T0_T2,validation,full_808
162.0,55.0,107.0,0.6015293118096856,0.39582573572513,0.23137703574750101,0.3586522421530938,0.09250010047170537,2026,0,C0,T0_T3,test,full_808
525.0,178.0,347.0,0.7537642068451899,0.6188884315010075,0.1839692100030908,1.176714551970315,0.034930301897051534,2026,0,C0,T0_T3,train,full_808
121.0,42.0,79.0,0.7025316455696202,0.5161072795598917,0.20762584803286724,0.869192358625028,0.09410058065196285,2026,0,C0,T0_T3,validation,full_808
162.0,55.0,107.0,0.5447748513169075,0.382176657267561,0.23831882454529835,1.7925497418455754,0.12250982445699193,2026,0,C1,T0,test,full_808
525.0,178.0,347.0,0.5929071009940744,0.4133294349546543,0.23666547978276473,3.304434405472063,0.12176766310419354,2026,0,C1,T0,train,full_808
121.0,42.0,79.0,0.582579867389994,0.4907964976775844,0.2377909694818852,4.86078921980479,0.141032210312599,2026,0,C1,T0,validation,full_808
162.0,55.0,107.0,0.5019541206457094,0.33815362120826187,0.2764079372597768,0.12359584497346372,0.22640380079363595,2026,0,C1,T0_T1,test,full_808
525.0,178.0,347.0,0.6158242398730692,0.4387213267643662,0.269834982210539,2.733017970762159,0.22615248532522295,2026,0,C1,T0_T1,train,full_808
121.0,42.0,79.0,0.6045810729355033,0.4601122149525707,0.27252921257062296,2.735036977553345,0.22487735822181068,2026,0,C1,T0_T1,validation,full_808
162.0,55.0,107.0,0.4744265080713679,0.3296343208011798,0.25089375732247643,-0.42736296083145836,0.14884879210113008,2026,0,C1,T0_T2,test,full_808
525.0,178.0,347.0,0.6487225981931808,0.4609646982349629,0.2351688514992056,2.169648446531399,0.1445135347616105,2026,0,C1,T0_T2,train,full_808
121.0,42.0,79.0,0.6597347799879446,0.5252056463606253,0.23734777652812405,2.712849002394018,0.16430298873215668,2026,0,C1,T0_T2,validation,full_808
162.0,55.0,107.0,0.49056924384027184,0.363341945819602,0.24649938580716146,-0.0689579933311761,0.14236003040899464,2026,0,C1,T0_T3,test,full_808
525.0,178.0,347.0,0.6981025159472849,0.49802709193604905,0.21383633761833282,1.5762934601553742,0.10094840828861508,2026,0,C1,T0_T3,train,full_808
121.0,42.0,79.0,0.6714888487040385,0.5176236858285953,0.2223730254771234,1.3168963966763374,0.11695355644896015,2026,0,C1,T0_T3,validation,full_808
162.0,55.0,107.0,0.5879354290569243,0.42106506296753377,0.22540591452026798,0.9558298198075227,0.09271972092949313,2026,0,C2,T0,test,full_808
525.0,178.0,347.0,0.6388628047793284,0.4811475864391249,0.22285187145895868,1.2612996300073562,0.10481781391870408,2026,0,C2,T0,train,full_808
121.0,42.0,79.0,0.5919228450874021,0.46773708677318915,0.22812318520033018,0.9853818918503546,0.10380989387015667,2026,0,C2,T0,validation,full_808
162.0,55.0,107.0,0.6067969413763806,0.46108033233618123,0.25817639452568597,0.6367752843484603,0.1964323812244851,2026,0,C2,T0_T1,test,full_808
525.0,178.0,347.0,0.7433701389113752,0.5844554759761589,0.23156010583136322,1.5799800508878492,0.19815883444888252,2026,0,C2,T0_T1,train,full_808
121.0,42.0,79.0,0.593128390596745,0.4454893140317056,0.2707207156414281,0.5131909982358542,0.2216958903576717,2026,0,C2,T0_T1,validation,full_808
162.0,55.0,107.0,0.5554800339847069,0.3620683447712507,0.24431507400997296,0.25256389722765815,0.14352748938548715,2026,0,C2,T0_T2,test,full_808
525.0,178.0,347.0,0.6852475471942492,0.5268346078205226,0.22617831642758363,2.2071068242900718,0.14168454489537646,2026,0,C2,T0_T2,train,full_808
121.0,42.0,79.0,0.6398432790837855,0.542211451765732,0.23040268479761503,1.7285131508677027,0.15454013153048587,2026,0,C2,T0_T2,validation,full_808
162.0,55.0,107.0,0.5332200509770604,0.36965204216956143,0.25512207937856407,0.3758820480454824,0.17354836701243015,2026,0,C2,T0_T3,test,full_808
525.0,178.0,347.0,0.6179937182268561,0.46389876770792665,0.24150238179556244,1.4494757680249235,0.16645895015625722,2026,0,C2,T0_T3,train,full_808
121.0,42.0,79.0,0.6232670283303194,0.551063595110947,0.24106243140518147,1.2128379238273406,0.19401209832223,2026,0,C2,T0_T3,validation,full_808
162.0,55.0,107.0,0.6450297366185217,0.5199986645376553,0.23407240300345383,4.790953297773459,0.17029897095980462,2026,0,C3,T0,test,full_808
525.0,178.0,347.0,0.6304601236926465,0.44966049683370135,0.23511957233878233,4.549559682951968,0.12553218080883935,2026,0,C3,T0,train,full_808
121.0,42.0,79.0,0.5889089813140446,0.4377651987239858,0.23687276362489654,2.8966056371679216,0.13098298518125673,2026,0,C3,T0,validation,full_808
162.0,55.0,107.0,0.5802888700084962,0.4205625357835712,0.2598390521706766,2.875715790766106,0.1957989634922993,2026,0,C3,T0_T1,test,full_808
525.0,178.0,347.0,0.6063691998834311,0.43135901527647175,0.25890353500916036,3.327264094907595,0.1971191510132381,2026,0,C3,T0_T1,train,full_808
