contract,view,n_patients,valid_temporal_geometry_fraction,crop_center_drift_median_mm,crop_center_drift_q95_mm,crop_center_drift_max_mm,lesion_center_drift_median_mm,lesion_center_drift_q95_mm,relative_position_change_median_mm,crop_follow_lesion_ratio_median,fov_max_relative_change_q95,effective_spacing_max_relative_change_q95,resize_factor_max_relative_change_median,resize_factor_max_relative_change_q95,resize_factor_max_relative_change_max,valid_source_fraction_range_median,valid_source_fraction_range_q95,valid_context_ratio_relative_change_q95,support_occupancy_relative_change_q95,temporal_interpretation
C0,legacy,375,0.9786666666666667,34.785950605401,70.31340605372516,124.67880545891512,34.087819997147,67.90382248147853,24.299892316109577,1.0570904983804534,0.1666730887946181,0.1666730887946181,0.0,4.440892098500626e-16,1.3312591251590788e-08,0.0,2.220446049250313e-16,239.77510205174792,0.9966942195733439,AUDIT_ONLY_OR_LEGACY
C1A,detail,375,1.0,31.745054431484984,68.98404723782934,116.52540113315662,34.087819997147,67.90382248147853,10.358444084833435,0.9672226123497211,0.0,0.0,3.467911415588887e-06,0.16666760253542462,0.4666666666666667,0.06444969946118062,0.18228206656031942,206.45478224860483,0.99673845179249,RECENTERING_REMOVES_LESION_MOTION
C1A-tight,detail,375,1.0,31.745054431484984,68.98404723782934,116.52540113315662,34.087819997147,67.90382248147853,10.358444084833435,0.9672226123497211,0.6128508401397889,0.6128508401397889,0.2311215184105675,0.6126733690787273,0.9589041095890409,0.0,0.0334129839628128,121.7633573122932,0.9923739509894793,RECENTERING_REMOVES_LESION_MOTION
C1B,detail,375,1.0,0.0,0.0,0.0,34.087819997147,67.90382248147853,34.087819997147,0.0,0.0,0.0,3.467911415588887e-06,0.16666760253542462,0.4666666666666667,0.08852249182870797,0.2657583370151334,201.6831659980129,0.99673845179249,FIXED_T0_WINDOW_PRESERVES_HEADER_FRAME_MOTION
C1C,detail,375,1.0,0.0,0.0,0.0,34.087819997147,67.90382248147853,34.087819997147,0.0,0.0,0.0,3.467911415588887e-06,0.16666760253542462,0.4666666666666667,0.07452269911249998,0.2085973504026643,206.20494654330875,0.99673845179249,AUDIT_ONLY_OR_LEGACY
C2A,detail,375,1.0,31.745054431484984,68.98404723782934,116.52540113315662,34.087819997147,67.90382248147853,10.358444084833435,0.9672226123497211,0.0,0.0,3.467911415588887e-06,0.16666760253542462,0.4666666666666667,0.06444969946118062,0.18228206656031942,206.45478224860483,0.99673845179249,RECENTERING_REMOVES_LESION_MOTION
C2A,context,375,1.0,31.745054431484984,68.98404723782934,116.52540113315662,34.087819997147,67.90382248147853,10.358444084833435,0.9672226123497211,0.0,0.0,3.4679114158109314e-06,0.1666676025354246,0.4666666666666667,0.052280618686868674,0.17906758423480623,208.0433895373559,0.99673845179249,RECENTERING_REMOVES_LESION_MOTION
C2B,detail,375,1.0,0.0,0.0,0.0,34.087819997147,67.90382248147853,34.087819997147,0.0,0.0,0.0,3.467911415588887e-06,0.16666760253542462,0.4666666666666667,0.08852249182870797,0.2657583370151334,201.6831659980129,0.99673845179249,FIXED_T0_WINDOW_PRESERVES_HEADER_FRAME_MOTION
C2B,context,375,1.0,0.0,0.0,0.0,34.087819997147,67.90382248147853,34.087819997147,0.0,0.0,0.0,3.4679114158109314e-06,0.1666676025354246,0.4666666666666667,0.06534462650729855,0.21056237894426616,197.31970871743903,0.99673845179249,FIXED_T0_WINDOW_PRESERVES_HEADER_FRAME_MOTION
