contract,view,n,expanded_from_nominal_rate,direct_bbox_resize,resize_anisotropy_median,resize_anisotropy_q95,resize_anisotropy_max,output_spacing_anisotropy_median,output_spacing_anisotropy_q95,output_spacing_anisotropy_max,extreme_axis_factor_gt2_rate,extreme_axis_factor_lt0_5_rate,support_occupancy_cv,resize_factor_x_min,resize_factor_x_q05,resize_factor_x_median,resize_factor_x_q95,resize_factor_x_max,resize_factor_y_min,resize_factor_y_q05,resize_factor_y_median,resize_factor_y_q95,resize_factor_y_max,resize_factor_z_min,resize_factor_z_q05,resize_factor_z_median,resize_factor_z_q95,resize_factor_z_max
C0,legacy,1500,0.0,False,1.0,1.0000000000000004,1.0000000133125915,2.9256875002452283,4.0,5.119457089170099,0.0,0.0,2.2031679823890458,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0000000004717748,0.9999999999999997,1.0,1.0,1.0000000000000002,1.0000000021300144,1.0,1.0,1.0,1.0,1.0000000133125913
C1A,detail,1500,0.0033333333333333335,False,1.4322916666666665,1.9747682159551911,3.4722177725756236,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.026,0.0,2.2015310233335206,0.6776470588235294,0.9600000000000001,1.3552176054226317,1.5891493077315675,2.88,0.6776470588235294,0.9600000101885637,1.3552176054226317,1.5891493077315675,2.88,0.7999987792987376,0.8,1.0,2.0,2.5000381475547417
C1A-tight,detail,1500,0.0,True,1.831132796244563,3.1095227174524176,7.35890814191961,1.7320327758251841,2.573334407651918,5.459803354540194,0.0,0.8113333333333334,1.122948660570692,0.0875,0.2549583337833012,0.5253929129500547,0.9941638193369952,1.473611111111111,0.09659090909090909,0.2699731296585237,0.5467186068820906,1.017421653942723,1.3181818181818181,0.06737018616739311,0.16071428571428573,0.359374875824215,0.80684534786228,1.2767857142857142
C1B,detail,1500,0.005333333333333333,False,1.4322916666666665,1.9747682159551911,3.4722177725756236,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.026,0.0,2.1957421436104054,0.6776470588235294,0.9600000101885637,1.3552176054226317,1.5891493077315675,2.88,0.6776470588235294,0.9600000000000001,1.3552176054226317,1.5891493077315675,2.88,0.7999987792987376,0.8,1.0,2.0,2.5000381475547417
C1C,detail,1500,0.018666666666666668,False,1.4322916666666665,1.9747682159551911,3.4722177725756236,2.2222222222222223,2.2222222222222223,2.5026032470521473,0.026,0.0,2.1677838304890744,0.6776470588235294,0.9600000107248039,1.3552176054226317,1.5891493077315675,2.88,0.6776470588235294,0.9600000107248039,1.3552176054226317,1.5891493077315675,2.88,0.7999987792987376,0.8,1.0,2.0,2.5000381475547417
C2A,detail,1500,0.0033333333333333335,False,1.4322916666666665,1.9747682159551911,3.4722177725756236,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.026,0.0,2.2015310233335206,0.6776470588235294,0.9600000000000001,1.3552176054226317,1.5891493077315675,2.88,0.6776470588235294,0.9600000101885637,1.3552176054226317,1.5891493077315675,2.88,0.7999987792987376,0.8,1.0,2.0,2.5000381475547417
C2A,context,1500,0.002,False,1.5644978438141341,2.0481323522185817,3.4090865403469754,2.1818181818181817,2.1818181818181817,2.1818181818181817,0.9506666666666667,0.0,2.333831658958137,1.035294117647059,1.4666666666666666,2.0704713416179095,2.4278669979232284,4.4,1.1294117647058823,1.6,2.2586960090377195,2.6485821795526125,4.8,1.1999981689481065,1.2,1.5,3.0,3.7500572213321126
C2B,detail,1500,0.005333333333333333,False,1.4322916666666665,1.9747682159551911,3.4722177725756236,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.026,0.0,2.1957421436104054,0.6776470588235294,0.9600000101885637,1.3552176054226317,1.5891493077315675,2.88,0.6776470588235294,0.9600000000000001,1.3552176054226317,1.5891493077315675,2.88,0.7999987792987376,0.8,1.0,2.0,2.5000381475547417
C2B,context,1500,0.0026666666666666666,False,1.5644978438141341,2.0481323522185817,3.4090865403469754,2.1818181818181817,2.1818181818181817,2.1818181818181817,0.9506666666666667,0.0,2.331288439262466,1.035294117647059,1.4666666666666666,2.0704713416179095,2.4278669979232284,4.4,1.1294117647058823,1.6,2.2586960090377195,2.6485821795526125,4.8,1.1999981689481065,1.2,1.5,3.0,3.7500572213321126
