contract,view,subgroup,scope,n,suspected_truncation_rate,severe_truncation_rate,sufficient_containment_rate,exact_full_support_containment_rate,retained_ftv_fraction_q05,minimum_margin_mm_median,minimum_margin_mm_min,source_boundary_censored_rate,upstream_censoring_adjusted_suspected_rate
C2A,detail,LD_TOP_QUARTILE,T3,98,0.0,0.0,1.0,1.0,1.0,41.225,4.999999999999972,0.02040816326530612,0.02040816326530612
C2A,detail,LD_TOP_10PCT,OVERALL,154,0.0,0.0,1.0,1.0,1.0,31.70937446355819,6.615385345855572,0.03896103896103896,0.03896103896103896
C2A,detail,LD_TOP_10PCT,T0,39,0.0,0.0,1.0,1.0,1.0,30.43698022961614,6.615385345855572,0.02564102564102564,0.02564102564102564
C2A,detail,LD_TOP_10PCT,T1,38,0.0,0.0,1.0,1.0,1.0,30.2464573085308,11.0625,0.07894736842105263,0.07894736842105263
C2A,detail,LD_TOP_10PCT,T2,38,0.0,0.0,1.0,1.0,1.0,31.82500062584876,7.672224950790394,0.02631578947368421,0.02631578947368421
C2A,detail,LD_TOP_10PCT,T3,39,0.0,0.0,1.0,1.0,1.0,38.35416591167448,9.1875,0.02564102564102564,0.02564102564102564
C2A,context,LD_TOP_QUARTILE,OVERALL,394,0.0,0.0,1.0,1.0,1.0,52.39139920473099,7.406249999999972,0.02284263959390863,0.02284263959390863
C2A,context,LD_TOP_QUARTILE,T0,97,0.0,0.0,1.0,1.0,1.0,48.9765625,22.61538534585557,0.010309278350515464,0.010309278350515464
C2A,context,LD_TOP_QUARTILE,T1,98,0.0,0.0,1.0,1.0,1.0,50.494750410318375,27.0625,0.05102040816326531,0.05102040816326531
C2A,context,LD_TOP_QUARTILE,T2,101,0.0,0.0,1.0,1.0,1.0,55.0625,24.472224950790405,0.009900990099009901,0.009900990099009901
C2A,context,LD_TOP_QUARTILE,T3,98,0.0,0.0,1.0,1.0,1.0,57.61415649950504,7.406249999999972,0.02040816326530612,0.02040816326530612
C2A,context,LD_TOP_10PCT,OVERALL,154,0.0,0.0,1.0,1.0,1.0,48.07061064243317,22.61538534585557,0.03896103896103896,0.03896103896103896
C2A,context,LD_TOP_10PCT,T0,39,0.0,0.0,1.0,1.0,1.0,46.52864673733709,22.61538534585557,0.02564102564102564,0.02564102564102564
C2A,context,LD_TOP_10PCT,T1,38,0.0,0.0,1.0,1.0,1.0,46.583107560873025,27.0625,0.07894736842105263,0.07894736842105263
C2A,context,LD_TOP_10PCT,T2,38,0.0,0.0,1.0,1.0,1.0,48.32939970493317,24.472224950790405,0.02631578947368421,0.02631578947368421
C2A,context,LD_TOP_10PCT,T3,39,0.0,0.0,1.0,1.0,1.0,54.35416591167448,25.1875,0.02564102564102564,0.02564102564102564
C2B,detail,LD_TOP_QUARTILE,OVERALL,394,0.02284263959390863,0.005076142131979695,0.9771573604060914,0.9771573604060914,1.0,30.44349011480807,-35.93384552001953,0.02284263959390863,0.04314720812182741
C2B,detail,LD_TOP_QUARTILE,T0,97,0.0,0.0,1.0,1.0,1.0,32.74469941854477,6.615385345855572,0.010309278350515464,0.010309278350515464
C2B,detail,LD_TOP_QUARTILE,T1,98,0.030612244897959183,0.0,0.9693877551020408,0.9693877551020408,1.0,27.575502014160158,-17.094200134277344,0.05102040816326531,0.08163265306122448
C2B,detail,LD_TOP_QUARTILE,T2,101,0.04950495049504951,0.009900990099009901,0.9504950495049505,0.9504950495049505,1.0,30.137100768089297,-26.41876244544983,0.009900990099009901,0.04950495049504951
C2B,detail,LD_TOP_QUARTILE,T3,98,0.01020408163265306,0.01020408163265306,0.9897959183673469,0.9897959183673469,1.0,30.688877418637276,-35.93384552001953,0.02040816326530612,0.030612244897959183
C2B,detail,LD_TOP_10PCT,OVERALL,154,0.01948051948051948,0.0,0.9805194805194806,0.9805194805194806,1.0,24.885911717116436,-17.094200134277344,0.03896103896103896,0.05194805194805195
C2B,detail,LD_TOP_10PCT,T0,39,0.0,0.0,1.0,1.0,1.0,30.43698022961614,6.615385345855572,0.02564102564102564,0.02564102564102564
C2B,detail,LD_TOP_10PCT,T1,38,0.02631578947368421,0.0,0.9736842105263158,0.9736842105263158,1.0,20.59058303833008,-17.094200134277344,0.07894736842105263,0.10526315789473684
C2B,detail,LD_TOP_10PCT,T2,38,0.05263157894736842,0.0,0.9473684210526315,0.9473684210526315,0.9976435602953241,23.494545935459314,-10.074138641357422,0.02631578947368421,0.05263157894736842
C2B,detail,LD_TOP_10PCT,T3,39,0.0,0.0,1.0,1.0,1.0,25.948626705806042,4.5208048820495605,0.02564102564102564,0.02564102564102564
C2B,context,LD_TOP_QUARTILE,OVERALL,394,0.015228426395939087,0.0025380710659898475,0.9847715736040609,0.9847715736040609,1.0,46.62088957428932,-27.93384552001953,0.02284263959390863,0.03553299492385787
C2B,context,LD_TOP_QUARTILE,T0,97,0.0,0.0,1.0,1.0,1.0,48.9765625,22.61538534585557,0.010309278350515464,0.010309278350515464
C2B,context,LD_TOP_QUARTILE,T1,98,0.02040816326530612,0.0,0.9795918367346939,0.9795918367346939,1.0,44.00086833626017,-9.094200134277344,0.05102040816326531,0.07142857142857142
C2B,context,LD_TOP_QUARTILE,T2,101,0.0297029702970297,0.0,0.9702970297029703,0.9702970297029703,1.0,46.593499183654785,-18.41876244544983,0.009900990099009901,0.0297029702970297
C2B,context,LD_TOP_QUARTILE,T3,98,0.01020408163265306,0.01020408163265306,0.9897959183673469,0.9897959183673469,1.0,46.18645095825195,-27.93384552001953,0.02040816326530612,0.030612244897959183
C2B,context,LD_TOP_10PCT,OVERALL,154,0.012987012987012988,0.0,0.987012987012987,0.987012987012987,1.0,41.27817414700985,-9.094200134277344,0.03896103896103896,0.045454545454545456
C2B,context,LD_TOP_10PCT,T0,39,0.0,0.0,1.0,1.0,1.0,46.52864673733709,22.61538534585557,0.02564102564102564,0.02564102564102564
C2B,context,LD_TOP_10PCT,T1,38,0.02631578947368421,0.0,0.9736842105263158,0.9736842105263158,1.0,36.21765825152397,-9.094200134277344,0.07894736842105263,0.10526315789473684
C2B,context,LD_TOP_10PCT,T2,38,0.02631578947368421,0.0,0.9736842105263158,0.9736842105263158,1.0,39.36195373263723,-2.074138641357422,0.02631578947368421,0.02631578947368421
C2B,context,LD_TOP_10PCT,T3,39,0.0,0.0,1.0,1.0,1.0,42.12953916192055,13.304262161254883,0.02564102564102564,0.02564102564102564
