strategy,margin_mm,n,n_patients,exact_full_support_containment_rate,source_boundary_uncensored_rate,sufficient_containment_rate,suspected_truncation_rate,large_ld_top_quartile_worst_visit_suspected_rate,large_ld_top_10pct_worst_visit_suspected_rate,retained_ftv_fraction_q05,minimum_margin_q05_mm,expanded_from_nominal_rate,expanded_patient_count_public,expanded_count_status,extreme_axis_factor_gt2_rate,resize_anisotropy_max,fov_x_mm_median,fov_y_mm_median,fov_z_mm_median,fov_volume_liter_median
C1A,5.0,1500,375,1.0,0.9906666666666667,1.0,0.0,0.0,0.0,1.0,20.11260400012746,,<5,SUPPRESSED_LT_5,0.026,3.4722177725756236,144.0,158.4,224.0,5.1093504
C1A,10.0,1500,375,1.0,0.9906666666666667,1.0,0.0,0.0,0.0,1.0,20.11260400012746,0.012,7,REPORTED,0.026,3.4722177725756236,144.0,158.4,224.0,5.1093504
C1A,15.0,1500,375,1.0,0.9906666666666667,1.0,0.0,0.0,0.0,1.0,20.11260400012746,0.02666666666666667,17,REPORTED,0.026,3.4722177725756236,144.0,158.4,224.0,5.1093504
C1A,20.0,1500,375,1.0,0.9906666666666667,1.0,0.0,0.0,0.0,1.0,20.118750000266253,0.05,24,REPORTED,0.026,3.4722177725756236,144.0,158.4,224.0,5.1093504
C1B,5.0,1500,375,0.9793333333333333,0.9906666666666667,0.9793333333333333,0.020666666666666667,0.04950495049504951,0.05263157894736842,1.0,8.69352613836527,,<5,SUPPRESSED_LT_5,0.026,3.4722177725756236,144.0,158.4,224.0,5.1093504
C1B,10.0,1500,375,0.9813333333333333,0.9906666666666667,0.9813333333333333,0.018666666666666668,0.04950495049504951,0.05263157894736842,1.0,9.999999999999998,0.013333333333333334,5,REPORTED,0.026,3.4722177725756236,144.0,158.4,224.0,5.1093504
C1B,15.0,1500,375,0.982,0.9906666666666667,0.982,0.018,0.04950495049504951,0.05263157894736842,1.0,11.274690789580346,0.029333333333333333,11,REPORTED,0.026,3.4722177725756236,144.0,158.4,224.0,5.1093504
C1B,20.0,1500,375,0.984,0.9906666666666667,0.984,0.016,0.04950495049504951,0.05263157894736842,1.0,12.197214662237712,0.048,18,REPORTED,0.026,3.4722177725756236,144.0,158.4,224.0,5.1093504
