contract,view,n,minimum_context_margin_median_mm,minimum_context_margin_q05_mm,minimum_context_margin_min_mm,median_context_margin_median_mm,median_context_margin_q05_mm,median_context_margin_min_mm,valid_context_to_lesion_volume_ratio_median,valid_context_to_lesion_volume_ratio_q05,valid_source_fraction_median,padding_fraction_median,padding_fraction_q95,padding_fraction_gt_50pct_rate,support_occupancy_median,support_occupancy_q05,fov_x_mm_median,fov_y_mm_median,fov_z_mm_median
C0,legacy,1500,-12.845008373260498,-41.999962615966794,-70.5468724966049,4.526175066828728,-19.560743224620815,-43.89993286132811,47.589231111512134,2.718417744765862,1.0,0.0,2.220446049250313e-16,0.0,0.020161946614583336,0.0005316840277777777,63.75359916687012,63.75359916687012,64.0
C1A,detail,1500,46.34342496693134,20.11260400012746,4.999999999999972,52.267268550395954,30.366952632367614,5.000000000000001,713.5367389683968,56.69632077798353,0.6518575615330715,0.3481424384669285,0.49753457485045816,0.046,0.0008779829136904037,2.338186666349849e-05,144.0,158.4,224.0
C1A-tight,detail,1500,5.0,4.999999999999979,4.999999999999943,5.0,4.999999999999998,4.999999999999986,47.60507762909708,8.424071363315736,1.0,0.0,2.220446049250313e-16,0.0,0.020574000348878747,0.0010826817555028268,57.07924020827972,67.16206853802579,64.0
C1B,detail,1500,39.01079781353474,8.69352613836527,-62.46257972717285,53.587696069478994,29.462448447942734,5.000000000000001,705.3159026332437,56.69632077798353,0.6324624767659917,0.3675375232340084,0.5446891581268508,0.102,0.0008779829136904037,2.338186666349849e-05,144.0,158.4,224.0
C1C,detail,1500,40.53444058299065,14.188589817881585,4.999999999999972,53.92383281018783,30.868582592303987,7.303273678737355,714.3317887539858,55.0841446461727,0.6461863415477556,0.3538136584522444,0.5090765170708216,0.06466666666666666,0.0008779829136904037,2.338186666349849e-05,144.0,158.4,224.0
C2A,detail,1500,46.34342496693134,20.11260400012746,4.999999999999972,52.267268550395954,30.366952632367614,5.000000000000001,713.5367389683968,56.69632077798353,0.6518575615330715,0.3481424384669285,0.49753457485045816,0.046,0.0008779829136904037,2.338186666349849e-05,144.0,158.4,224.0
C2A,context,1500,62.52712485194206,36.614673709869386,5.0,68.66474929451942,46.86427860178037,10.68749999999999,910.0919581911002,68.83688084519085,0.5149458745070181,0.4850541254929819,0.6171522917091529,0.4266666666666667,0.0005531292356249543,1.4730575998004048e-05,176.0,192.0,240.0
C2B,detail,1500,39.01079781353474,8.69352613836527,-62.46257972717285,53.587696069478994,29.462448447942734,5.000000000000001,705.3159026332437,56.69632077798353,0.6324624767659917,0.3675375232340084,0.5446891581268508,0.102,0.0008779829136904037,2.338186666349849e-05,144.0,158.4,224.0
C2B,context,1500,54.76301369071007,23.274810810387137,-54.46257972717285,69.15601481542978,44.87889497429133,7.144828795877061,905.4517969283223,69.22913994272471,0.5049307684504538,0.49506923154954624,0.635440630777254,0.48133333333333334,0.0005531292356249543,1.4730575998004048e-05,176.0,192.0,240.0
