axis,native_spacing_median_mm,native_spacing_q90_mm,native_spacing_q95_mm,detail_target_spacing_mm,context_target_spacing_mm,visit_adaptive_bbox_plus_margin_q95_mm,visit_adaptive_bbox_extent_median_mm,visit_adaptive_bbox_extent_q95_mm,visit_adaptive_bbox_extent_q99_mm,visit_adaptive_bbox_extent_max_mm,visit_adaptive_bbox_plus_margin_q99_mm,visit_adaptive_bbox_plus_margin_max_mm,t0_anchored_all_visit_exact_q95_mm,t0_anchored_all_visit_exact_q99_mm,t0_anchored_all_visit_margin_q95_mm,t0_anchored_all_visit_margin_q99_mm,acquisition_fov_q05_mm,acquisition_fov_median_mm,acquisition_fov_q95_mm,detail_nominal_fov_mm,context_nominal_fov_mm
X,0.6640999913215637,0.8854166865348816,0.9375,0.9,1.375,106.67357648909092,47.079240208279714,96.67357648909092,122.14118696808815,169.53125000000003,132.14118696808814,179.53125000000003,118.63790148496628,148.66900791481513,128.63790148496628,158.66900791481513,144.99839782714844,170.6666717529297,340.00000762939453,144.0,176.0
Y,0.6640999913215637,0.8854166865348816,0.9375,0.9,1.5,118.91306771039962,57.162068538025785,108.91306771039962,130.00555550575257,177.18750000000003,140.00555550575257,187.18750000000003,138.20350195765496,171.53731028155437,148.20350195765496,181.53731028155437,144.99839782714844,170.6666717529297,340.00000762939453,158.4,192.0
Z,2.0,2.4000000953674316,2.5,2.0,3.0,120.00000238418579,54.0,110.00000238418579,134.0,151.19961547851562,144.0,161.19961547851562,219.867679977417,267.7500109100342,229.867679977417,277.7500109100342,158.40000343322754,160.0,193.600004196167,224.0,240.0
