seed_base,arm,task,endpoint,n,spearman,pearson,natural_r2,rmse,mae,prediction_target_variance_ratio,calibration_slope
2026,A0_LOCAL3,delta,T0_to_T1,375,0.4266382978723405,0.24502447750555165,0.05602246106934272,24.611477263632825,13.124620585521019,0.09438183547191598,0.07527550560695238
2026,A0_LOCAL3,delta,T1_to_T2,375,0.3960907953123222,0.42839176058703,0.18348619830034762,15.536077462225522,8.829831869940264,0.18279816869823015,0.18315847951682881
2026,A0_LOCAL3,delta,T2_to_T3,375,0.19766662874047106,0.11554425234327838,0.002368200062665693,27.357199954394144,9.514595058240438,0.048084636845242196,0.025336785628847936
2026,A0_LOCAL3,static,T0,375,0.7647352372283537,0.5632837629801583,0.26924664968813394,36.47343977874664,15.581282916974349,0.2114537308838924,0.25902096003466624
2026,A0_LOCAL3,static,T1,375,0.5918388895209922,0.3636854533018577,0.09290382138836639,35.88630718303514,11.632405598688727,0.09637910240632319,0.11290609034875888
2026,A0_LOCAL3,static,T2,375,0.4272577084992604,0.2706858965690466,0.02213417482940294,30.756795143681895,7.457263860072511,0.02070872947695806,0.038953129610927104
2026,A0_LOCAL3,static,T3,375,0.3396981647342232,0.3897157967471986,0.011849630824364743,12.334878578072733,3.157319397207037,0.005455341528238509,0.02878451936286779
2026,A1_PATCH3,delta,T0_to_T1,375,0.42444100580270794,0.2675892619466528,0.06169081921840758,24.5374730002415,13.364230153613258,0.13465192026567438,0.09819174030373513
2026,A1_PATCH3,delta,T1_to_T2,375,0.32143884400955736,0.3265935299240087,0.10282021702178334,16.28543457716819,9.406805444674838,0.15071176506415998,0.12678887688930343
2026,A1_PATCH3,delta,T2_to_T3,375,0.11461941062692002,0.04220640634722611,-0.0407717385599371,27.942434918354657,10.394347889695917,0.061592515006110335,0.010474718123161877
2026,A1_PATCH3,static,T0,375,0.7383538514051657,0.6468504485998869,0.37376163701920195,33.76456430235482,14.697373466326237,0.2703213241975296,0.3363132955983671
2026,A1_PATCH3,static,T1,375,0.46359244510183184,0.36064063995962575,0.052997224223113926,36.667198330695264,12.729227691799252,0.036885620209353896,0.06926330491195332
2026,A1_PATCH3,static,T2,375,0.2782550915917625,0.07575837584833718,-0.033964890141846116,31.62673369396455,8.267713561110474,0.011950248192653746,0.008281692823239381
2026,A1_PATCH3,static,T3,375,0.2180541710122982,0.2833178038862783,-0.0221080108449192,12.545031501133614,3.211337168885974,0.0018226877595212676,0.012095672104846283
3026,A0_LOCAL3,delta,T0_to_T1,375,0.3210749800887473,0.15129612038301635,0.01442042141391453,25.14795647541669,13.16438303459579,0.05912045904468873,0.03678719636271764
3026,A0_LOCAL3,delta,T1_to_T2,375,0.3698027079303675,0.3175250426834543,0.0999657933733159,16.311320478265408,9.264465363439903,0.11129685387037136,0.10593011091947736
3026,A0_LOCAL3,delta,T2_to_T3,375,0.2097046307884856,0.11035610758141487,-0.007709896354580081,27.495034218826266,9.94669835860806,0.06265084743342758,0.027622300701563768
3026,A0_LOCAL3,static,T0,375,0.7654311070656502,0.6540348762253476,0.35096371371867074,34.37366219074476,14.822592672599276,0.1928875120402582,0.2872453211051041
3026,A0_LOCAL3,static,T1,375,0.5633903743315508,0.335177733478782,0.07740833450514395,36.19152348274215,12.134976015562078,0.07658230422019638,0.09275543671744384
3026,A0_LOCAL3,static,T2,375,0.42794697917851865,0.2853530260099442,0.025837921050589685,30.698492955622303,7.777283001169216,0.020500274270939357,0.04085660897172582
