seed_base,fold,arm,task,endpoint,selected_alpha,validation_score,n_train,n_val,n_test,target_transform,model,selected_c,validation_auroc,population,timing
2026,3,A0_LOCAL3,static,T2,1000.0,0.36898284323693903,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,3,A0_LOCAL3,static,T3,1000.0,0.28991417964889704,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,3,A0_LOCAL3,delta,T0_to_T1,1000.0,0.4767584495360704,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,3,A0_LOCAL3,delta,T1_to_T2,1000.0,0.2640681084794826,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,3,A0_LOCAL3,delta,T2_to_T3,1000.0,0.09821615834202749,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,3,A1_PATCH3,static,T0,10.0,0.06991268217687478,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,3,A1_PATCH3,static,T1,100.0,0.1405020870491019,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,3,A1_PATCH3,static,T2,1000.0,0.4247572031178151,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,3,A1_PATCH3,static,T3,1000.0,0.33674341845528266,242,61,72,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,3,A1_PATCH3,delta,T0_to_T1,100.0,0.4425050091936659,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,3,A1_PATCH3,delta,T1_to_T2,1000.0,0.2880027900553813,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,3,A1_PATCH3,delta,T2_to_T3,1000.0,0.12143996179193807,242,61,72,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,4,A0_LOCAL3,static,T0,100.0,0.06880801969727152,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,4,A0_LOCAL3,static,T1,1000.0,0.19787797830131776,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,4,A0_LOCAL3,static,T2,1000.0,0.3780886031049774,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,4,A0_LOCAL3,static,T3,100.0,0.37938331659366775,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,4,A0_LOCAL3,delta,T0_to_T1,1000.0,0.3468798548617914,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,4,A0_LOCAL3,delta,T1_to_T2,1000.0,0.2688081051844201,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,4,A0_LOCAL3,delta,T2_to_T3,1000.0,0.4917011906655148,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,4,A1_PATCH3,static,T0,100.0,0.08643180679974607,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,4,A1_PATCH3,static,T1,1000.0,0.22187567608374079,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,4,A1_PATCH3,static,T2,1000.0,0.375944147636019,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,4,A1_PATCH3,static,T3,1000.0,0.3972051298840019,225,66,84,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
2026,4,A1_PATCH3,delta,T0_to_T1,1000.0,0.385616692823839,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,4,A1_PATCH3,delta,T1_to_T2,1000.0,0.2989116912496775,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
2026,4,A1_PATCH3,delta,T2_to_T3,1000.0,0.4955781999812241,225,66,84,literal_delta_outer_train_standardized_inverse_natural,,,,,
3026,0,A0_LOCAL3,static,T0,10.0,0.08271625352149269,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,0,A0_LOCAL3,static,T1,10.0,0.10461338560727472,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,0,A0_LOCAL3,static,T2,100.0,0.3070671276028266,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,0,A0_LOCAL3,static,T3,100.0,0.3660232582641011,247,59,69,outer_train_log_winsor_median_iqr_inverse_natural,,,,,
3026,0,A0_LOCAL3,delta,T0_to_T1,100.0,0.7537390218862527,247,59,69,literal_delta_outer_train_standardized_inverse_natural,,,,,
