effect,seed_base,reference,comparison,improvement,ci_lower,ci_upper,n_patients,n_bootstrap,n_valid_bootstrap,bootstrap_unit,timing,metric,confidence_level,n_folds,metric_aggregation,ci_method,orientation,seed
E5_A1_CplusFplusM_minus_CplusF,2026,0.5259975356624463,0.4216519627965858,-0.10434557286586055,-0.1884055735315793,-0.020999518282263343,375,2000,2000,patient_within_outer_fold,T0-T1,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.19795876762150016,0.2395140733032434,-0.04155530568174323,-0.06555667777726647,-0.01664563675918375,375,2000,2000,patient_within_outer_fold,T0-T1,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E3_A1_minus_A0_MRI,2026,0.5265086133378817,0.5459457615555178,0.01943714821763609,-0.030543602508657827,0.07045300331466063,808,2000,2000,patient_within_outer_fold,T0-T2,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,2026,0.36075614064527484,0.3809258260487677,0.020169685403492843,-0.02604629662652732,0.06999805982274701,808,2000,2000,patient_within_outer_fold,T0-T2,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,2026,0.29002463164033954,0.2778952800081819,0.012129351632157614,-0.01031270203568137,0.034967152917986445,808,2000,2000,patient_within_outer_fold,T0-T2,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E4_A1_CplusM_minus_C,2026,0.6796145318096538,0.6354289612826198,-0.04418557052703398,-0.0911826202693719,0.0030102476558500845,808,2000,2000,patient_within_outer_fold,T0-T2,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,2026,0.5424197284072237,0.4696461592533022,-0.07277356915392152,-0.13261211888222318,-0.012572309972838749,808,2000,2000,patient_within_outer_fold,T0-T2,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,2026,0.22583924073987818,0.2510167817992012,-0.025177541059323044,-0.04367053567971729,-0.005996394827804991,808,2000,2000,patient_within_outer_fold,T0-T2,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.726106346483705,0.6233962264150944,-0.10271012006861058,-0.17731154426933168,-0.026374644446083922,375,2000,2000,patient_within_outer_fold,T0-T2,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.5400010651611841,0.39705657730909244,-0.14294448785209163,-0.2351953236727109,-0.04603526230721583,375,2000,2000,patient_within_outer_fold,T0-T2,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,2026,0.18873526813061456,0.2601058199946103,-0.07137055186399574,-0.10490394014620255,-0.03892082958495845,375,2000,2000,patient_within_outer_fold,T0-T2,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E3_A1_minus_A0_MRI,2026,0.5461709022684632,0.5451748251748252,-0.0009960770936380259,-0.0438894832641892,0.044839158777849164,808,2000,2000,patient_within_outer_fold,T0-T3_late,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,2026,0.36720106988930945,0.37886727923249336,0.011666209343183909,-0.02882699228490104,0.0557088952027011,808,2000,2000,patient_within_outer_fold,T0-T3_late,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
