seed,arm,fold,local_feature_sha256,local_metadata_sha256,spatial_feature_sha256,spatial_metadata_sha256,checkpoint_sha256,selection_sha256,patient_order_sha256,selected_epoch,encoder_frozen,training_performed,z1_derived_from_z2_without_encoder,selected,test_data_used,pcr_used,delta_ftv_used,checkpoint_seed_base,checkpoint_fold,checkpoint_arm,architecture,projector,z3_to_z2_projection_parity_max_abs,z3_to_z2_projection_parity_rtol,z3_to_z2_projection_parity_atol,z3_to_z2_projection_parity_max_abs_limit
3026,LOCAL0,0,e07d1dcdbcbedf941ca3024f840c6b46980f0049401737a062f331c1ba9fcfe8,892c3e883ec813a81f44d2eb1c1cd2af4cf367c74e88f7345c7a832c73ccbfcf,1e108aaf0edfefdfdf94081f30573da43255de0f2b85b15805675694605c28db,ec490a905c87213fd25d9c0c304e7c2055134a9d23385c46f854126bd9bacd87,345c622cad1d292de4aa73308cfc3bb2a74f2c8d4861b42a583b04b465f70c5a,03dee13013eadadec418b1a8685aef547a958495a6667855032c28162301837f,944eec13b9d3c785c85ff32ccbb05a533f17da21caa7e60ff3abe2c0c78f2078,2,True,False,True,True,False,False,False,3026,0,LOCAL0,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.1457672119140625e-06,1e-05,5e-06,5e-06
3026,LOCAL0,1,9f4398006bd99f1698355e7e930351aa214c4752b2af5554f8fa85fa04251198,57f56c122330077609b9709909fd8aa44235539dd62f562c383ccbc24fdcd0ab,4e5b121bf4794af025ca7176cb2d871743b9e11b5101d97596ea680416c6332a,943f3bfaa39bd6ebb895839ada2cb229a5a775e8490900ed3fe237e92de05f3e,2c03d9f51eb50cabd91b0a78c53e84f0d560a836316f6b27d65af76fbce8ab1d,53c3bb064ac6a6d834df69bf0644a24d07f5400bb3c042c210a323f61ccfe5a8,cbf0d678fc06dcc0c3ca899a53ba9e1fb98b0cd55db4e2e10cbdeaa9f36fdd1a,2,True,False,True,True,False,False,False,3026,1,LOCAL0,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.1457672119140625e-06,1e-05,5e-06,5e-06
3026,LOCAL0,2,3da4f7ed5df3ef2a7d36777b5f7099233db74c5c86a0060add35cfe0cdcc53fe,d00f7f61ca6c834f506c0eb713a906e66b195b48d8d035ffeff0ac6927695e7c,9dc950bec9729d8559629fb634c3f58c0dd87b8d1d78ba56e5c408e9f66791f1,e4236b69867ad9717ceb6a187b65ddc8b3ad747701f6378256267d15a117b09e,16ca9c9ac30af8d83cab711a9bfedd0a61cf749eabe4165cb5b38f8b2e061774,0c3c5fd4d961580d0c91f6cc5a03d88de6da21d24271549f5217c3272869271f,96143bcfeb066eac4162054ed61baaddf93d10a1be921d1c87b1fffcd9d4e6bf,2,True,False,True,True,False,False,False,3026,2,LOCAL0,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.384185791015625e-06,1e-05,5e-06,5e-06
3026,LOCAL0,3,d704099fda25ef10a05e745ef66aa4b004a74fd8dc644404ccfbbf88a7653bb4,b9a54ab4067f7c41eb2bf0075cb5e42e3c22380ab49adc1ac971c9d2c44e643a,2677453bac5fd363e7f1afc14d1d76bf69433d30f2435feb3233cbc46200ffef,a0af72344b018f66934604ddd64a773aeb273100581959aee38168c16889c71d,6166e7682e2661fa99af2b4a381df0d034bb3e0ac51fa7d13e941648d999c443,a3f2d34a7b4ac89f29c8f6b333dae3414a3427a2099779ce1814f0eb939e2600,5a5e3292f9cd8a5508353ce49cdbe0749224657063229a221d55ab4dc5aef2b5,2,True,False,True,True,False,False,False,3026,3,LOCAL0,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.384185791015625e-06,1e-05,5e-06,5e-06
3026,LOCAL0,4,37e86e26d9d3706fceaffaebca1aebec255599dbec0b2d4cc406c20459be608e,8381188cc5c542d54da3d1f06780261c8887a6d7d20ce5a9b33ed47c7ccc689a,ca68b85e88aea994b26f16703716e3fce36413d879aa83bd79894a4e9da374e2,5642480751eeb94d3b6a4567afe4817cdc1693b910056aabbbe9aab7855078d2,ac6956eb31ba9f22354af367d626e25f456faaa1f68ea7ebee2952508f118d25,1e07dfa6733baa0599c80f36e11e81bade92dedf8033bf6174c3d980cee257d8,aab713640f75ace30df017b4f375982e0d8bbee17fc2c1cff6428f9cd084d203,3,True,False,True,True,False,False,False,3026,4,LOCAL0,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.384185791015625e-06,1e-05,5e-06,5e-06
3026,LOCAL3,0,148032113477327481bca60cc6eabdc1cac59eda4b69fddbdb5071cd6e2afaaa,9749ef7f85ecb58bbe638e71d15997a901e5b49e5f0e8444c219c41f38ace8da,b8c049494ec30ba93a8a086e5dbf0b06dd75186446d1f2b4853b82b4d05a163d,7954f912b99bea892a7f379fe21bd7facd8a814078cec2ec12744f0955244506,90cdf554d553fe677f7854a5e25c6a1bed99a157204a3282f11f78fb1e17f0a5,f90a765130c13f91f2a23df8576de06cf8b050a755788d92e73ac3628a044e61,944eec13b9d3c785c85ff32ccbb05a533f17da21caa7e60ff3abe2c0c78f2078,2,True,False,True,True,False,False,False,3026,0,LOCAL3,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.1457672119140625e-06,1e-05,5e-06,5e-06
3026,LOCAL3,1,b5277206a01b0455e474cb38209d6a51c2fd6bf28907b5846143e154d0ec090e,16d690e06ddb8926c0a37d12e5efb1e007e2daab8017633feaab1fdb743c49bd,a508034124669cc028f539fa12f3f50f8c711ffacdbffa93623331eb939b90dc,9a2af78397ed1fb8bcc080727b68ad2cd31cf564525a314271b7e29b4c302b1a,c974d2c2192821c7e3d93ba4acdc0d31fb70d800ef42c7557745c3bf451d70bf,e6fee71a1d46ab2d479ae2d3cf8f122aaafdfeae2937c7468b40a0ccc0a269b4,cbf0d678fc06dcc0c3ca899a53ba9e1fb98b0cd55db4e2e10cbdeaa9f36fdd1a,2,True,False,True,True,False,False,False,3026,1,LOCAL3,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.384185791015625e-06,1e-05,5e-06,5e-06
3026,LOCAL3,2,56dbdb0fd1d5fcc360ec2c134f4331c42bbadceecc2e82a7cc9d03e651fa878b,d05b79711c2448881dd2de98d142a6c7ed2f9526c0b8b1b78cb389f7c7df7e0e,32f9463ac8d9a822f1b0b7834571a9fe089b7cd5c6988c3b843d7fb9afb1080a,cba166744e406924879fec43a31f27b7831c0269ff0dbec318c9f795089e194c,2a6d6e139b5a7816c88933ecfb72e7fc356694d3fecf5c4aaf849925a635a72d,7c1cacad4905db4fc10e055c68c1fb546829f81f6bd76f81f786225351e694e4,96143bcfeb066eac4162054ed61baaddf93d10a1be921d1c87b1fffcd9d4e6bf,2,True,False,True,True,False,False,False,3026,2,LOCAL3,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.1457672119140625e-06,1e-05,5e-06,5e-06
3026,LOCAL3,3,a957acd97dc6abe388133a838778e7b70572ced73183ace4c7731eb9962fbcfa,2a0da760e134e54449039fa303cc38e031b48004d73d6995510c421813b8fb8a,cb12a8d30973340d4d861406bdbf6369bfcbe0ad9c02f098dc7feef05855be4e,e9f15667aa39e5cf1ef7f8ad8f5a45addf23e75416809d52da587b5360e6aa0a,34f27dc2caf033d49308f1e353abf1f90ec3582d525f5470b8c9544dd898eb95,b0e85ecb80794aa5517f10269df190e28022a9dbd29c2b373536eaa1dc4e2637,5a5e3292f9cd8a5508353ce49cdbe0749224657063229a221d55ab4dc5aef2b5,2,True,False,True,True,False,False,False,3026,3,LOCAL3,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.0265579223632812e-06,1e-05,5e-06,5e-06
3026,LOCAL3,4,a993a6081e87703bf02db0f9bc0cdf30e1cee330775873d724af5f52aec74cae,96f53959e9b73189ff42d6d7967f68ebccf5a63cfaf68dc3ab8f97f981b9db46,55730ed287301620b212548ede781db70bb0a5d80a3fd86f7a152849a3a5d157,6e0b7e3754cf86871924456138643184dfda324c49dc3f5606dc3f40f50dc6e1,cf4192bee6de45b046208177fc66802f802124e4c5afdf1d411e790579103799,335f43cdf08e29be44e002684c5804125811f077f1f3458368c5421a6bb547aa,aab713640f75ace30df017b4f375982e0d8bbee17fc2c1cff6428f9cd084d203,2,True,False,True,True,False,False,False,3026,4,LOCAL3,LOCAL,"Linear(192,384)-LayerNorm-GELU-Linear(384,192)",2.5033950805664062e-06,1e-05,5e-06,5e-06
