aggregation_level,task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,n,n_patients,n_folds,mae,rmse,r2,spearman,pearson,target_variance_ddof1,predicted_variance_ddof1,predicted_to_target_variance_ratio,standardized_target_variance_ddof1,standardized_predicted_variance_ddof1,standardized_variance_ratio,fold_centered_target_variance,fold_centered_predicted_variance,fold_centered_variance_ratio,near_constant_prediction,near_constant_definition,b0_mae,b0_rmse,rmse_gain_over_b0,sign_accuracy,shrinkage_accuracy,shrinkage_balanced_accuracy,zero_change_mae,zero_change_rmse,rmse_gain_over_zero_change
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T0→T1,single_output_ridge,128,375,375,5,8.067912103981557,11.79254175909421,0.004994406469199686,0.13785163272272158,0.12141866129200204,140.13576509876154,6.569088850277151,0.04687660459588989,1.429636697101559,0.08001855963379242,0.05597125465233356,1.4143793353184488,0.07513143115023131,0.05311971779714626,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",8.120816188027145,11.876554792335497,0.007073855567567894,0.7066666666666667,0.7066666666666667,0.514946764946765,8.648985439999999,13.05380386350108,0.09662027387537257
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T1→T2,single_output_ridge,128,375,375,5,6.309521353432591,8.935024049406827,0.03778777398412436,0.13149163727386506,0.1958287895380597,83.19174735357215,3.9361868805221922,0.047314631627979345,0.9325671984963494,0.04894110599615977,0.052479977930889404,0.9262843069752559,0.04750921557422705,0.05129010090796689,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",6.3267479271428675,9.155968705803753,0.024131215767139298,0.6213333333333333,0.6213333333333333,0.500123061777012,6.4668996,9.500660083426302,0.059536498417222056
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,bpe,,T2→T3,single_output_ridge,128,375,375,5,6.0240096665152425,9.16901096638988,-0.0329354186624462,-0.08699487996359086,-0.05206686453723616,81.6077643507419,1.4356647401638236,0.017592256712161383,0.8125841133231128,0.01798891506967821,0.02213791135555362,0.8090589132998466,0.015559108183762218,0.01923111893088536,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",5.861080026071585,9.0674175436547,-0.011204229015159202,0.5653333333333334,0.5653333333333334,0.48266757139485483,5.941835200000002,9.126674608137037,-0.004638749607123872
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T0→T1,single_output_ridge,128,375,375,5,0.6254869396292266,0.8386733099534219,-0.046893023580618864,0.04049129593810445,0.0019661498410714373,0.6736634796504759,0.032152511733547884,0.04772785330478345,0.3647980681755265,0.0200484217285044,0.05495758743672372,0.36258338586930977,0.018009725240901747,0.0496705749429821,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.6115653633277737,0.825048957436942,-0.016513386743502768,0.8746666666666667,0.8746666666666667,0.5,0.831665934362793,1.103006847382375,0.23964813822893494
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T1→T2,single_output_ridge,128,375,375,5,0.89946145220501,1.1331310984492686,-0.026211566834167144,-0.09596882466719764,-0.06860596012094675,1.2545358537735372,0.01442489182699552,0.011498190174164152,0.6660046373370572,0.008359010618404574,0.012550979602525164,0.6685740605179805,0.007157320164918485,0.010705351265607465,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.8857599499611033,1.121991265544408,-0.00992862711765891,0.912,0.912,0.5,1.4239827398248797,1.7372358447279361,0.34773905230655355
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ftv,,T2→T3,single_output_ridge,128,375,375,5,0.8777504930481391,1.2159315795192205,0.037223029073340186,0.20859392422346118,0.19305711255118818,1.5397572143942888,0.056805607599977916,0.03689257440649444,0.7353196724585435,0.03194221198824762,0.0434398985701671,0.736152940437164,0.031625083631942656,0.04295993657671478,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9054897557783907,1.2415461635706626,0.020631197456061623,0.8133333333333334,0.8133333333333334,0.5,1.153293084666865,1.5140191371465808,0.19688493382531183
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ld,,T0→T1,single_output_ridge,128,375,375,5,0.2984680623107124,0.5871700751460979,-0.024338665369026957,-0.03368735306741772,-0.019121408902736958,0.33747680359088883,0.006324989670520816,0.018741998274312142,0.9405642191502867,0.020086154610147133,0.021355431347678873,0.9373922729012865,0.019633322346700458,0.020944617226184428,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.2901965225428247,0.5822633677612599,-0.008426955320414141,0.7306666666666667,0.7306666666666667,0.5,0.30340110730794384,0.6306656093388642,0.06896766455739246
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ld,,T1→T2,single_output_ridge,128,375,375,5,0.9798112992006224,1.3718519513921263,-0.03966247147159807,0.06629540812759739,0.029796981388378056,1.8150215617650212,0.09606011757010254,0.052925055874646854,5.151909619001897,0.2854904765554842,0.055414496306865256,5.167570890914212,0.2623641261364341,0.05077126790804768,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.9671460506258062,1.3514186558697598,-0.015119885635451608,0.8266666666666667,0.8266666666666667,0.5045970659163987,0.9232607722211814,1.5773156355249531,0.1302616163216093
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,ld,,T2→T3,single_output_ridge,128,375,375,5,1.0165189319411334,1.336117130919406,-0.012203160034859106,-0.007021131220239174,0.020725359121333792,1.7684021788052815,0.029039757139083675,0.01642146650073837,5.157852608783887,0.09058793918900404,0.01756311125190581,5.1567919557786555,0.08880718385945907,0.017221401332652663,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",1.003731415205971,1.3284753427510603,-0.005752299589182277,0.6586666666666666,0.6586666666666666,0.5,0.8538891949371882,1.5197576342435881,0.12083538795025264
pooled_oof_test,change,m0,m0_final,ema_target,ema_global_pool,global_pool,current_only,sphericity,,T0→T1,single_output_ridge,128,375,375,5,0.05406532045158559,0.07367401496521282,-0.10165077634965192,-0.08270110365229263,-0.08193946636072155,0.004940198467491306,0.0002964211045471262,0.060001861564410494,0.6294974910105975,0.03687340715035411,0.0585759398201213,0.6221939357870948,0.036086932146057085,0.05799949191148253,False,"fold-centered standardized Var(pred) <= max(1e-10, 0.01*Var(target))",0.0513780770074995,0.07090939854993504,-0.03898801106500592,0.464,0.464,0.46156480054785143,0.051011270472799956,0.07033422084780792,-0.04748462522435106
