task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,metric,estimate,ci_low,ci_high,bootstrap_replicates,valid_replicates,bootstrap_unit,ci_method,seed
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T1→T2,single_output_ridge,9,rmse_gain_over_zero_change,0.6761946128179974,0.6246044810236978,0.7203934294177124,2000,2000,patient within fold,percentile,1299270995
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,mae,0.5215590340353851,0.4702662603166246,0.5754572583886353,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,rmse,0.7366829834385875,0.6515859224311427,0.8264202639613121,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,r2,0.6478271195462866,0.53969026721917,0.7215532557078191,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,spearman,0.818369591704447,0.7650582623141281,0.8637008448460398,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,pearson,0.8079061627081765,0.7372229581345737,0.8629886836229707,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,predicted_to_target_variance_ratio,0.5457472223703581,0.4702501706715858,0.649762026421465,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,fold_centered_variance_ratio,0.6460726276694388,0.5464378106862912,0.7560748989881168,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,sign_accuracy,0.8668478260869565,0.8315217391304348,0.9021739130434783,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,shrinkage_accuracy,0.8668478260869565,0.8315217391304348,0.9021739130434783,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,shrinkage_balanced_accuracy,0.7193137254901961,0.6595345033256217,0.7785894296256883,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,rmse_gain_over_b0,0.4075297951380445,0.32473905253056856,0.47328823179045065,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,rmse_gain_over_zero_change,0.5155082257896242,0.4502019341459176,0.569411382093028,2000,2000,patient within fold,percentile,4187080529
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,mae,0.28269731879597865,0.23598250634472553,0.3359933879382457,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,rmse,0.5763826636008558,0.3918935509387149,0.7437857132583577,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,r2,0.01798737381398674,-0.030701108920289155,0.06071155586052194,2000,2000,patient within fold,percentile,2354231661
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,spearman,0.28748480905159657,0.18884999866770144,0.378696944785277,2000,2000,patient within fold,percentile,2354231661
