task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,comparison_type,comparison_dimension,left_method,right_method,pair_scope,fold,n,mae_reduction,rmse_reduction,r2_gain,spearman_gain,pearson_gain,sign_accuracy_gain,rmse_gain_over_b0_difference
change,,,online,online_projected,projected,observed_difference,ftv,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0052277111977631074,0.0033750467691580077,0.006369146652181024,-0.08160372582768044,0.03477012240359423,0.0,0.003237969727702284
change,,,online,online_projected,projected,observed_difference,ftv,,T2→T3,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.010114149030660213,0.03693406440089575,0.0582099047064456,0.20366508049002735,0.20925653257086038,0.0,0.029292765373784658
change,,,online,online_projected,projected,observed_difference,ld,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.012795534057635283,0.001876162039106788,0.0053702473802157424,0.12994689841474893,0.005846235615855486,0.0,0.002604188585477246
change,,,online,online_projected,projected,observed_difference,ld,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.05280031491269699,0.07004953671294922,0.09382622712272926,0.03624285517317494,0.30127928165921253,0.0,0.04585990911838442
change,,,online,online_projected,projected,observed_difference,ld,,T2→T3,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.07067994492345409,-0.03246635776830131,-0.040454233030407516,-0.24485513732467415,-0.24348127443528778,0.011904761904761973,-0.020162505044618077
change,,,online,online_projected,projected,observed_difference,sphericity,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.0017326736661705741,-0.0007687733348792913,-0.021361087099805998,-0.19904829401640173,-0.11524460133606826,-0.09523809523809523,-0.010205552554466882
change,,,online,online_projected,projected,observed_difference,sphericity,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0009277489280229978,0.0016777263138632453,0.03361904747410571,0.3029664877999393,0.27813372580479423,0.0,0.0167477975377216
change,,,online,online_projected,projected,observed_difference,sphericity,,T2→T3,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0011201611332000427,0.0014389702974365315,0.021930301566605692,0.07862711349600082,0.14269553929719797,0.023809523809523836,0.010948991346501642
change,,,online,online_roi_mean,roi_mean,observed_difference,ftv,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,82,-0.0052477289487818934,-0.04961399464998306,-0.09623896588279468,-0.16473482003896345,-0.20020662389004162,-0.012195121951219523,-0.04851299709406042
change,,,online,online_roi_mean,roi_mean,observed_difference,ftv,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,80,0.010152104555563035,0.06070839091602087,0.12290455192006289,0.06359587435536804,0.07746436187403821,0.0,0.058868400378753065
change,,,online,online_roi_mean,roi_mean,observed_difference,ftv,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,80,0.02987072793153256,0.09818818939941032,0.15588430749195292,0.18867791842475384,0.36270143233312635,0.012500000000000067,0.07630002280106657
change,,,online,online_roi_mean,roi_mean,observed_difference,ld,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,82,0.009278559677377951,0.00912931530369876,0.026039431312459005,0.16148990712464356,0.14396580993924363,0.0,0.012575491067638722
change,,,online,online_roi_mean,roi_mean,observed_difference,ld,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,80,0.015746203740447662,0.03748360358697278,0.050185647446638226,-0.13415856483381244,0.00028467054893999144,0.03750000000000009,0.02438794006580191
change,,,online,online_roi_mean,roi_mean,observed_difference,ld,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,80,-0.040485897034542084,-0.04622157804938998,-0.05990511052623626,-0.1178556247374766,-0.00920417032646928,-0.012499999999999956,-0.029137648377003347
change,,,online,online_roi_mean,roi_mean,observed_difference,sphericity,,T0→T1,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,82,0.002205605163746127,0.003789815856394166,0.11082422866569663,0.06001240735298919,0.04923043138278139,0.04878048780487809,0.050550909459513224
change,,,online,online_roi_mean,roi_mean,observed_difference,sphericity,,T1→T2,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,80,0.0005231005496720287,0.0018910463948550033,0.03937731537545053,-0.06533052039381153,0.17897098462855035,0.0,0.01955494798351797
change,,,online,online_roi_mean,roi_mean,observed_difference,sphericity,,T2→T3,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,80,-1.4694254041686117e-05,0.001661470340463933,0.02517352215960722,0.11207219878105956,0.13134217920280017,0.0,0.012567352195409047
change,,,transition,transition_predicted_delta,transition_delta,predicted_next_delta,ftv,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0667748077384075,0.04269809886087472,0.08803925088526277,0.2770071884175357,0.140651242420655,0.011904761904761862,0.04225318208405519
change,,,transition,transition_predicted_delta,transition_delta,predicted_next_delta,ftv,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.020535767207763622,0.02244095256857359,0.04372800838338975,0.1244304950896021,0.17334788558334324,0.0,0.021529516491995682
change,,,transition,transition_predicted_delta,transition_delta,predicted_next_delta,ftv,,T2→T3,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.008893851246304929,0.00679076509544041,0.010974166554404752,-0.19860281461982385,-0.0611307632950234,0.0,0.005385821784736965
change,,,transition,transition_predicted_delta,transition_delta,predicted_next_delta,ld,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.01658209489157958,-0.013118796122793541,-0.03790768632189079,-0.24680182921004565,-0.2296542412995886,0.011904761904761862,-0.01820941816648575
change,,,transition,transition_predicted_delta,transition_delta,predicted_next_delta,ld,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.03276585033875046,0.04671893287291251,0.0635146854941222,-0.030116303795759233,0.1691967076937147,0.0,0.030585869888609937
change,,,transition,transition_predicted_delta,transition_delta,predicted_next_delta,ld,,T2→T3,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.09208894218633046,-0.08124068288803854,-0.1026103837789647,-0.393811055376912,-0.3824153503828108,0.0,-0.05045270831573165
change,,,transition,transition_predicted_delta,transition_delta,predicted_next_delta,sphericity,,T0→T1,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.003986465809777802,0.002730074943988095,0.0818966032074937,-0.028186696365293112,-0.039099287504323524,-0.011904761904761918,0.036242052181581524
change,,,transition,transition_predicted_delta,transition_delta,predicted_next_delta,sphericity,,T1→T2,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.0039620695704055825,-0.0040955335222617045,-0.08285545903623137,-0.3060645945125038,-0.26306166939619224,0.0,-0.04088340611517753
change,,,transition,transition_predicted_delta,transition_delta,predicted_next_delta,sphericity,,T2→T3,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.00019466744890064835,0.00035222615280597336,0.005437920431861976,-0.015409537308899464,0.026025181831340453,0.0,0.002680056083127224
static,,,online,online_global_pool,global_pool,current,ftv,T0,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.25915968580615534,0.8111537975845629,0.028889431182147485,-0.028692922952313515,-0.002971913044888641,,0.02342960201133526
static,,,online,online_global_pool,global_pool,current,ftv,T1,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.4197373687947312,-0.5952283972369443,-0.0419947986476642,0.024643110256150513,-0.02038253368523779,,-0.023593922513127225
static,,,online,online_global_pool,global_pool,current,ftv,T2,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.11363267820764467,-0.056220808924177135,-0.00994539036472708,-0.03612432924977227,0.06162428719617377,,-0.004539588318006483
static,,,online,online_global_pool,global_pool,current,ftv,T3,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.08231404174981294,-0.293129625646694,-0.10245930448510532,-0.055259694239141455,-0.25178033035327296,,-0.04937652732374491
static,,,online,online_global_pool,global_pool,current,ld,T0,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.024272241719321963,-0.013188577484083197,-0.010099348078019488,-0.06765703397908185,-0.00528637375869534,,-0.005560663713483793
static,,,online,online_global_pool,global_pool,current,ld,T1,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.04231092743252507,0.03389022328519875,0.031191892374068164,0.14608580241565916,0.1115077751932848,,0.015051621182995464
static,,,online,online_global_pool,global_pool,current,ld,T2,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.017894336264215882,-0.01392966625190084,-0.015208142949543424,-0.13246648627526403,-0.032361132317312864,,-0.005422482406015725
static,,,online,online_global_pool,global_pool,current,ld,T3,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.1765526850074235,0.31355391875251337,0.4175173790562874,0.08182184358416182,0.2903023721072017,,0.14539965697822765
static,,,online,online_global_pool,global_pool,current,sphericity,T0,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.00020359989250423594,0.0009923797006803764,0.01799768406207669,0.028125949174850562,0.031301408590311997,,0.010147346931434015
static,,,online,online_global_pool,global_pool,current,sphericity,T1,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.006663122944436398,0.006067179889995625,0.1305072949762267,0.06078768856940367,0.03932288808638504,,0.06402904663437359
static,,,online,online_global_pool,global_pool,current,sphericity,T2,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0018739946027445942,0.0023479459302536143,0.036733822070472044,0.11384023488913639,0.107617468078262,,0.01856929100903976
static,,,online,online_global_pool,global_pool,current,sphericity,T3,,single_output_ridge,128.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.00012152149865768402,0.0026027208765974086,0.036247728211157626,0.17912321555128075,0.19488568783783244,,0.017875527750243574
static,,,online,online_preprojector,preprojector,current,ftv,T0,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-1.8988021019977115,-3.51436706877109,-0.12139751171929702,-0.11841652323580021,-0.06448814246202428,,-0.10150999969209373
static,,,online,online_preprojector,preprojector,current,ftv,T1,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.5302942145336829,0.8414266897771832,0.06057551343145762,-0.07769565657588329,-0.016950294014747014,,0.03335283768589628
static,,,online,online_preprojector,preprojector,current,ftv,T2,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.28560269195873467,0.21438025218870393,0.03838134548315808,0.09334818264655254,0.12956696077744806,,0.017310282563874874
static,,,online,online_preprojector,preprojector,current,ftv,T3,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.07468682538163418,-0.27070601762852764,-0.09547263936815997,-0.08441834565151363,-0.25463591273918057,,-0.04559935914579884
static,,,online,online_preprojector,preprojector,current,ld,T0,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.03829052597054816,-0.045667685386314716,-0.03565240453355756,-0.06096122630425432,-0.03904261134033088,,-0.019254740802254658
static,,,online,online_preprojector,preprojector,current,ld,T1,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.02788067859514931,0.036518611921458444,0.03357533204295793,0.04593033235961,0.11548822065990791,,0.01621896404001196
static,,,online,online_preprojector,preprojector,current,ld,T2,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.03268056908483885,-0.011012861583874045,-0.012003545117762027,-0.1432212714661173,-0.04533616653302526,,-0.004287040844951651
static,,,online,online_preprojector,preprojector,current,ld,T3,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.009356168618557925,0.03465347906461291,0.04323761276989169,0.10112159944351187,0.25388131100786754,,0.016069338215076993
static,,,online,online_preprojector,preprojector,current,sphericity,T0,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-0.004660360185214138,-0.004354108784390895,-0.08250321729848775,0.002551381998582569,-0.03567008157994922,,-0.04452192279036659
static,,,online,online_preprojector,preprojector,current,sphericity,T1,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0012533364064480357,4.977121739058177e-05,0.0010524676149525902,-0.000789713475751741,-0.00963036689743585,,0.0005252528616476217
static,,,online,online_preprojector,preprojector,current,sphericity,T2,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0026723107496761656,0.0023587935031722518,0.0373538287334233,0.15429786372380278,0.1250193350630096,,0.018655081629544466
static,,,online,online_preprojector,preprojector,current,sphericity,T3,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.0052339294856378615,0.006732765297014193,0.09487759849845079,0.2576085856029159,0.19029147081667247,,0.04624073752387634
static,,,online,online_projected,projected,current,ftv,T0,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,-3.383678576194491,-5.358150710762111,-0.2181091401978157,-0.12011744456818874,-0.1476944250649289,,-0.1547663822122735
static,,,online,online_projected,projected,current,ftv,T1,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.10971586887523799,0.7118974565230829,0.05444809584450361,-0.025453072795383225,-0.008146886884912163,,0.0282185015104576
static,,,online,online_projected,projected,current,ftv,T2,,single_output_ridge,192.0,m1_minus_m0,model,m1,m0,exact patient set,4,84,0.13924824197541685,0.09276598395313584,0.016416076142734326,0.03418041915561404,0.0522200522522594,,0.007490453892792258
