visit,successful_transforms,lesion_evaluable,threshold_pattern_count,threshold_pattern_rate,median_anatomy_residual_after_mm,median_lesion_residual_after_mm
T1,308,308,15,0.048701298701298704,9.557974844905342,7.071900449566912
T2,283,283,5,0.0176678445229682,10.198623982743278,10.273241793421061
T3,267,267,2,0.00749063670411985,11.357602486461209,15.036324286644541
