scope,visits,anti_alias_required_visits,extreme_visits_gt2,extreme_visit_fraction_gt2,padding_fraction_bbox_median,padding_fraction_bbox_q95,factor_x_median,factor_x_q95,factor_x_max,factor_y_median,factor_y_q95,factor_y_max,factor_z_median,factor_z_q95,factor_z_max
ALL_MODEL_INPUTS,3792,2231,597,0.1574367088607595,0.3486591749262856,0.5491542925286141,1.2800454660246332,1.5889830746589229,2.8800000000000003,1.2800454660246332,1.5999999999999999,2.8800000000000003,1.0,2.8444444444444446,5.688888888888889
ISPY2,3232,1671,64,0.019801980198019802,0.36614658893174423,0.5561000153247316,1.3165593751103528,1.5904791723127245,2.8800000000000003,1.3165593751103528,1.5904791723127245,2.8800000000000003,1.0,2.0,2.5000381475547417
ISPY1,560,560,533,0.9517857142857142,0.23585508995545512,0.43829020132556024,0.40909127706381376,0.4500328639663655,0.6776470588235294,1.1520000000000001,2.3040000000000003,2.56,2.56,5.12,5.688888888888889
FORMAL_FTV,1500,802,35,0.023333333333333334,0.36734636461255227,0.5446891581268508,1.3552176054226317,1.5891493077315675,2.8800000000000003,1.3552176054226317,1.5891493077315675,2.8800000000000003,1.0,2.0,2.5000381475547417
