scope,visit,status,error_code,file_count,slice_count,timepoint_count,decoded_cell_count,verified_cell_count,pixel_order_verified,finite_fraction,nonconstant,cell_recomparison_max_abs_error,center_corner_error_mm,footprint_corner_error_mm,qform_code,sform_code,elapsed_seconds
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,6.329901950014984e-06,6.3299247911812955e-06,1,1,11.906454801559448
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,7.737130039623381e-06,7.737130064032965e-06,1,1,11.01872205734253
BASE_ONLY_EXTENSION_74,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.702084911097487e-06,4.702091892295728e-06,1,1,5.832804918289185
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,4.803135160184692e-06,4.803135160184692e-06,1,1,5.414464473724365
FORMAL_72,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,1.0722906124780383e-05,1.0722922841773436e-05,1,1,5.905187606811523
FORMAL_72,T0,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,9.430507057402635e-06,9.43052231320827e-06,1,1,11.972839593887329
FORMAL_72,T2,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,3.2486989133215605e-06,3.248698929739416e-06,1,1,11.08135986328125
BASE_ONLY_EXTENSION_74,T2,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,4.950745083468829e-06,4.950777202362236e-06,1,1,12.297683954238892
FORMAL_72,T0,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.119395845711571e-06,8.119395845711571e-06,1,1,6.148311376571655
FORMAL_72,T0,PASS,,576,72,8,576,576,True,1.0,True,0.0,8.787500581086455e-06,8.794192543051335e-06,1,1,6.390456199645996
BASE_ONLY_EXTENSION_74,T0,PASS,,1056,176,6,1056,1056,True,1.0,True,0.0,7.641921307659344e-06,7.641921336146527e-06,1,1,11.150721073150635
BASE_ONLY_EXTENSION_74,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,7.11446022791619e-06,7.1144602775656385e-06,1,1,11.490683555603027
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.940684666633093e-06,8.940695455640463e-06,1,1,5.969907999038696
BASE_ONLY_EXTENSION_74,T1,PASS,,576,72,8,576,576,True,1.0,True,0.0,1.8917232412093845e-05,1.892231783973156e-05,1,1,6.204379320144653
BASE_ONLY_EXTENSION_74,T1,PASS,,1232,176,7,1232,1232,True,1.0,True,0.0,6.785090523493724e-06,6.785121419490898e-06,1,1,12.006765127182007
FORMAL_72,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,2.1931906650611464e-06,2.193190677632587e-06,1,1,5.983533143997192
BASE_ONLY_EXTENSION_74,T1,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.140063393054759e-06,8.140063449768262e-06,1,1,12.139836549758911
FORMAL_72,T3,PASS,,1120,160,7,1120,1120,True,1.0,True,0.0,8.718802242329994e-06,8.71882542399316e-06,1,1,11.728724241256714
