visit,pairs,successes,failures,success_rate,median_similarity_gain,median_translation_mm,median_rotation_deg
T1,375,308,67,0.8213333333333334,0.2084088970192131,17.268826713039147,3.5849472737533863
T2,375,283,92,0.7546666666666667,0.22401317107223595,18.6557912550077,3.6451249503363212
T3,375,267,108,0.712,0.2058245965804133,20.218490971326354,3.875515480553187
