metric,count,mean,minimum,q05,q25,median,q75,q95,maximum
optimizer_mattes_mi,858,-0.17957917917899952,-0.6554351435361525,-0.35104566851487523,-0.22972655256158298,-0.1665674296564031,-0.11170873342587834,-0.06042744048982155,-0.007146350562491506
histogram_mi_before,858,0.06764254275117475,0.002328277361082999,0.01234511757815981,0.026915913011468486,0.05225680821947957,0.09383780109635527,0.1691364827891248,0.3576729877313545
histogram_mi_after,858,0.17427548054474085,0.009650637667822287,0.06074584962006451,0.10987637654074453,0.16119350896821683,0.22235823440472266,0.33939944440601744,0.6603481985531849
histogram_mi_gain,858,0.1066329377935661,-0.16865229880362456,0.018090307767843154,0.056149180894164194,0.09376705200510928,0.1424335697263946,0.24089690332055214,0.5685328574654471
histogram_nmi_before,858,0.017977454266152763,0.0006192325755732172,0.0032296940021321763,0.007057132037673331,0.013873302500517586,0.025023951233386636,0.04607796078535758,0.09317809820392077
histogram_nmi_after,858,0.046096975808583886,0.0025155565968942497,0.01623197673164101,0.029582914391000935,0.043100437113205964,0.059158676875532154,0.0891982140969819,0.17705901325842432
histogram_nmi_gain,858,0.028119521542431122,-0.041746355192592,0.005451704172124011,0.015163124326292214,0.024819765077577938,0.03810101616894032,0.06374287355921042,0.15051699840814428
similarity_before,858,0.2238910296928307,-0.1401442180527246,0.014045749357115488,0.11440308826163088,0.20914047918754702,0.3206243934606872,0.46570570309498216,0.6624518671178763
similarity_after,858,0.4469726145060738,-0.4128351726061306,0.20862420937996362,0.35776384123025096,0.4580076229380401,0.5464779605501839,0.672980166952891,0.8636424347020742
similarity_gain,858,0.22308158481324306,-1.0323676053275932,0.01726363316760149,0.12313502013447244,0.21167115919272694,0.3091013363797198,0.5021291402127639,0.7822826781498591
translation_magnitude_mm,858,23.569508270673353,0.4971192513479658,4.962628847288826,11.052365987201021,18.645735073062585,30.721790165199454,58.78018137114606,133.6113561975826
rotation_magnitude_deg,858,4.496836255649007,0.2658485132541848,1.1492833420952626,2.4741657714621725,3.645635640752398,5.799499924056315,10.209667549874837,60.74448721030388
maximum_absolute_rotation_deg,858,3.7690336738510344,0.24015555136835184,0.8921582011401754,1.9933882752347447,3.0074196002902136,4.765337084626502,8.509371841817739,60.734321504219366
padding_fraction_before,858,0.20495320103408948,0.0,0.05144580841064451,0.10959243774414062,0.17850073059993005,0.2665147569444445,0.45332833607991535,0.7510823143853081
padding_fraction_after,858,0.13486574735778883,0.0,0.03709666252136231,0.07138143669115765,0.10903262870624097,0.1645730257034302,0.31460014254694946,0.77768431769477
padding_fraction_delta,858,-0.07008745367630065,-0.5407776832580566,-0.26647592071533205,-0.12538007764673947,-0.049700372869318166,-0.002935727437337249,0.063863099416097,0.7135567135281033
valid_overlap_fraction_before,858,0.7950467989659105,0.24891768561469185,0.5466716639200846,0.7334852430555555,0.82149926940007,0.8904075622558594,0.9485541915893555,1.0
valid_overlap_fraction_after,858,0.8651342526422112,0.22231568230523002,0.6853998574530504,0.8354269742965699,0.890967371293759,0.9286185633088424,0.9629033374786377,1.0
anatomy_dice_before,858,0.6064293155830474,0.15751059150934696,0.3184246186348152,0.5005977460840403,0.6178706206165923,0.7233570751352845,0.8398673262618671,0.9328771723897105
anatomy_dice_after,858,0.7205393184462945,0.029283308467033888,0.47140133159974107,0.6412611219916913,0.7441513438994608,0.8219483186667818,0.9090306519793395,0.9518226798767166
anatomy_dice_gain,858,0.11411000286324707,-0.8407657644056811,-0.008935819545008487,0.04200543602485052,0.09913991398550476,0.17542543566302188,0.3239153916365752,0.6188323990693649
