model,task,target,timepoint,transition,representation,fold_count,spearman_mean,spearman_sd_ddof1,pearson_mean,pearson_sd_ddof1,r2_mean,r2_sd_ddof1,mae_mean,mae_sd_ddof1,rmse_mean,rmse_sd_ddof1,rmse_gain_over_b0_mean,rmse_gain_over_b0_sd_ddof1,prediction_target_variance_ratio_mean,prediction_target_variance_ratio_sd_ddof1
G0,change,ftv,,T0→T1,response_state,5,0.40570464838426207,0.12227489716197165,0.36713627187084247,0.08097590618924633,0.10567602621078831,0.07825792371464418,0.5604086381663984,0.06116703432743789,0.7550137518496424,0.1209807945522446,0.06901320340323981,0.034798114444716845,0.17069783447958312,0.11986253032172861
G0,change,ftv,,T1→T2,response_state,5,0.26388006792828583,0.09567786522271605,0.25649550405489646,0.08766306434784175,0.04700183290571005,0.028965061221903614,0.8633180557282387,0.06798118724037593,1.0825782784672737,0.0979576516565243,0.031894284070648024,0.0182159265775562,0.057626947121000714,0.02648185764862141
G0,change,ftv,,T2→T3,response_state,5,0.25565428067411616,0.12709505603928953,0.3047389879037978,0.11497096848701605,0.0641349696353023,0.053427602075951736,0.8824638918297639,0.056401353639172196,1.1876054094377848,0.08260343544511702,0.03756432671101996,0.030985462924718817,0.10373675598819228,0.07387781382013923
G0,change,ld,,T0→T1,response_state,5,0.06650875243843749,0.05726813776717037,0.030383723524088153,0.06902488305858986,-0.039375786821032044,0.036821667840022956,0.2982015903866251,0.042072957478122265,0.5620670278189142,0.1947806364648011,-0.007553548851766378,0.00937644316230307,0.03182580166989413,0.021019099043544213
G0,change,ld,,T1→T2,response_state,5,-0.01426713852316922,0.14036873354904286,0.027393837055751984,0.0884359770356777,-0.036967314302209606,0.03716846016491464,0.9688541207227575,0.12067847042912735,1.3558931348130865,0.17067549561776973,-0.009696989600939168,0.01696288048839786,0.022519285228669604,0.012042891715028191
G0,change,ld,,T2→T3,response_state,5,0.1951815546083163,0.06496372395264585,0.1233044875533806,0.09576459486067299,-0.00824988178629198,0.028025405742027595,0.993138164784703,0.14771146188037754,1.30475701822597,0.24782142366214494,0.0007820064708341165,0.014069770105008993,0.04739082429328289,0.05601852840855933
G0,change,sphericity,,T0→T1,response_state,5,0.08204627129574754,0.1936736905959832,0.054123605433121204,0.15846565864312287,-0.05323899714939995,0.08146336437485129,0.051619827299446794,0.010107650324079953,0.07028847998442025,0.013600542107083688,-0.0008093320369568627,0.024763576350587076,0.028806525777913577,0.012743588897835495
G0,change,sphericity,,T1→T2,response_state,5,0.053409313367850264,0.127995775822648,0.0672201405628032,0.1474847299792106,-0.035049632376828434,0.057336153723310704,0.07581036825292102,0.014522034053863465,0.10576794414573838,0.02352636792248051,0.0024875397777610027,0.017349820614019865,0.016259214258405513,0.011552903438497162
G0,change,sphericity,,T2→T3,response_state,5,0.08317401856528917,0.1220032968750451,0.09432621718947448,0.12311176949493101,-0.04141078662274931,0.10588711255839713,0.09008787887402477,0.008681682549045599,0.128134029822369,0.012275379196261312,-0.010382465626966198,0.042937835515270646,0.03635808097983748,0.04676185824695069
G0,static,ftv,T0,,response_state,5,0.7504168698585632,0.04625721796851101,0.6500084908757531,0.2663500706577471,0.4280628854176734,0.3015237359197792,14.127655687995837,4.461540836817618,32.297217876341385,17.309082980648817,0.29786438661127107,0.19794725543219435,0.541963707841543,0.4036597855100713
