model,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit
G0,change,ld,,T2→T3,response_state,rmse,1.3282621359609694,1.2124965439551043,1.445405554777261,2000,2000,patient_within_outer_fold
G0,change,ld,,T2→T3,response_state,prediction_target_variance_ratio,0.06398904287206324,0.04850949901912116,0.08478046262119515,2000,2000,patient_within_outer_fold
G0,change,ld,,T2→T3,response_state,rmse_gain_over_b0,0.00016048978518097199,-0.028977608375721768,0.02879791472758459,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T0→T1,response_state,spearman,0.03686016611673683,-0.0618552306563494,0.1356319609291905,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T0→T1,response_state,pearson,0.022240155996989523,-0.07951307761944154,0.12222644114391003,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T0→T1,response_state,r2,-0.023218081689667658,-0.064712175836488,0.00928356135419729,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T0→T1,response_state,mae,0.05131443561243668,0.04659768078055222,0.05611377583655905,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T0→T1,response_state,rmse,0.07100296236548981,0.0642372549476232,0.07729496791894162,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T0→T1,response_state,prediction_target_variance_ratio,0.02948515160646983,0.02348191182371391,0.03811680236426469,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T0→T1,response_state,rmse_gain_over_b0,-0.001319484149977483,-0.01792404435573303,0.015640018185362498,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T1→T2,response_state,spearman,0.030939811127545794,-0.07277522795328759,0.12789156598996398,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T1→T2,response_state,pearson,0.017934322414310637,-0.08589814087191341,0.12321014422466782,2000,2000,patient_within_outer_fold
G0,change,sphericity,,T1→T2,response_state,r2,-0.010273114581698994,-0.03911284977717003,0.01244034254242583,2000,2000,patient_within_outer_fold
