comparison,kind,task,target,timepoint,transition,representation,fold,metric,estimate,n_patients,decision_point
G3-G1,probe,change,ftv,,T1→T2,response_state,3,mae,-0.018214135352055294,72,
G3-G1,probe,change,ftv,,T1→T2,response_state,3,rmse,-0.012391426229049651,72,
G3-G1,probe,change,ftv,,T1→T2,response_state,3,rmse_gain_over_b0,0.012645402163441948,72,
G3-G1,probe,change,ftv,,T1→T2,response_state,3,prediction_target_variance_ratio,0.06959475714063501,72,
G3-G1,probe,change,ftv,,T1→T2,response_state,4,spearman,0.07532651614862815,84,
G3-G1,probe,change,ftv,,T1→T2,response_state,4,pearson,-0.0012918230473578651,84,
G3-G1,probe,change,ftv,,T1→T2,response_state,4,r2,-0.05144005359033843,84,
G3-G1,probe,change,ftv,,T1→T2,response_state,4,mae,0.03685464410586192,84,
G3-G1,probe,change,ftv,,T1→T2,response_state,4,rmse,0.02706253602886166,84,
G3-G1,probe,change,ftv,,T1→T2,response_state,4,rmse_gain_over_b0,-0.02596339500170554,84,
G3-G1,probe,change,ftv,,T1→T2,response_state,4,prediction_target_variance_ratio,0.1405233543545305,84,
G3-G1,probe,change,ftv,,T2→T3,response_state,0,spearman,-0.030617464377055204,69,
G3-G1,probe,change,ftv,,T2→T3,response_state,0,pearson,0.005715289647306554,69,
G3-G1,probe,change,ftv,,T2→T3,response_state,0,r2,0.005362476867588617,69,
G3-G1,probe,change,ftv,,T2→T3,response_state,0,mae,-0.027618604767793098,69,
G3-G1,probe,change,ftv,,T2→T3,response_state,0,rmse,-0.0035169812080166896,69,
G3-G1,probe,change,ftv,,T2→T3,response_state,0,rmse_gain_over_b0,0.002829016924453087,69,
G3-G1,probe,change,ftv,,T2→T3,response_state,0,prediction_target_variance_ratio,-0.04417029028892398,69,
G3-G1,probe,change,ftv,,T2→T3,response_state,1,spearman,0.06217575225476901,67,
G3-G1,probe,change,ftv,,T2→T3,response_state,1,pearson,0.0939625249665319,67,
G3-G1,probe,change,ftv,,T2→T3,response_state,1,r2,0.06538057176431744,67,
G3-G1,probe,change,ftv,,T2→T3,response_state,1,mae,-0.024041152977406832,67,
G3-G1,probe,change,ftv,,T2→T3,response_state,1,rmse,-0.03896902744520947,67,
G3-G1,probe,change,ftv,,T2→T3,response_state,1,rmse_gain_over_b0,0.03450443471211743,67,
G3-G1,probe,change,ftv,,T2→T3,response_state,1,prediction_target_variance_ratio,0.0967551793058709,67,
G3-G1,probe,change,ftv,,T2→T3,response_state,2,spearman,-0.0018680995760043673,83,
G3-G1,probe,change,ftv,,T2→T3,response_state,2,pearson,0.030072443261926207,83,
G3-G1,probe,change,ftv,,T2→T3,response_state,2,r2,0.04905887712732071,83,
G3-G1,probe,change,ftv,,T2→T3,response_state,2,mae,-0.0031654002377438095,83,
G3-G1,probe,change,ftv,,T2→T3,response_state,2,rmse,-0.034867927671134114,83,
G3-G1,probe,change,ftv,,T2→T3,response_state,2,rmse_gain_over_b0,0.025930672700027566,83,
G3-G1,probe,change,ftv,,T2→T3,response_state,2,prediction_target_variance_ratio,0.05865733421843944,83,
G3-G1,probe,change,ftv,,T2→T3,response_state,3,spearman,0.13759727313653614,72,
G3-G1,probe,change,ftv,,T2→T3,response_state,3,pearson,0.14750791277832653,72,
G3-G1,probe,change,ftv,,T2→T3,response_state,3,r2,0.0497834085940545,72,
G3-G1,probe,change,ftv,,T2→T3,response_state,3,mae,-0.014667853985766977,72,
G3-G1,probe,change,ftv,,T2→T3,response_state,3,rmse,-0.030148042690078425,72,
G3-G1,probe,change,ftv,,T2→T3,response_state,3,rmse_gain_over_b0,0.025289092517251192,72,
G3-G1,probe,change,ftv,,T2→T3,response_state,3,prediction_target_variance_ratio,0.09546230831951223,72,
G3-G1,probe,change,ftv,,T2→T3,response_state,4,spearman,0.009476561709020975,84,
G3-G1,probe,change,ftv,,T2→T3,response_state,4,pearson,-0.03667959035883378,84,
G3-G1,probe,change,ftv,,T2→T3,response_state,4,r2,-0.007690548112702533,84,
G3-G1,probe,change,ftv,,T2→T3,response_state,4,mae,-0.00611037198873654,84,
G3-G1,probe,change,ftv,,T2→T3,response_state,4,rmse,0.005041691705380602,84,
G3-G1,probe,change,ftv,,T2→T3,response_state,4,rmse_gain_over_b0,-0.003998614682623615,84,
G3-G1,probe,change,ftv,,T2→T3,response_state,4,prediction_target_variance_ratio,0.08238222634934836,84,
G3-G1,probe,change,ld,,T0→T1,response_state,0,spearman,0.029141841930408294,69,
G3-G1,probe,change,ld,,T0→T1,response_state,0,pearson,-0.05241603543786613,69,
G3-G1,probe,change,ld,,T0→T1,response_state,0,r2,-0.014409732853097879,69,
G3-G1,probe,change,ld,,T0→T1,response_state,0,mae,0.004579127029440799,69,
G3-G1,probe,change,ld,,T0→T1,response_state,0,rmse,0.005679082073698272,69,
G3-G1,probe,change,ld,,T0→T1,response_state,0,rmse_gain_over_b0,-0.007130392292273077,69,
G3-G1,probe,change,ld,,T0→T1,response_state,0,prediction_target_variance_ratio,0.0013943110116122412,69,
G3-G1,probe,change,ld,,T0→T1,response_state,1,spearman,0.032237783524758146,67,
G3-G1,probe,change,ld,,T0→T1,response_state,1,pearson,0.003072948189490679,67,
G3-G1,probe,change,ld,,T0→T1,response_state,1,r2,-0.02150090811974792,67,
G3-G1,probe,change,ld,,T0→T1,response_state,1,mae,0.002716266444226123,67,
G3-G1,probe,change,ld,,T0→T1,response_state,1,rmse,0.005356678601937781,67,
G3-G1,probe,change,ld,,T0→T1,response_state,1,rmse_gain_over_b0,-0.010585596882673185,67,
G3-G1,probe,change,ld,,T0→T1,response_state,1,prediction_target_variance_ratio,0.04187304639641044,67,
G3-G1,probe,change,ld,,T0→T1,response_state,2,spearman,0.04410009968279559,83,
G3-G1,probe,change,ld,,T0→T1,response_state,2,pearson,0.13670452195190191,83,
G3-G1,probe,change,ld,,T0→T1,response_state,2,r2,0.048077340200604946,83,
G3-G1,probe,change,ld,,T0→T1,response_state,2,mae,-0.008912338467312264,83,
G3-G1,probe,change,ld,,T0→T1,response_state,2,rmse,-0.008219607472182922,83,
G3-G1,probe,change,ld,,T0→T1,response_state,2,rmse_gain_over_b0,0.02285917964605518,83,
G3-G1,probe,change,ld,,T0→T1,response_state,2,prediction_target_variance_ratio,0.04911050465006518,83,
G3-G1,probe,change,ld,,T0→T1,response_state,3,spearman,0.08449192581516399,72,
G3-G1,probe,change,ld,,T0→T1,response_state,3,pearson,0.04148064940765844,72,
G3-G1,probe,change,ld,,T0→T1,response_state,3,r2,0.018333810048960952,72,
G3-G1,probe,change,ld,,T0→T1,response_state,3,mae,-0.00010885529089155188,72,
G3-G1,probe,change,ld,,T0→T1,response_state,3,rmse,-0.0038038633180253467,72,
G3-G1,probe,change,ld,,T0→T1,response_state,3,rmse_gain_over_b0,0.009364777914335942,72,
G3-G1,probe,change,ld,,T0→T1,response_state,3,prediction_target_variance_ratio,0.011205605790707198,72,
G3-G1,probe,change,ld,,T0→T1,response_state,4,spearman,0.036489299843380424,84,
G3-G1,probe,change,ld,,T0→T1,response_state,4,pearson,0.012772784235851709,84,
G3-G1,probe,change,ld,,T0→T1,response_state,4,r2,0.0041683736108242275,84,
G3-G1,probe,change,ld,,T0→T1,response_state,4,mae,-0.006865608336703188,84,
G3-G1,probe,change,ld,,T0→T1,response_state,4,rmse,-0.0014684789334348247,84,
G3-G1,probe,change,ld,,T0→T1,response_state,4,rmse_gain_over_b0,0.0020383079914863926,84,
G3-G1,probe,change,ld,,T0→T1,response_state,4,prediction_target_variance_ratio,0.000513038904526298,84,
G3-G1,probe,change,ld,,T1→T2,response_state,0,spearman,0.04998629782434502,69,
G3-G1,probe,change,ld,,T1→T2,response_state,0,pearson,-0.012390062724114512,69,
G3-G1,probe,change,ld,,T1→T2,response_state,0,r2,-0.002647955868108731,69,
G3-G1,probe,change,ld,,T1→T2,response_state,0,mae,0.00845184372613561,69,
G3-G1,probe,change,ld,,T1→T2,response_state,0,rmse,0.0017765611688587146,69,
G3-G1,probe,change,ld,,T1→T2,response_state,0,rmse_gain_over_b0,-0.001300410479289019,69,
G3-G1,probe,change,ld,,T1→T2,response_state,0,prediction_target_variance_ratio,-0.006712524339283266,69,
G3-G1,probe,change,ld,,T1→T2,response_state,1,spearman,0.049954596899721176,67,
G3-G1,probe,change,ld,,T1→T2,response_state,1,pearson,0.06458940347045744,67,
G3-G1,probe,change,ld,,T1→T2,response_state,1,r2,0.02731120353340466,67,
G3-G1,probe,change,ld,,T1→T2,response_state,1,mae,-0.007394232551017232,67,
G3-G1,probe,change,ld,,T1→T2,response_state,1,rmse,-0.016657889987733876,67,
G3-G1,probe,change,ld,,T1→T2,response_state,1,rmse_gain_over_b0,0.013931683197183863,67,
G3-G1,probe,change,ld,,T1→T2,response_state,1,prediction_target_variance_ratio,0.005286061856185825,67,
G3-G1,probe,change,ld,,T1→T2,response_state,2,spearman,0.12609019642903704,83,
G3-G1,probe,change,ld,,T1→T2,response_state,2,pearson,0.03443069597594371,83,
G3-G1,probe,change,ld,,T1→T2,response_state,2,r2,0.009116584660761484,83,
G3-G1,probe,change,ld,,T1→T2,response_state,2,mae,-0.0012225347571356293,83,
G3-G1,probe,change,ld,,T1→T2,response_state,2,rmse,-0.005286126920799328,83,
G3-G1,probe,change,ld,,T1→T2,response_state,2,rmse_gain_over_b0,0.00447065099754159,83,
G3-G1,probe,change,ld,,T1→T2,response_state,2,prediction_target_variance_ratio,0.010567191415447895,83,
G3-G1,probe,change,ld,,T1→T2,response_state,3,spearman,0.005129153372261122,72,
G3-G1,probe,change,ld,,T1→T2,response_state,3,pearson,0.008508104606354074,72,
G3-G1,probe,change,ld,,T1→T2,response_state,3,r2,0.004471845980056122,72,
G3-G1,probe,change,ld,,T1→T2,response_state,3,mae,-0.00012719617493983648,72,
G3-G1,probe,change,ld,,T1→T2,response_state,3,rmse,-0.0030965622988679,72,
G3-G1,probe,change,ld,,T1→T2,response_state,3,rmse_gain_over_b0,0.0021577605441336304,72,
G3-G1,probe,change,ld,,T1→T2,response_state,3,prediction_target_variance_ratio,-0.00042781124321052827,72,
G3-G1,probe,change,ld,,T1→T2,response_state,4,spearman,-0.07063255513632166,84,
G3-G1,probe,change,ld,,T1→T2,response_state,4,pearson,0.08785630159900837,84,
G3-G1,probe,change,ld,,T1→T2,response_state,4,r2,0.01513207292334351,84,
G3-G1,probe,change,ld,,T1→T2,response_state,4,mae,-0.005665824829903077,84,
G3-G1,probe,change,ld,,T1→T2,response_state,4,rmse,-0.011362758180708532,84,
G3-G1,probe,change,ld,,T1→T2,response_state,4,rmse_gain_over_b0,0.007438950804663739,84,
G3-G1,probe,change,ld,,T1→T2,response_state,4,prediction_target_variance_ratio,0.0016181634517833162,84,
G3-G1,probe,change,ld,,T2→T3,response_state,0,spearman,0.061194961928103864,69,
G3-G1,probe,change,ld,,T2→T3,response_state,0,pearson,0.049079364737005915,69,
G3-G1,probe,change,ld,,T2→T3,response_state,0,r2,0.02481003529116843,69,
G3-G1,probe,change,ld,,T2→T3,response_state,0,mae,-0.014404413641689207,69,
G3-G1,probe,change,ld,,T2→T3,response_state,0,rmse,-0.01362047000240274,69,
G3-G1,probe,change,ld,,T2→T3,response_state,0,rmse_gain_over_b0,0.012563644323928744,69,
G3-G1,probe,change,ld,,T2→T3,response_state,0,prediction_target_variance_ratio,0.023055153435874578,69,
G3-G1,probe,change,ld,,T2→T3,response_state,1,spearman,0.03664539138499123,67,
G3-G1,probe,change,ld,,T2→T3,response_state,1,pearson,-0.024674836401235065,67,
G3-G1,probe,change,ld,,T2→T3,response_state,1,r2,-0.016600614715953643,67,
G3-G1,probe,change,ld,,T2→T3,response_state,1,mae,0.0063006182041235315,67,
G3-G1,probe,change,ld,,T2→T3,response_state,1,rmse,0.010651774275301396,67,
G3-G1,probe,change,ld,,T2→T3,response_state,1,rmse_gain_over_b0,-0.008220189776946902,67,
G3-G1,probe,change,ld,,T2→T3,response_state,1,prediction_target_variance_ratio,0.010539669207650232,67,
G3-G1,probe,change,ld,,T2→T3,response_state,2,spearman,-0.0022194940161570087,83,
G3-G1,probe,change,ld,,T2→T3,response_state,2,pearson,0.06531835694040422,83,
G3-G1,probe,change,ld,,T2→T3,response_state,2,r2,0.014350483110015078,83,
G3-G1,probe,change,ld,,T2→T3,response_state,2,mae,0.0029433693526418336,83,
G3-G1,probe,change,ld,,T2→T3,response_state,2,rmse,-0.007538193549792904,83,
G3-G1,probe,change,ld,,T2→T3,response_state,2,rmse_gain_over_b0,0.007168706882097184,83,
G3-G1,probe,change,ld,,T2→T3,response_state,2,prediction_target_variance_ratio,0.0006442379427589844,83,
G3-G1,probe,change,ld,,T2→T3,response_state,3,spearman,0.047497439047325396,72,
G3-G1,probe,change,ld,,T2→T3,response_state,3,pearson,0.019616032235630715,72,
G3-G1,probe,change,ld,,T2→T3,response_state,3,r2,0.005434146382666816,72,
G3-G1,probe,change,ld,,T2→T3,response_state,3,mae,-0.00508374364426234,72,
G3-G1,probe,change,ld,,T2→T3,response_state,3,rmse,-0.004077781724296736,72,
G3-G1,probe,change,ld,,T2→T3,response_state,3,rmse_gain_over_b0,0.002747123018737044,72,
G3-G1,probe,change,ld,,T2→T3,response_state,3,prediction_target_variance_ratio,-0.00027965174726409664,72,
G3-G1,probe,change,ld,,T2→T3,response_state,4,spearman,0.10106231836674705,84,
G3-G1,probe,change,ld,,T2→T3,response_state,4,pearson,0.10315504380267727,84,
G3-G1,probe,change,ld,,T2→T3,response_state,4,r2,0.025235756320646452,84,
G3-G1,probe,change,ld,,T2→T3,response_state,4,mae,-0.024043451576010177,84,
G3-G1,probe,change,ld,,T2→T3,response_state,4,rmse,-0.01977129523966714,84,
G3-G1,probe,change,ld,,T2→T3,response_state,4,rmse_gain_over_b0,0.012278520521006264,84,
G3-G1,probe,change,ld,,T2→T3,response_state,4,prediction_target_variance_ratio,0.023013086394522257,84,
G3-G1,probe,change,sphericity,,T0→T1,response_state,0,spearman,-0.06317135549872124,69,
G3-G1,probe,change,sphericity,,T0→T1,response_state,0,pearson,-0.0846233182604324,69,
G3-G1,probe,change,sphericity,,T0→T1,response_state,0,r2,0.1171065147452044,69,
G3-G1,probe,change,sphericity,,T0→T1,response_state,0,mae,-0.00601994305046074,69,
G3-G1,probe,change,sphericity,,T0→T1,response_state,0,rmse,-0.003124038661726017,69,
G3-G1,probe,change,sphericity,,T0→T1,response_state,0,rmse_gain_over_b0,0.05346748853459606,69,
G3-G1,probe,change,sphericity,,T0→T1,response_state,0,prediction_target_variance_ratio,-0.2537448319502277,69,
G3-G1,probe,change,sphericity,,T0→T1,response_state,1,spearman,-0.023665096975017952,67,
G3-G1,probe,change,sphericity,,T0→T1,response_state,1,pearson,0.01851693373443028,67,
G3-G1,probe,change,sphericity,,T0→T1,response_state,1,r2,0.00216647248326296,67,
G3-G1,probe,change,sphericity,,T0→T1,response_state,1,mae,0.0001251198696522321,67,
G3-G1,probe,change,sphericity,,T0→T1,response_state,1,rmse,-9.808778712008803e-05,67,
G3-G1,probe,change,sphericity,,T0→T1,response_state,1,rmse_gain_over_b0,0.0010717030011376388,67,
G3-G1,probe,change,sphericity,,T0→T1,response_state,1,prediction_target_variance_ratio,0.004329537622143259,67,
G3-G1,probe,change,sphericity,,T0→T1,response_state,2,spearman,0.16938835481298012,83,
G3-G1,probe,change,sphericity,,T0→T1,response_state,2,pearson,0.10234261228745611,83,
G3-G1,probe,change,sphericity,,T0→T1,response_state,2,r2,0.16353179638572524,83,
G3-G1,probe,change,sphericity,,T0→T1,response_state,2,mae,-0.006133396954399489,83,
G3-G1,probe,change,sphericity,,T0→T1,response_state,2,rmse,-0.0047074666116057595,83,
G3-G1,probe,change,sphericity,,T0→T1,response_state,2,rmse_gain_over_b0,0.07648972912488443,83,
G3-G1,probe,change,sphericity,,T0→T1,response_state,2,prediction_target_variance_ratio,-0.09121366711599432,83,
G3-G1,probe,change,sphericity,,T0→T1,response_state,3,spearman,-0.036336741912663194,72,
G3-G1,probe,change,sphericity,,T0→T1,response_state,3,pearson,-0.013108159903666289,72,
G3-G1,probe,change,sphericity,,T0→T1,response_state,3,r2,0.014572533158744072,72,
G3-G1,probe,change,sphericity,,T0→T1,response_state,3,mae,-0.000433231140722308,72,
G3-G1,probe,change,sphericity,,T0→T1,response_state,3,rmse,-0.0004011407307385195,72,
G3-G1,probe,change,sphericity,,T0→T1,response_state,3,rmse_gain_over_b0,0.006238232645202079,72,
G3-G1,probe,change,sphericity,,T0→T1,response_state,3,prediction_target_variance_ratio,-0.006642932895641471,72,
G3-G1,probe,change,sphericity,,T0→T1,response_state,4,spearman,-0.08178596739900779,84,
G3-G1,probe,change,sphericity,,T0→T1,response_state,4,pearson,-0.001221878683512173,84,
G3-G1,probe,change,sphericity,,T0→T1,response_state,4,r2,0.00230309455930211,84,
G3-G1,probe,change,sphericity,,T0→T1,response_state,4,mae,0.00034089219074021765,84,
G3-G1,probe,change,sphericity,,T0→T1,response_state,4,rmse,-8.207682494594526e-05,84,
G3-G1,probe,change,sphericity,,T0→T1,response_state,4,rmse_gain_over_b0,0.001089579089439747,84,
G3-G1,probe,change,sphericity,,T0→T1,response_state,4,prediction_target_variance_ratio,0.008992426775813122,84,
G3-G1,probe,change,sphericity,,T1→T2,response_state,0,spearman,0.042272561198392414,69,
G3-G1,probe,change,sphericity,,T1→T2,response_state,0,pearson,0.08662762631334152,69,
G3-G1,probe,change,sphericity,,T1→T2,response_state,0,r2,0.014838166041117984,69,
G3-G1,probe,change,sphericity,,T1→T2,response_state,0,mae,-0.0009647054164273472,69,
G3-G1,probe,change,sphericity,,T1→T2,response_state,0,rmse,-0.0007530212945631998,69,
G3-G1,probe,change,sphericity,,T1→T2,response_state,0,rmse_gain_over_b0,0.007446389326561748,69,
G3-G1,probe,change,sphericity,,T1→T2,response_state,0,prediction_target_variance_ratio,0.0001234648576945883,69,
G3-G1,probe,change,sphericity,,T1→T2,response_state,1,spearman,0.10547529731024027,67,
G3-G1,probe,change,sphericity,,T1→T2,response_state,1,pearson,0.06658560344222074,67,
G3-G1,probe,change,sphericity,,T1→T2,response_state,1,r2,0.01008251194487797,67,
G3-G1,probe,change,sphericity,,T1→T2,response_state,1,mae,-0.00033301759146039944,67,
G3-G1,probe,change,sphericity,,T1→T2,response_state,1,rmse,-0.0007083502218647453,67,
G3-G1,probe,change,sphericity,,T1→T2,response_state,1,rmse_gain_over_b0,0.004939501291734639,67,
G3-G1,probe,change,sphericity,,T1→T2,response_state,1,prediction_target_variance_ratio,0.007434108648431173,67,
G3-G1,probe,change,sphericity,,T1→T2,response_state,2,spearman,0.06666386801561648,83,
G3-G1,probe,change,sphericity,,T1→T2,response_state,2,pearson,0.05519884779449988,83,
