comparison,kind,task,target,timepoint,transition,representation,fold,metric,estimate,n_patients,decision_point
G3-G1,probe,change,sphericity,,T2→T3,response_state,2,mae,0.0008935464005868365,83,
G3-G1,probe,change,sphericity,,T2→T3,response_state,2,rmse,0.000600003513100994,83,
G3-G1,probe,change,sphericity,,T2→T3,response_state,2,rmse_gain_over_b0,-0.004365766685768477,83,
G3-G1,probe,change,sphericity,,T2→T3,response_state,2,prediction_target_variance_ratio,0.004003512608979493,83,
G3-G1,probe,change,sphericity,,T2→T3,response_state,3,spearman,-0.05730272043218215,72,
G3-G1,probe,change,sphericity,,T2→T3,response_state,3,pearson,-0.029573446435006548,72,
G3-G1,probe,change,sphericity,,T2→T3,response_state,3,r2,0.0161309537745169,72,
G3-G1,probe,change,sphericity,,T2→T3,response_state,3,mae,-0.0022143771700288,72,
G3-G1,probe,change,sphericity,,T2→T3,response_state,3,rmse,-0.0010099128895697806,72,
G3-G1,probe,change,sphericity,,T2→T3,response_state,3,rmse_gain_over_b0,0.007754083049569745,72,
G3-G1,probe,change,sphericity,,T2→T3,response_state,3,prediction_target_variance_ratio,-0.05702378090990623,72,
G3-G1,probe,change,sphericity,,T2→T3,response_state,4,spearman,-0.07866761162296246,84,
G3-G1,probe,change,sphericity,,T2→T3,response_state,4,pearson,-0.08331421598599319,84,
G3-G1,probe,change,sphericity,,T2→T3,response_state,4,r2,-0.019634741839227754,84,
G3-G1,probe,change,sphericity,,T2→T3,response_state,4,mae,0.0009890158933638232,84,
G3-G1,probe,change,sphericity,,T2→T3,response_state,4,rmse,0.0012864954574265952,84,
G3-G1,probe,change,sphericity,,T2→T3,response_state,4,rmse_gain_over_b0,-0.009788824451136241,84,
G3-G1,probe,change,sphericity,,T2→T3,response_state,4,prediction_target_variance_ratio,0.00010666628444582459,84,
G3-G1,probe,static,ftv,T0,,response_state,0,spearman,-0.043880160759956155,69,
G3-G1,probe,static,ftv,T0,,response_state,0,pearson,-0.12220888355071863,69,
G3-G1,probe,static,ftv,T0,,response_state,0,r2,-0.34203535306086097,69,
G3-G1,probe,static,ftv,T0,,response_state,0,mae,3.587363253643744,69,
G3-G1,probe,static,ftv,T0,,response_state,0,rmse,9.525563363347572,69,
G3-G1,probe,static,ftv,T0,,response_state,0,rmse_gain_over_b0,-0.16395454827898132,69,
G3-G1,probe,static,ftv,T0,,response_state,0,prediction_target_variance_ratio,0.4827022057281198,69,
G3-G1,probe,static,ftv,T0,,response_state,1,spearman,0.0005187963923697358,67,
G3-G1,probe,static,ftv,T0,,response_state,1,pearson,0.04260960310149575,67,
G3-G1,probe,static,ftv,T0,,response_state,1,r2,0.04413652348083241,67,
G3-G1,probe,static,ftv,T0,,response_state,1,mae,-0.5978600844569399,67,
G3-G1,probe,static,ftv,T0,,response_state,1,rmse,-0.8818084920767397,67,
G3-G1,probe,static,ftv,T0,,response_state,1,rmse_gain_over_b0,0.03136019607420737,67,
G3-G1,probe,static,ftv,T0,,response_state,1,prediction_target_variance_ratio,0.01454867034189472,67,
G3-G1,probe,static,ftv,T0,,response_state,2,spearman,0.16626086226438852,83,
G3-G1,probe,static,ftv,T0,,response_state,2,pearson,0.150695235485021,83,
G3-G1,probe,static,ftv,T0,,response_state,2,r2,0.15546146431502683,83,
G3-G1,probe,static,ftv,T0,,response_state,2,mae,-2.2642663762548487,83,
G3-G1,probe,static,ftv,T0,,response_state,2,rmse,-3.445552838495047,83,
G3-G1,probe,static,ftv,T0,,response_state,2,rmse_gain_over_b0,0.07763401333182392,83,
G3-G1,probe,static,ftv,T0,,response_state,2,prediction_target_variance_ratio,0.053925023905797356,83,
G3-G1,probe,static,ftv,T0,,response_state,3,spearman,0.05617724612515285,72,
G3-G1,probe,static,ftv,T0,,response_state,3,pearson,0.17933679395370344,72,
G3-G1,probe,static,ftv,T0,,response_state,3,r2,0.11386151659775756,72,
G3-G1,probe,static,ftv,T0,,response_state,3,mae,-2.5022237927255127,72,
G3-G1,probe,static,ftv,T0,,response_state,3,rmse,-2.9528948366649743,72,
G3-G1,probe,static,ftv,T0,,response_state,3,rmse_gain_over_b0,0.056611703828268106,72,
G3-G1,probe,static,ftv,T0,,response_state,3,prediction_target_variance_ratio,-0.024228290723004947,72,
G3-G1,probe,static,ftv,T0,,response_state,4,spearman,0.10209577807026426,84,
G3-G1,probe,static,ftv,T0,,response_state,4,pearson,0.13376720058764136,84,
G3-G1,probe,static,ftv,T0,,response_state,4,r2,0.25414800979933905,84,
G3-G1,probe,static,ftv,T0,,response_state,4,mae,-2.54474531444799,84,
G3-G1,probe,static,ftv,T0,,response_state,4,rmse,-4.993467483089237,84,
G3-G1,probe,static,ftv,T0,,response_state,4,rmse_gain_over_b0,0.14423276588695033,84,
G3-G1,probe,static,ftv,T0,,response_state,4,prediction_target_variance_ratio,0.24665309090547188,84,
G3-G1,probe,static,ftv,T1,,response_state,0,spearman,0.032042382170259454,69,
G3-G1,probe,static,ftv,T1,,response_state,0,pearson,0.03816881527588169,69,
G3-G1,probe,static,ftv,T1,,response_state,0,r2,0.0329792712570014,69,
G3-G1,probe,static,ftv,T1,,response_state,0,mae,-1.4629886260358482,69,
G3-G1,probe,static,ftv,T1,,response_state,0,rmse,-0.9248714509640052,69,
G3-G1,probe,static,ftv,T1,,response_state,0,rmse_gain_over_b0,0.01563462106876612,69,
G3-G1,probe,static,ftv,T1,,response_state,0,prediction_target_variance_ratio,-0.022536280395629403,69,
G3-G1,probe,static,ftv,T1,,response_state,1,spearman,0.03759278473940475,67,
G3-G1,probe,static,ftv,T1,,response_state,1,pearson,0.02231850960354964,67,
G3-G1,probe,static,ftv,T1,,response_state,1,r2,0.07885655797146018,67,
G3-G1,probe,static,ftv,T1,,response_state,1,mae,-0.4335206142464143,67,
G3-G1,probe,static,ftv,T1,,response_state,1,rmse,-0.6443031812973086,67,
G3-G1,probe,static,ftv,T1,,response_state,1,rmse_gain_over_b0,0.043837900432843635,67,
G3-G1,probe,static,ftv,T1,,response_state,1,prediction_target_variance_ratio,0.17702686868623232,67,
G3-G1,probe,static,ftv,T1,,response_state,2,spearman,0.10371101129255689,83,
G3-G1,probe,static,ftv,T1,,response_state,2,pearson,0.1151001067571778,83,
G3-G1,probe,static,ftv,T1,,response_state,2,r2,0.048066051710380364,83,
G3-G1,probe,static,ftv,T1,,response_state,2,mae,-0.8836205821078984,83,
G3-G1,probe,static,ftv,T1,,response_state,2,rmse,-1.1857841597100744,83,
G3-G1,probe,static,ftv,T1,,response_state,2,rmse_gain_over_b0,0.02233661006543143,83,
G3-G1,probe,static,ftv,T1,,response_state,2,prediction_target_variance_ratio,0.006280586840312449,83,
G3-G1,probe,static,ftv,T1,,response_state,3,spearman,0.12907582481188506,72,
G3-G1,probe,static,ftv,T1,,response_state,3,pearson,0.07923891729884946,72,
G3-G1,probe,static,ftv,T1,,response_state,3,r2,0.46702608532116796,72,
G3-G1,probe,static,ftv,T1,,response_state,3,mae,-2.0245876942948398,72,
G3-G1,probe,static,ftv,T1,,response_state,3,rmse,-5.204129386838137,72,
G3-G1,probe,static,ftv,T1,,response_state,3,rmse_gain_over_b0,0.26263815967012033,72,
G3-G1,probe,static,ftv,T1,,response_state,3,prediction_target_variance_ratio,-1.190135556598855,72,
G3-G1,probe,static,ftv,T1,,response_state,4,spearman,0.05331578414498339,84,
G3-G1,probe,static,ftv,T1,,response_state,4,pearson,0.01563945609286671,84,
G3-G1,probe,static,ftv,T1,,response_state,4,r2,0.018513464673920343,84,
G3-G1,probe,static,ftv,T1,,response_state,4,mae,-0.46211424753467867,84,
G3-G1,probe,static,ftv,T1,,response_state,4,rmse,-0.23522127214211963,84,
G3-G1,probe,static,ftv,T1,,response_state,4,rmse_gain_over_b0,0.009323803256233346,84,
G3-G1,probe,static,ftv,T1,,response_state,4,prediction_target_variance_ratio,0.043184820890068476,84,
G3-G1,probe,static,ftv,T2,,response_state,0,spearman,0.07380343441724513,69,
G3-G1,probe,static,ftv,T2,,response_state,0,pearson,-0.02317043728383203,69,
G3-G1,probe,static,ftv,T2,,response_state,0,r2,-1.0346050726108136,69,
G3-G1,probe,static,ftv,T2,,response_state,0,mae,1.182584792404862,69,
G3-G1,probe,static,ftv,T2,,response_state,0,rmse,16.987859033538015,69,
G3-G1,probe,static,ftv,T2,,response_state,0,rmse_gain_over_b0,-0.3600753458493291,69,
G3-G1,probe,static,ftv,T2,,response_state,0,prediction_target_variance_ratio,1.0712312945084275,69,
G3-G1,probe,static,ftv,T2,,response_state,1,spearman,0.027216856892010588,67,
G3-G1,probe,static,ftv,T2,,response_state,1,pearson,0.09737738908271654,67,
G3-G1,probe,static,ftv,T2,,response_state,1,r2,0.13512161458016536,67,
G3-G1,probe,static,ftv,T2,,response_state,1,mae,-0.45020383207225656,67,
G3-G1,probe,static,ftv,T2,,response_state,1,rmse,-0.7136881682959375,67,
G3-G1,probe,static,ftv,T2,,response_state,1,rmse_gain_over_b0,0.0864852509526832,67,
G3-G1,probe,static,ftv,T2,,response_state,1,prediction_target_variance_ratio,0.1301121889445973,67,
G3-G1,probe,static,ftv,T2,,response_state,2,spearman,0.06324251710675455,83,
G3-G1,probe,static,ftv,T2,,response_state,2,pearson,0.09820949150107655,83,
G3-G1,probe,static,ftv,T2,,response_state,2,r2,0.02953065224319884,83,
G3-G1,probe,static,ftv,T2,,response_state,2,mae,-0.6774856035250192,83,
G3-G1,probe,static,ftv,T2,,response_state,2,rmse,-0.675993631329419,83,
G3-G1,probe,static,ftv,T2,,response_state,2,rmse_gain_over_b0,0.013803787275656815,83,
G3-G1,probe,static,ftv,T2,,response_state,2,prediction_target_variance_ratio,0.004254247637333225,83,
G3-G1,probe,static,ftv,T2,,response_state,3,spearman,0.04968165155315446,72,
G3-G1,probe,static,ftv,T2,,response_state,3,pearson,0.04600736291977581,72,
G3-G1,probe,static,ftv,T2,,response_state,3,r2,0.4299506964062776,72,
G3-G1,probe,static,ftv,T2,,response_state,3,mae,-0.8256127916426923,72,
G3-G1,probe,static,ftv,T2,,response_state,3,rmse,-4.071994496729065,72,
G3-G1,probe,static,ftv,T2,,response_state,3,rmse_gain_over_b0,0.3232467285673032,72,
G3-G1,probe,static,ftv,T2,,response_state,3,prediction_target_variance_ratio,0.512943700975649,72,
G3-G1,probe,static,ftv,T2,,response_state,4,spearman,0.07970031386048387,84,
G3-G1,probe,static,ftv,T2,,response_state,4,pearson,0.04729437393834396,84,
G3-G1,probe,static,ftv,T2,,response_state,4,r2,0.0979016031994977,84,
G3-G1,probe,static,ftv,T2,,response_state,4,mae,-0.535099042811332,84,
G3-G1,probe,static,ftv,T2,,response_state,4,rmse,-0.5657699023460729,84,
G3-G1,probe,static,ftv,T2,,response_state,4,rmse_gain_over_b0,0.045683484256403256,84,
G3-G1,probe,static,ftv,T2,,response_state,4,prediction_target_variance_ratio,0.11789116705662456,84,
G3-G1,probe,static,ftv,T3,,response_state,0,spearman,0.14325904274753382,69,
G3-G1,probe,static,ftv,T3,,response_state,0,pearson,0.036625331174144016,69,
G3-G1,probe,static,ftv,T3,,response_state,0,r2,0.0497918504431728,69,
G3-G1,probe,static,ftv,T3,,response_state,0,mae,0.2270544785871249,69,
G3-G1,probe,static,ftv,T3,,response_state,0,rmse,-0.1887112628849117,69,
G3-G1,probe,static,ftv,T3,,response_state,0,rmse_gain_over_b0,0.024863284024573523,69,
G3-G1,probe,static,ftv,T3,,response_state,0,prediction_target_variance_ratio,0.42401785743989007,69,
G3-G1,probe,static,ftv,T3,,response_state,1,spearman,-0.0016362040067044448,67,
G3-G1,probe,static,ftv,T3,,response_state,1,pearson,0.05467704097838477,67,
G3-G1,probe,static,ftv,T3,,response_state,1,r2,0.06337019734616534,67,
G3-G1,probe,static,ftv,T3,,response_state,1,mae,0.021983689671142725,67,
G3-G1,probe,static,ftv,T3,,response_state,1,rmse,-0.08663491729876549,67,
G3-G1,probe,static,ftv,T3,,response_state,1,rmse_gain_over_b0,0.03082514889020664,67,
G3-G1,probe,static,ftv,T3,,response_state,1,prediction_target_variance_ratio,0.06997062162367979,67,
G3-G1,probe,static,ftv,T3,,response_state,2,spearman,-0.06475378867385922,83,
G3-G1,probe,static,ftv,T3,,response_state,2,pearson,0.20049863661658407,83,
G3-G1,probe,static,ftv,T3,,response_state,2,r2,0.04086677772704972,83,
G3-G1,probe,static,ftv,T3,,response_state,2,mae,-0.0548822535396889,83,
G3-G1,probe,static,ftv,T3,,response_state,2,rmse,-0.4285494629529083,83,
G3-G1,probe,static,ftv,T3,,response_state,2,rmse_gain_over_b0,0.019548089763577376,83,
G3-G1,probe,static,ftv,T3,,response_state,2,prediction_target_variance_ratio,0.0014895798618135133,83,
G3-G1,probe,static,ftv,T3,,response_state,3,spearman,0.0893305035693614,72,
G3-G1,probe,static,ftv,T3,,response_state,3,pearson,0.2162870451205392,72,
G3-G1,probe,static,ftv,T3,,response_state,3,r2,0.14681592959177925,72,
G3-G1,probe,static,ftv,T3,,response_state,3,mae,-0.25000163960620947,72,
G3-G1,probe,static,ftv,T3,,response_state,3,rmse,-1.0820220654120902,72,
G3-G1,probe,static,ftv,T3,,response_state,3,rmse_gain_over_b0,0.0798336595679661,72,
G3-G1,probe,static,ftv,T3,,response_state,3,prediction_target_variance_ratio,0.021954274785666687,72,
G3-G1,probe,static,ftv,T3,,response_state,4,spearman,0.017596436164827423,84,
G3-G1,probe,static,ftv,T3,,response_state,4,pearson,0.03675874953852373,84,
G3-G1,probe,static,ftv,T3,,response_state,4,r2,-0.030020920867879664,84,
G3-G1,probe,static,ftv,T3,,response_state,4,mae,-0.008219580240012458,84,
G3-G1,probe,static,ftv,T3,,response_state,4,rmse,0.07959026690388349,84,
G3-G1,probe,static,ftv,T3,,response_state,4,rmse_gain_over_b0,-0.013406666009325201,84,
G3-G1,probe,static,ftv,T3,,response_state,4,prediction_target_variance_ratio,0.10410116946856576,84,
G3-G1,probe,static,ld,T0,,response_state,0,spearman,-0.09118658892624681,69,
G3-G1,probe,static,ld,T0,,response_state,0,pearson,-0.07102670337851352,69,
G3-G1,probe,static,ld,T0,,response_state,0,r2,-0.07790353586999721,69,
G3-G1,probe,static,ld,T0,,response_state,0,mae,0.049799205198537866,69,
G3-G1,probe,static,ld,T0,,response_state,0,rmse,0.0870963461385108,69,
G3-G1,probe,static,ld,T0,,response_state,0,rmse_gain_over_b0,-0.04438817656528929,69,
G3-G1,probe,static,ld,T0,,response_state,0,prediction_target_variance_ratio,0.2141493686841776,69,
G3-G1,probe,static,ld,T0,,response_state,1,spearman,0.036343678056423495,67,
G3-G1,probe,static,ld,T0,,response_state,1,pearson,0.04106044447137136,67,
G3-G1,probe,static,ld,T0,,response_state,1,r2,0.015162630257649634,67,
G3-G1,probe,static,ld,T0,,response_state,1,mae,-0.006074780830670479,67,
G3-G1,probe,static,ld,T0,,response_state,1,rmse,-0.014690184438060028,67,
G3-G1,probe,static,ld,T0,,response_state,1,rmse_gain_over_b0,0.007783422272075503,67,
G3-G1,probe,static,ld,T0,,response_state,1,prediction_target_variance_ratio,0.018260842762317903,67,
G3-G1,probe,static,ld,T0,,response_state,2,spearman,0.08067465111392841,83,
G3-G1,probe,static,ld,T0,,response_state,2,pearson,0.1301985375894233,83,
G3-G1,probe,static,ld,T0,,response_state,2,r2,0.08743247996720438,83,
G3-G1,probe,static,ld,T0,,response_state,2,mae,-0.06318944232120183,83,
G3-G1,probe,static,ld,T0,,response_state,2,rmse,-0.09468898499030587,83,
G3-G1,probe,static,ld,T0,,response_state,2,rmse_gain_over_b0,0.04265764767892846,83,
G3-G1,probe,static,ld,T0,,response_state,2,prediction_target_variance_ratio,0.043111119989376556,83,
G3-G1,probe,static,ld,T0,,response_state,3,spearman,0.004632720716559957,72,
G3-G1,probe,static,ld,T0,,response_state,3,pearson,0.0002870001072317052,72,
G3-G1,probe,static,ld,T0,,response_state,3,r2,-0.006092582394952695,72,
G3-G1,probe,static,ld,T0,,response_state,3,mae,0.005903738418133075,72,
G3-G1,probe,static,ld,T0,,response_state,3,rmse,0.007324041235670986,72,
G3-G1,probe,static,ld,T0,,response_state,3,rmse_gain_over_b0,-0.003017519471661338,72,
G3-G1,probe,static,ld,T0,,response_state,3,prediction_target_variance_ratio,-0.010560601011567992,72,
G3-G1,probe,static,ld,T0,,response_state,4,spearman,0.034431240978424815,84,
G3-G1,probe,static,ld,T0,,response_state,4,pearson,0.02171545697863586,84,
G3-G1,probe,static,ld,T0,,response_state,4,r2,0.026557330509629273,84,
G3-G1,probe,static,ld,T0,,response_state,4,mae,-0.03587527479663044,84,
G3-G1,probe,static,ld,T0,,response_state,4,rmse,-0.031068736723893764,84,
G3-G1,probe,static,ld,T0,,response_state,4,rmse_gain_over_b0,0.01309942616122458,84,
G3-G1,probe,static,ld,T0,,response_state,4,prediction_target_variance_ratio,0.061951875801971784,84,
G3-G1,probe,static,ld,T1,,response_state,0,spearman,-0.059123479625684816,69,
G3-G1,probe,static,ld,T1,,response_state,0,pearson,-0.022210766721909858,69,
G3-G1,probe,static,ld,T1,,response_state,0,r2,0.023411443105594953,69,
G3-G1,probe,static,ld,T1,,response_state,0,mae,-0.017633860124584233,69,
G3-G1,probe,static,ld,T1,,response_state,0,rmse,-0.02143358252426597,69,
G3-G1,probe,static,ld,T1,,response_state,0,rmse_gain_over_b0,0.01212607593778902,69,
G3-G1,probe,static,ld,T1,,response_state,0,prediction_target_variance_ratio,0.09292461836676996,69,
G3-G1,probe,static,ld,T1,,response_state,1,spearman,0.10683305947064009,67,
G3-G1,probe,static,ld,T1,,response_state,1,pearson,0.08130071020110241,67,
G3-G1,probe,static,ld,T1,,response_state,1,r2,0.05012782829290907,67,
G3-G1,probe,static,ld,T1,,response_state,1,mae,-0.02730200169361785,67,
G3-G1,probe,static,ld,T1,,response_state,1,rmse,-0.04395680144199399,67,
G3-G1,probe,static,ld,T1,,response_state,1,rmse_gain_over_b0,0.02456766856892235,67,
G3-G1,probe,static,ld,T1,,response_state,1,prediction_target_variance_ratio,0.05251508633930553,67,
G3-G1,probe,static,ld,T1,,response_state,2,spearman,0.1565738991543927,83,
G3-G1,probe,static,ld,T1,,response_state,2,pearson,0.13302690368934764,83,
G3-G1,probe,static,ld,T1,,response_state,2,r2,0.0627480301746719,83,
G3-G1,probe,static,ld,T1,,response_state,2,mae,-0.061939932598901626,83,
G3-G1,probe,static,ld,T1,,response_state,2,rmse,-0.06174312665671389,83,
G3-G1,probe,static,ld,T1,,response_state,2,rmse_gain_over_b0,0.026839771007985354,83,
G3-G1,probe,static,ld,T1,,response_state,2,prediction_target_variance_ratio,0.03317871386052817,83,
G3-G1,probe,static,ld,T1,,response_state,3,spearman,-0.0010135055264029746,72,
G3-G1,probe,static,ld,T1,,response_state,3,pearson,-0.02222242389771828,72,
G3-G1,probe,static,ld,T1,,response_state,3,r2,-0.009817210609640359,72,
G3-G1,probe,static,ld,T1,,response_state,3,mae,0.016848919584210975,72,
G3-G1,probe,static,ld,T1,,response_state,3,rmse,0.010899728893817517,72,
G3-G1,probe,static,ld,T1,,response_state,3,rmse_gain_over_b0,-0.004496989615403566,72,
G3-G1,probe,static,ld,T1,,response_state,3,prediction_target_variance_ratio,0.02902614534238395,72,
G3-G1,probe,static,ld,T1,,response_state,4,spearman,0.012761238979737244,84,
G3-G1,probe,static,ld,T1,,response_state,4,pearson,0.0431689474319672,84,
G3-G1,probe,static,ld,T1,,response_state,4,r2,0.026863050097202468,84,
G3-G1,probe,static,ld,T1,,response_state,4,mae,-0.019619053003671505,84,
G3-G1,probe,static,ld,T1,,response_state,4,rmse,-0.029791616978270152,84,
G3-G1,probe,static,ld,T1,,response_state,4,rmse_gain_over_b0,0.01323131244702239,84,
G3-G1,probe,static,ld,T1,,response_state,4,prediction_target_variance_ratio,-0.007710433993177487,84,
G3-G1,probe,static,ld,T2,,response_state,0,spearman,-0.07548213019401268,69,
G3-G1,probe,static,ld,T2,,response_state,0,pearson,0.07750792370923049,69,
G3-G1,probe,static,ld,T2,,response_state,0,r2,-0.04656434211911331,69,
G3-G1,probe,static,ld,T2,,response_state,0,mae,-0.030862129469379385,69,
G3-G1,probe,static,ld,T2,,response_state,0,rmse,0.03725575699816197,69,
G3-G1,probe,static,ld,T2,,response_state,0,rmse_gain_over_b0,-0.01779101414518417,69,
G3-G1,probe,static,ld,T2,,response_state,0,prediction_target_variance_ratio,0.7763353102346857,69,
G3-G1,probe,static,ld,T2,,response_state,1,spearman,0.11880542103375669,67,
G3-G1,probe,static,ld,T2,,response_state,1,pearson,0.128340326859746,67,
G3-G1,probe,static,ld,T2,,response_state,1,r2,0.17078832434797586,67,
G3-G1,probe,static,ld,T2,,response_state,1,mae,-0.10613790680396873,67,
G3-G1,probe,static,ld,T2,,response_state,1,rmse,-0.16548864076840286,67,
G3-G1,probe,static,ld,T2,,response_state,1,rmse_gain_over_b0,0.08254657795504475,67,
G3-G1,probe,static,ld,T2,,response_state,1,prediction_target_variance_ratio,0.1397088822950439,67,
G3-G1,probe,static,ld,T2,,response_state,2,spearman,0.06173894464420804,83,
G3-G1,probe,static,ld,T2,,response_state,2,pearson,0.08491589754496298,83,
G3-G1,probe,static,ld,T2,,response_state,2,r2,0.11262227753237786,83,
G3-G1,probe,static,ld,T2,,response_state,2,mae,-0.1025964079095274,83,
G3-G1,probe,static,ld,T2,,response_state,2,rmse,-0.1473027777410687,83,
G3-G1,probe,static,ld,T2,,response_state,2,rmse_gain_over_b0,0.05049197486643773,83,
G3-G1,probe,static,ld,T2,,response_state,2,prediction_target_variance_ratio,0.07344059358490007,83,
G3-G1,probe,static,ld,T2,,response_state,3,spearman,0.11636401979451144,72,
G3-G1,probe,static,ld,T2,,response_state,3,pearson,0.11105352343185715,72,
G3-G1,probe,static,ld,T2,,response_state,3,r2,0.14309049258623308,72,
G3-G1,probe,static,ld,T2,,response_state,3,mae,-0.09383891818897272,72,
G3-G1,probe,static,ld,T2,,response_state,3,rmse,-0.13137198412971962,72,
G3-G1,probe,static,ld,T2,,response_state,3,rmse_gain_over_b0,0.059675629873919764,72,
G3-G1,probe,static,ld,T2,,response_state,3,prediction_target_variance_ratio,0.12291730164551473,72,
G3-G1,probe,static,ld,T2,,response_state,4,spearman,0.08445550181949282,84,
G3-G1,probe,static,ld,T2,,response_state,4,pearson,0.053132132683770206,84,
G3-G1,probe,static,ld,T2,,response_state,4,r2,0.06919526733998005,84,
G3-G1,probe,static,ld,T2,,response_state,4,mae,-0.0761862989368931,84,
G3-G1,probe,static,ld,T2,,response_state,4,rmse,-0.0654663959999695,84,
G3-G1,probe,static,ld,T2,,response_state,4,rmse_gain_over_b0,0.025484485706658684,84,
G3-G1,probe,static,ld,T2,,response_state,4,prediction_target_variance_ratio,0.061777915651749164,84,
G3-G1,probe,static,ld,T3,,response_state,0,spearman,-0.026485071654706954,69,
G3-G1,probe,static,ld,T3,,response_state,0,pearson,0.10670099654799334,69,
G3-G1,probe,static,ld,T3,,response_state,0,r2,0.05659378950797267,69,
G3-G1,probe,static,ld,T3,,response_state,0,mae,-0.007851278062018352,69,
G3-G1,probe,static,ld,T3,,response_state,0,rmse,-0.039024651551489375,69,
G3-G1,probe,static,ld,T3,,response_state,0,rmse_gain_over_b0,0.020778647164600303,69,
G3-G1,probe,static,ld,T3,,response_state,0,prediction_target_variance_ratio,0.03835184298825396,69,
G3-G1,probe,static,ld,T3,,response_state,1,spearman,0.08797370029623677,67,
G3-G1,probe,static,ld,T3,,response_state,1,pearson,0.11738799029295016,67,
G3-G1,probe,static,ld,T3,,response_state,1,r2,0.046842604012360844,67,
G3-G1,probe,static,ld,T3,,response_state,1,mae,-0.028432004548871515,67,
G3-G1,probe,static,ld,T3,,response_state,1,rmse,-0.030890000340132895,67,
G3-G1,probe,static,ld,T3,,response_state,1,rmse_gain_over_b0,0.018669722120177527,67,
G3-G1,probe,static,ld,T3,,response_state,1,prediction_target_variance_ratio,0.009020758771985209,67,
G3-G1,probe,static,ld,T3,,response_state,2,spearman,-0.02500221246342249,83,
G3-G1,probe,static,ld,T3,,response_state,2,pearson,0.006675822522614117,83,
G3-G1,probe,static,ld,T3,,response_state,2,r2,0.006184040288863768,83,
G3-G1,probe,static,ld,T3,,response_state,2,mae,0.004471900674067886,83,
G3-G1,probe,static,ld,T3,,response_state,2,rmse,-0.005382143648056559,83,
G3-G1,probe,static,ld,T3,,response_state,2,rmse_gain_over_b0,0.002419409770061793,83,
G3-G1,probe,static,ld,T3,,response_state,2,prediction_target_variance_ratio,0.002930381822183796,83,
G3-G1,probe,static,ld,T3,,response_state,3,spearman,-0.03408184700683348,72,
G3-G1,probe,static,ld,T3,,response_state,3,pearson,0.011690720193482496,72,
G3-G1,probe,static,ld,T3,,response_state,3,r2,-0.24489016227742333,72,
G3-G1,probe,static,ld,T3,,response_state,3,mae,0.08283356265801567,72,
G3-G1,probe,static,ld,T3,,response_state,3,rmse,0.20926901475842685,72,
G3-G1,probe,static,ld,T3,,response_state,3,rmse_gain_over_b0,-0.09505642132027452,72,
G3-G1,probe,static,ld,T3,,response_state,3,prediction_target_variance_ratio,0.5246668892167305,72,
G3-G1,probe,static,ld,T3,,response_state,4,spearman,0.06762170098088066,84,
G3-G1,probe,static,ld,T3,,response_state,4,pearson,0.19322042350350166,84,
G3-G1,probe,static,ld,T3,,response_state,4,r2,5.705376010762844,84,
G3-G1,probe,static,ld,T3,,response_state,4,mae,-0.6301450960826287,84,
G3-G1,probe,static,ld,T3,,response_state,4,rmse,-2.809885630758724,84,
G3-G1,probe,static,ld,T3,,response_state,4,rmse_gain_over_b0,1.3029861291028577,84,
G3-G1,probe,static,ld,T3,,response_state,4,prediction_target_variance_ratio,-5.864772055087444,84,
G3-G1,probe,static,sphericity,T0,,response_state,0,spearman,-0.020716112531969366,69,
G3-G1,probe,static,sphericity,T0,,response_state,0,pearson,0.012394856685014333,69,
G3-G1,probe,static,sphericity,T0,,response_state,0,r2,0.033145501733000016,69,
G3-G1,probe,static,sphericity,T0,,response_state,0,mae,-0.001085291854185877,69,
G3-G1,probe,static,sphericity,T0,,response_state,0,rmse,-0.0018100694106449322,69,
G3-G1,probe,static,sphericity,T0,,response_state,0,rmse_gain_over_b0,0.01847897294659369,69,
G3-G1,probe,static,sphericity,T0,,response_state,0,prediction_target_variance_ratio,0.06632040411502706,69,
G3-G1,probe,static,sphericity,T0,,response_state,1,spearman,0.02637880118125946,67,
G3-G1,probe,static,sphericity,T0,,response_state,1,pearson,-0.014145626468445638,67,
G3-G1,probe,static,sphericity,T0,,response_state,1,r2,-0.009776889544719114,67,
G3-G1,probe,static,sphericity,T0,,response_state,1,mae,0.0014956348283736015,67,
G3-G1,probe,static,sphericity,T0,,response_state,1,rmse,0.0005969320217400348,67,
G3-G1,probe,static,sphericity,T0,,response_state,1,rmse_gain_over_b0,-0.005692529265987456,67,
G3-G1,probe,static,sphericity,T0,,response_state,1,prediction_target_variance_ratio,0.0024556674681590895,67,
G3-G1,probe,static,sphericity,T0,,response_state,2,spearman,0.030309390873598907,83,
G3-G1,probe,static,sphericity,T0,,response_state,2,pearson,0.056039596070657505,83,
G3-G1,probe,static,sphericity,T0,,response_state,2,r2,0.037271145684465434,83,
G3-G1,probe,static,sphericity,T0,,response_state,2,mae,-0.001508888301672201,83,
G3-G1,probe,static,sphericity,T0,,response_state,2,rmse,-0.00151940466716452,83,
G3-G1,probe,static,sphericity,T0,,response_state,2,rmse_gain_over_b0,0.02013253596293238,83,
G3-G1,probe,static,sphericity,T0,,response_state,2,prediction_target_variance_ratio,0.06153308397756502,83,
G3-G1,probe,static,sphericity,T0,,response_state,3,spearman,0.07376680172358357,72,
G3-G1,probe,static,sphericity,T0,,response_state,3,pearson,-0.04278778983132503,72,
