model,task,target,timepoint,transition,representation,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G0,change,ftv,,T0→T1,response_state,375,375,5,0.4079228581181022,0.3484717904043807,0.11860000098075973,0.5623936271511624,0.7695346721639115,0.825048957340101,0.06728604973353776,0.6736634796504758,0.10628857664404708,0.15777696113079182
G0,change,ftv,,T1→T2,response_state,375,375,5,0.2597829104562522,0.24018970472606993,0.05765014358526943,0.8629588215944135,1.085844886337901,1.1219912655742514,0.032216275068638875,1.2545358537735374,0.06859129886219643,0.05467464214424771
G0,change,ftv,,T2→T3,response_state,375,375,5,0.24705176925702582,0.27190724174614816,0.07142971987964508,0.8833302553655232,1.1941356959965126,1.2415461637217322,0.03818663301499736,1.5397572143942888,0.15864540942072083,0.10303274304392782
G0,change,ld,,T0→T1,response_state,375,375,5,0.030652614405566207,0.006324593351181855,-0.023200675046627373,0.29774736484463843,0.5868438258441941,0.5822633677113744,-0.007866643149514128,0.33747680359088883,0.008470690608126129,0.025100067672783954
G0,change,ld,,T1→T2,response_state,375,375,5,-0.029064632600225026,-0.016560226278811315,-0.03612553379015493,0.9717138608277852,1.369516439246237,1.351418655859226,-0.01339169272863438,1.8150215617650214,0.05379259506038482,0.029637441335999392
G0,change,ld,,T2→T3,response_state,375,375,5,0.20226005781203799,0.12644224486472394,-0.00033671640969812344,0.9956141628610803,1.3282621359609694,1.328475342683335,0.00016048978518097199,1.7684021788052813,0.11315836283462118,0.06398904287206324
G0,change,sphericity,,T0→T1,response_state,375,375,5,0.03686016611673683,0.022240155996989523,-0.023218081689667658,0.05131443561243668,0.07100296236548981,0.07090939853803443,-0.001319484149977483,0.004940198467491306,0.00014566250078003107,0.02948515160646983
G0,change,sphericity,,T1→T2,response_state,375,375,5,0.030939811127545794,0.017934322414310637,-0.010273114581698994,0.07553682918643762,0.10715586625853377,0.10717154951027219,0.00014633782762393493,0.011396008720189683,0.00016643656368764032,0.014604811892849274
G0,change,sphericity,,T2→T3,response_state,375,375,5,0.0387887131641825,0.01913707542472616,-0.029958284986422168,0.09039657370074866,0.12922385054909494,0.1276291601039124,-0.012494718635491946,0.016256437762729836,0.0006059754562887174,0.037276029664875365
G0,static,ftv,T0,,response_state,375,375,5,0.7583172147001934,0.591061950116462,0.32037257877847036,14.035034877045435,35.17440519790726,44.60035130440287,0.21134241840747778,1825.333804041963,901.0582298552736,0.4936402469838656
G0,static,ftv,T1,,response_state,375,375,5,0.6738577767664126,0.4568212095111362,0.17384786382634765,11.475070000888486,34.24775568748158,39.040935299528144,0.12277317577748953,1423.5209688874065,485.0184298272629,0.3407174466887853
G0,static,ftv,T2,,response_state,375,375,5,0.4966225964273524,0.3305822474611798,0.027006365090904372,7.5066038934577035,30.680077009166613,31.89590142522411,0.03811851560012634,969.9795028937233,14.264203853527787,0.014705675543631213
