epoch,fold,model_name,model,lambda_ftv,learning_rate,total_loss,base_loss,ftv_loss,weighted_ftv_loss,val_base_loss,val_base_objective,val_ftv_metric,val_representation_std,representation_std,encoder_grad_norm,ftv_head_grad_norm,grounded_patients,grounded_visits,ungrounded_patients,val_ftv_loss,noncollapse,base_gate_pass,checkpoint_eligible,validation_selection_metric,is_selected_checkpoint,train_loss,train_base_loss,train_state_loss,train_sigreg_loss,train_gradient_norm,train_encoder_gradient_norm,train_response_projection_gradient_norm,train_ftv_head_gradient_norm,train_ftv_loss,train_weighted_ftv_loss,train_grounded_patients,train_ungrounded_patients,train_valid_ftv_visits,train_roi_valid_visits,train_roi_empty_visits,train_representation_std,train_samples,train_batches,train_seconds,train_peak_gpu_memory_mb,train_first_valid_base_shared_gradient_norm,train_first_valid_ftv_encoder_gradient_norm_raw,train_first_valid_ftv_response_projection_gradient_norm_raw,train_first_valid_ftv_head_gradient_norm_raw,train_first_valid_ftv_encoder_gradient_norm_weighted,train_first_valid_ftv_response_projection_gradient_norm_weighted,train_first_valid_ftv_head_gradient_norm_weighted,train_objective_reconstructed,val_loss,val_state_loss,val_sigreg_loss,val_gradient_norm,val_encoder_gradient_norm,val_response_projection_gradient_norm,val_ftv_head_gradient_norm,val_weighted_ftv_loss,val_grounded_patients,val_ungrounded_patients,val_valid_ftv_visits,val_roi_valid_visits,val_roi_empty_visits,val_samples,val_batches,val_seconds,val_peak_gpu_memory_mb,val_first_valid_base_shared_gradient_norm,val_first_valid_ftv_encoder_gradient_norm_raw,val_first_valid_ftv_response_projection_gradient_norm_raw,val_first_valid_ftv_head_gradient_norm_raw,val_first_valid_ftv_encoder_gradient_norm_weighted,val_first_valid_ftv_response_projection_gradient_norm_weighted,val_first_valid_ftv_head_gradient_norm_weighted,val_objective_reconstructed,source_history_file,source_history_sha256,run_name
4,1,G1,G1,0.0,5e-05,0.9192506699335008,0.9192506699335008,0.0,0.0,0.1187830700977774,0.8519403323654301,0.0,0.6794378161430359,0.6794378161430359,3.769570452826364,0.0,0.0,0.0,672.0,0.0,True,True,True,0.1187830700977774,False,0.9192506699335008,0.9192506699335008,0.1503355772722335,8.54350067320324,4.165234554381597,3.769570452826364,0.5530008290495191,0.0,0.0,0.0,0.0,672.0,0.0,2658.0,30.0,0.6938559412956238,672.0,21.0,11.49108947100467,28613.7578125,2.467951774597168,0.0,0.0,0.0,0.0,0.0,0.0,0.9192506699335008,0.8519403323654301,0.1187830700977774,8.146191502405593,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,484.0,0.0,121.0,4.0,1.941281131003052,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8519403323654301,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_1.csv,1acc1166e254cc92bdb3d3db38aaacf8fd9150292b3d9e38b024331ccfd4864d,g1
5,1,G1,G1,0.0,5e-05,0.8743759932972136,0.8743759932972136,0.0,0.0,0.1780223660478907,0.835226600820368,0.0,0.6987559199333191,0.6987559199333191,5.232202047393436,0.0,0.0,0.0,672.0,0.0,True,True,True,0.1780223660478907,False,0.8743759932972136,0.8743759932972136,0.1914400458335876,7.58817686353411,5.493706930251348,5.232202047393436,0.5567837471053714,0.0,0.0,0.0,0.0,672.0,0.0,2659.0,29.0,0.7280247211456299,672.0,21.0,11.6209999040002,28613.7578125,2.473698139190674,0.0,0.0,0.0,0.0,0.0,0.0,0.8743759932972136,0.835226600820368,0.1780223660478907,7.302269147447318,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,484.0,0.0,121.0,4.0,1.9446480439801237,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835226600820368,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_1.csv,1acc1166e254cc92bdb3d3db38aaacf8fd9150292b3d9e38b024331ccfd4864d,g1
6,1,G1,G1,0.0,5e-05,0.8849553210394723,0.8849553210394723,0.0,0.0,0.2488732192634551,0.8960194676375586,0.0,0.7158403396606445,0.7158403396606445,5.832154217220488,0.0,0.0,0.0,672.0,0.0,True,True,True,0.2488732192634551,False,0.8849553210394723,0.8849553210394723,0.2635184895424616,6.904853434789748,6.023860488619123,5.832154217220488,0.5793796039762951,0.0,0.0,0.0,0.0,672.0,0.0,2657.0,31.0,0.7566305994987488,672.0,21.0,11.413710433989763,28613.7578125,2.1396167278289795,0.0,0.0,0.0,0.0,0.0,0.0,0.8849553210394723,0.8960194676375586,0.2488732192634551,7.1905133192204245,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,484.0,0.0,121.0,4.0,2.019618802005425,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8960194676375586,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_1.csv,1acc1166e254cc92bdb3d3db38aaacf8fd9150292b3d9e38b024331ccfd4864d,g1
1,2,G1,G1,0.0,5e-05,2.1374126218614125,2.1374126218614125,0.0,0.0,0.2528577026995746,1.446265929001422,0.0,0.1367508620023727,0.1367508620023727,3.920969071842375,0.0,0.0,0.0,672.0,0.0,True,True,True,0.2528577026995746,False,2.1374126218614125,2.1374126218614125,0.8124066789944967,14.72228749593099,6.386990569886708,3.920969071842375,1.22672753958475,0.0,0.0,0.0,0.0,672.0,0.0,2657.0,31.0,0.2920959591865539,672.0,21.0,14.217605442012427,28605.53369140625,14.478721618652344,0.0,0.0,0.0,0.0,0.0,0.0,2.1374126218614125,1.446265929001422,0.2528577026995746,13.260091009218833,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,479.0,5.0,121.0,4.0,2.11259189498378,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446265929001422,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_2.csv,dec4f4952a71997bdcd87c6df64bd652b0fa01355571d3a7ac847771c31d70e2,g1
2,2,G1,G1,0.0,5e-05,1.398104571160816,1.398104571160816,0.0,0.0,0.0788241928397131,1.1666314562490163,0.0,0.2296806722879409,0.2296806722879409,1.835792484737578,0.0,0.0,0.0,672.0,0.0,True,True,True,0.0788241928397131,True,1.398104571160816,1.398104571160816,0.2058097996882029,13.247719083513532,2.81210834639413,1.835792484737578,0.6636128737812951,0.0,0.0,0.0,0.0,672.0,0.0,2657.0,31.0,0.186973288655281,672.0,21.0,12.178300942992792,28613.7578125,3.727235794067383,0.0,0.0,0.0,0.0,0.0,0.0,1.398104571160816,1.1666314562490163,0.0788241928397131,12.086746381334036,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,479.0,5.0,121.0,4.0,2.1582720490114298,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666314562490163,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_2.csv,dec4f4952a71997bdcd87c6df64bd652b0fa01355571d3a7ac847771c31d70e2,g1
3,2,G1,G1,0.0,5e-05,1.122311961083185,1.122311961083185,0.0,0.0,0.0895659406323078,0.8963894888389209,0.0,0.6349576711654663,0.6349576711654663,2.527530312538147,0.0,0.0,0.0,672.0,0.0,True,True,True,0.0895659406323078,False,1.122311961083185,1.122311961083185,0.1353221688242185,10.966553006853376,3.052978515625,2.527530312538147,0.5772749937715984,0.0,0.0,0.0,0.0,672.0,0.0,2657.0,31.0,0.4972069263458252,672.0,21.0,11.43094184002257,28613.7578125,1.914712905883789,0.0,0.0,0.0,0.0,0.0,0.0,1.122311961083185,0.8963894888389209,0.0895659406323078,8.964705711553904,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,479.0,5.0,121.0,4.0,1.9859116389998237,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8963894888389209,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_2.csv,dec4f4952a71997bdcd87c6df64bd652b0fa01355571d3a7ac847771c31d70e2,g1
4,2,G1,G1,0.0,5e-05,0.8997386580421811,0.8997386580421811,0.0,0.0,0.1133380433128885,0.8150044344673472,0.0,0.6904260516166687,0.6904260516166687,4.810378301711309,0.0,0.0,0.0,672.0,0.0,True,True,True,0.1133380433128885,False,0.8997386580421811,0.8997386580421811,0.1339953637548855,8.50825852439517,5.160557684444246,4.810378301711309,0.5520001550515493,0.0,0.0,0.0,0.0,672.0,0.0,2657.0,31.0,0.694868266582489,672.0,21.0,12.215700261993334,28613.7578125,2.3629043102264404,0.0,0.0,0.0,0.0,0.0,0.0,0.8997386580421811,0.8150044344673472,0.1133380433128885,7.796292967047573,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,479.0,5.0,121.0,4.0,2.0884407220000867,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8150044344673472,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_2.csv,dec4f4952a71997bdcd87c6df64bd652b0fa01355571d3a7ac847771c31d70e2,g1
5,2,G1,G1,0.0,5e-05,0.859911390713283,0.859911390713283,0.0,0.0,0.1731601247856439,0.8495169986378063,0.0,0.7003796696662903,0.7003796696662903,4.049917022387187,0.0,0.0,0.0,672.0,0.0,True,True,True,0.1731601247856439,False,0.859911390713283,0.859911390713283,0.1714899809587569,7.649126438867478,4.357319565046401,4.049917022387187,0.4976249493303753,0.0,0.0,0.0,0.0,672.0,0.0,2657.0,31.0,0.7123311161994934,672.0,21.0,11.743099854007596,28613.7578125,2.4854416847229004,0.0,0.0,0.0,0.0,0.0,0.0,0.859911390713283,0.8495169986378063,0.1731601247856439,7.515076144667696,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,479.0,5.0,121.0,4.0,2.026912456989521,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8495169986378063,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_2.csv,dec4f4952a71997bdcd87c6df64bd652b0fa01355571d3a7ac847771c31d70e2,g1
6,2,G1,G1,0.0,5e-05,0.9145561626979284,0.9145561626979284,0.0,0.0,0.2589781892693732,0.8878322061428354,0.0,0.7393501400947571,0.7393501400947571,6.15171263899122,0.0,0.0,0.0,672.0,0.0,True,True,True,0.2589781892693732,False,0.9145561626979284,0.9145561626979284,0.2397722623177937,7.497598534538632,6.375597942443121,6.15171263899122,0.5525825009459541,0.0,0.0,0.0,0.0,672.0,0.0,2658.0,30.0,0.7327727675437927,672.0,21.0,11.67274159399676,28613.7578125,5.016691207885742,0.0,0.0,0.0,0.0,0.0,0.0,0.9145561626979284,0.8878322061428354,0.2589781892693732,6.987266737567492,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,479.0,5.0,121.0,4.0,2.075946664001094,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8878322061428354,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_2.csv,dec4f4952a71997bdcd87c6df64bd652b0fa01355571d3a7ac847771c31d70e2,g1
1,3,G1,G1,0.0,5e-05,2.1808968782424927,2.1808968782424927,0.0,0.0,0.2930046989898051,1.4431935755674503,0.0,0.1975937634706497,0.1975937634706497,3.826488131568545,0.0,0.0,0.0,672.0,0.0,True,True,True,0.2930046989898051,False,2.1808968782424927,2.1808968782424927,0.8577645137196496,14.701470375061035,6.291456801550729,3.826488131568545,1.1845591777846929,0.0,0.0,0.0,0.0,672.0,0.0,2656.0,32.0,0.3541416823863983,672.0,21.0,14.1615777380066,28605.53369140625,13.302448272705078,0.0,0.0,0.0,0.0,0.0,0.0,2.1808968782424927,1.4431935755674503,0.2930046989898051,12.779875566151516,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,479.0,5.0,121.0,4.0,2.225097852991894,10280.75048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4431935755674503,additional_experiments/direct_grounded_response_state/metrics/training/formal/g1/fold_3.csv,855ca490eb6270fda5d83ba1f037bb7b44b031a41a526783382aed8e6131c816,g1
