comparison,kind,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit,n_patients,decision_point
G3-G1,probe,change,ld,,T2→T3,response_state,rmse,-0.00775895988455555,-0.02703159006174165,0.009105489267276274,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T2→T3,response_state,rmse_gain_over_b0,0.005840499733238204,-0.007116647356883131,0.020127740704964193,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,ld,,T2→T3,response_state,prediction_target_variance_ratio,0.012418725787628732,0.004614228335511275,0.021572264746001896,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T0→T1,response_state,spearman,0.03391853453180112,-0.03071823628172757,0.10060184372680214,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T0→T1,response_state,pearson,0.0026265272879792655,-0.055300814267603374,0.06056855039808367,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T0→T1,response_state,r2,0.04531734832551959,0.012678200597991364,0.08007830129004709,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T0→T1,response_state,mae,-0.0024496604921068754,-0.0036581922962017656,-0.0011916233699015234,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T0→T1,response_state,rmse,-0.0015441755073879043,-0.002612205384127609,-0.0004468285779141034,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T0→T1,response_state,rmse_gain_over_b0,0.021776739603278944,0.006086515580602597,0.037744468875452394,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T0→T1,response_state,prediction_target_variance_ratio,-0.04557199510729247,-0.06574778804934037,-0.030534454107394363,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T1→T2,response_state,spearman,0.05090909090909091,-0.0076415381529208555,0.11216419675090203,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T1→T2,response_state,pearson,0.023097526647211517,-0.029970544366764683,0.07850035691279753,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T1→T2,response_state,r2,0.0010749090011210605,-0.015649768898071497,0.019552660793321748,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T1→T2,response_state,mae,-0.00027829816407562435,-0.001207506852162778,0.0006251459725161602,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T1→T2,response_state,rmse,-5.6667927299178245e-05,-0.0009978424905185662,0.0008362585547024808,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T1→T2,response_state,rmse_gain_over_b0,0.0005287590555341061,-0.0076624826763128165,0.00965659602405692,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T1→T2,response_state,prediction_target_variance_ratio,0.005985603265803701,0.0027389574521066704,0.009915562191005318,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T2→T3,response_state,spearman,-0.008602571396063269,-0.06261240500685293,0.046094088161120914,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T2→T3,response_state,pearson,-0.03237889357291335,-0.09004309680084567,0.022769589686932833,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T2→T3,response_state,r2,-0.010359188187386348,-0.03223509932658869,0.011518326073090768,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T2→T3,response_state,mae,0.000738548318886964,-0.000611508763476246,0.0020801623037543728,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T2→T3,response_state,rmse,0.0006536146728247649,-0.0007386785177437529,0.002063079716447734,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T2→T3,response_state,rmse_gain_over_b0,-0.005121201708861898,-0.01590603684478994,0.00567511386929609,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,change,sphericity,,T2→T3,response_state,prediction_target_variance_ratio,-0.002345843802925844,-0.009198626577116509,0.004060209121442912,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T0,,response_state,spearman,0.06278256912049152,0.025226719220331394,0.09635709093652037,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T0,,response_state,pearson,-0.0026102031578945084,-0.08062012946623033,0.13394535761449217,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T0,,response_state,r2,-0.008512450788365489,-0.3524894219524885,0.14391903082441843,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T0,,response_state,mae,-0.9983503730032481,-2.1531345050029573,0.4879002503228542,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T0,,response_state,rmse,0.19365864983172543,-3.35776644517649,6.6724276141247065,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T0,,response_state,rmse_gain_over_b0,-0.004342087991863142,-0.16781362590344212,0.07978682016814385,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T0,,response_state,prediction_target_variance_ratio,0.1965915748474744,0.020069529383039235,0.6439939107035357,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T1,,response_state,spearman,0.08453498691546257,0.047104443489361617,0.12567282106065683,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T1,,response_state,pearson,0.06585806563031357,0.028170323087714853,0.11888872583762189,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T1,,response_state,r2,0.060074285304961506,0.02320265879787574,0.1756087041798798,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T1,,response_state,mae,-1.0344547078615456,-1.6281491727229345,-0.4812277054381549,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T1,,response_state,rmse,-1.1400870866690482,-2.2783233338184323,-0.4814943661129638,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T1,,response_state,rmse_gain_over_b0,0.02920235076137706,0.011335180703751814,0.08695167821131436,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T1,,response_state,prediction_target_variance_ratio,-0.059597584725766664,-0.28165948435216326,0.022743215124596435,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T2,,response_state,spearman,0.07170508590283309,0.019872994203855465,0.12627042319719342,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T2,,response_state,pearson,-0.000516384455112151,-0.034480284552939965,0.18842685644159143,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T2,,response_state,r2,-0.3826744380504432,-3.3001290528055325,0.17798969094216524,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T2,,response_state,mae,-0.29117080469308654,-1.2890063681304123,1.254376498085367,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T2,,response_state,rmse,5.0762361152276085,-1.842670378670417,16.649424249405886,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T2,,response_state,rmse_gain_over_b0,-0.1591501067034647,-0.8117267139706622,0.08810419983217299,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T2,,response_state,prediction_target_variance_ratio,0.45365986237032246,-0.127656987050954,3.64233052850038,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T3,,response_state,spearman,0.050349872018993824,-0.014696078669103822,0.11737232528114222,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T3,,response_state,pearson,0.058274764053135475,-0.10246245192619008,0.22333530518433733,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T3,,response_state,r2,0.06077191722126407,-0.038853385968074645,0.13652079821883578,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T3,,response_state,mae,-0.016282996280332362,-0.20688212404748668,0.21012347152180055,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T3,,response_state,rmse,-0.38608681532005207,-0.8392992353761478,0.13472979747176078,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T3,,response_state,rmse_gain_over_b0,0.0303760260578907,-0.018574007310466396,0.07024896301216357,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ftv,T3,,response_state,prediction_target_variance_ratio,0.0382217008536458,0.009607084895799803,0.14187131722929877,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T0,,response_state,spearman,0.013431792560334388,-0.03647596152587597,0.06316102178866091,2000,2000,patient_within_outer_fold,375,
G3-G1,probe,static,ld,T0,,response_state,pearson,0.01659201717288361,-0.03004607111800749,0.061008254315725416,2000,2000,patient_within_outer_fold,375,
