model,task,target,timepoint,transition,representation,fold,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G0,change,ftv,,T0→T1,response_state,4,84,84,1,0.36377442543282373,0.3847634644776397,0.11473098728693798,0.6307337211653415,0.9422970609807757,1.0105297814678649,0.06752173141099949,1.0150831156946283,0.07684985918979297,0.07570794745926207
G0,change,ftv,,T1→T2,response_state,4,84,84,1,0.17726030171104587,0.14411260992369074,0.014724374833118059,0.8370545822067724,1.0346282741424304,1.0423342566364653,0.0073930051180525315,1.0995428022327869,0.05321031002992686,0.04839312296153941
G0,change,ftv,,T2→T3,response_state,4,84,84,1,0.2701022577705781,0.31959910229392247,0.08811040195114905,0.847283479441405,1.2031398677732723,1.2608595990230793,0.04577807972793208,1.60653861200753,0.30391579946457314,0.18917428886741794
G0,change,ld,,T0→T1,response_state,4,84,84,1,-0.00832940973931095,-0.012295266655328879,-0.03626705783561501,0.33290940544079184,0.7231806945035407,0.720440158979099,-0.003803973848883212,0.5107673751239125,0.004127896474468303,0.008081754386655711
G0,change,ld,,T1→T2,response_state,4,84,84,1,-0.20487997928574336,-0.09010054241864117,-0.09413315447788895,1.1417004263755988,1.586119217659644,1.5274678485015414,-0.03839777656573264,2.327033683614645,0.09203719727194794,0.039551295677415395
G0,change,ld,,T2→T3,response_state,4,84,84,1,0.22149389605771344,0.1869003521264513,-0.02439916771165218,1.1828942561567966,1.6209106246256952,1.610234327974786,-0.0066302751502863725,2.595673806859932,0.3816085637419618,0.1470171493557604
G0,change,sphericity,,T0→T1,response_state,4,84,84,1,0.3295332590867672,0.15580625689913127,-0.03143404129154481,0.050879906402726285,0.07441755948203287,0.07532892815348403,0.012098521694006296,0.005433886708284002,0.0001966870235137618,0.03619637914311149
G0,change,sphericity,,T1→T2,response_state,4,84,84,1,-0.05922851068138099,-0.08106547327507968,-0.022055891106661063,0.07916825072642415,0.10123328775076415,0.10017593717946256,-0.010554935656926993,0.010147831121356376,7.87749246501373e-05,0.007762735081819939
G0,change,sphericity,,T2→T3,response_state,4,84,84,1,0.15184772704262428,0.01755296239325652,-0.00826945489953812,0.08966842191740157,0.1318912741397475,0.13142491867624256,-0.0035484554086258886,0.017460501391858944,0.00015672146650517612,0.008975771255815619
G0,static,ftv,T0,,response_state,4,84,84,1,0.7908069251797104,0.8740226223565546,0.7501932059825932,10.548957674008214,16.047199576510497,34.620895275648515,0.536488024103822,1043.2669651396625,795.1957330537313,0.7622169201411243
G0,static,ftv,T1,,response_state,4,84,84,1,0.6925584691708009,0.6289797654937462,0.2416879256721688,9.638216985244238,20.637262306932858,25.22803899630383,0.1819712063249771,568.4043474985558,563.2074937638267,0.9908571182511191
