file,sheet,column,dtype,role,feature_name,timepoint,unit,n_rows,n_non_null,n_missing,missing_ratio,n_unique,n_duplicates,min,q1,median,q3,max,planned_change,iqr_outlier_count
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,FTV_pch_T0_T3,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,384,,-99.9020568014516,-97.71909511168501,-94.5771321490008,-85.78494129010599,321.144893804913,源表保留，仅用于一致性核验,38
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,Sphericity_pch_T0_T1,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,384,,-92.5189924125286,-18.1076245090084,-1.76677826729284,17.583016606385076,207.272488144065,源表保留，仅用于一致性核验,18
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,Sphericity_pch_T0_T2,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,384,,-92.1858118309253,-13.1260083411614,9.476352112437855,42.1907571885036,431.611148235871,源表保留，仅用于一致性核验,25
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,Sphericity_pch_T0_T3,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,384,,-73.6691448013286,-4.355609279355418,25.552609788653648,71.74827924345345,524.10189073345,源表保留，仅用于一致性核验,14
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,LD_pch_T0_T1,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,245,,-100.0,-28.5714285714286,-14.2857142857143,0.0,482.352941176471,源表保留，仅用于一致性核验,20
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,LD_pch_T0_T2,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,245,,-100.0,-71.92934782608694,-41.8648310387985,-20.0,316.666666666667,源表保留，仅用于一致性核验,4
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,LD_pch_T0_T3,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,208,,-100.0,-100.0,-67.0542635658915,-36.99788583509515,261.538461538462,源表保留，仅用于一致性核验,5
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,BPE_pch_T0_T1,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,384,,-75.7501089312602,-33.30737688618635,-15.8761633337004,5.0066482396767995,338.540168923864,源表保留，仅用于一致性核验,10
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,BPE_pch_T0_T2,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,384,,-100.0,-43.031942976002554,-23.81782675324445,-2.6586948801771872,147.838772720183,源表保留，仅用于一致性核验,13
/data/data/Breast_Cancer/I-SPY2/Multi-feature-MRI-NACT-Data.xlsx,datawith4visits,BPE_pch_T0_T3,float64,baseline_relative_percent_change,,,%,384,384,0,0.0,381,,-100.0,-48.13142695592367,-28.94880492828115,-2.118276587392155,407.272835218334,源表保留，仅用于一致性核验,9
