target,model,spatial,timing,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,positive,n_folds,ece_bin_contract,auroc,auprc,brier,calibration_slope,calibration_intercept,ece_10bin
pCR,GAP0_mri_clinical_paired,GLOBAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.6807187750074293,0.519363105955456,0.24088668640720626,1.4751293443450062,-1.7062971511989968,0.22652477283850292
pCR,GAP0_mri_clinical_paired,GLOBAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6432590051457978,0.45789038400750925,0.24820653118086564,3.4648976972998433,0.6149805411958962,0.21492884601189155
pCR,GAP0_mri_clinical_paired,GLOBAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.6566951544979764,0.49780163417755763,0.24928365311601067,0.930390541921627,-0.06331029474281472,0.24569368888332366
pCR,GAP0_mri_ftv,GLOBAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.48535162950257293,0.28258863643594356,0.2612625336788661,0.04587451189282167,-0.8700139092166237,0.19384317104213275
pCR,GAP0_mri_ftv,GLOBAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.4830112668562645,0.31648382215107845,0.2615149459059457,-0.20109091644027108,-0.9582459204195871,0.22992670996893674
pCR,GAP0_mri_ftv,GLOBAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.49588336192109783,0.29686319866257027,0.3051958735203956,3.3719101415496526,-1.2577150938829829,0.2611005041912346
pCR,GAP0_mri_ftv,GLOBAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.4835939967179204,0.3132874871100857,0.30439971642070957,1.9091528517553613,-2.018325930902976,0.2640962544864484
pCR,GAP0_mri_ftv,GLOBAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.567032590051458,0.3333082884714222,0.2892769828830714,2.377819846023555,-4.685704135358732,0.2428798385923585
pCR,GAP0_mri_ftv,GLOBAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.5638776834284633,0.3475731560992351,0.28996766820179276,1.1535232481330298,0.2148307634176593,0.2608556581436456
pCR,GAP0_mri_only,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.4948968105065666,0.3333011547850203,0.25936392493068267,-0.10927436646808063,-0.6677553490027595,0.16757249504806024
pCR,GAP0_mri_only,GLOBAL,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.4983164745675766,0.3587778865262379,0.2593364606397667,0.13232625601827983,-0.6596700612545199,0.16931294407913022
pCR,GAP0_mri_only,GLOBAL,T0-T1,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.5136551253624424,0.3522822205007249,0.26624498225610116,2.272428412762567,2.0339907633746863,0.17887655514044148
