endpoint,value_column,primary,verifiable,grand_mean,ss_seed,ss_fold,ss_residual,df_seed,df_fold,df_residual,ms_seed,ms_fold,ms_residual,raw_seed_component,raw_fold_component,raw_interaction_sampling_component,clipped_seed_component,clipped_fold_component,clipped_interaction_sampling_component,sqrt_seed_component,sqrt_fold_component,sqrt_interaction_sampling_component,seed_share,fold_share,interaction_sampling_share,dominance,residual_label,no_cell_replication
dynamic_spearman,dD_sf,True,True,0.08082150862749887,0.005068070497980817,0.011971045514679576,0.02799040657892215,4,4,16,0.0012670176244952043,0.002992761378669894,0.0017494004111826343,-9.647655733748599e-05,0.00024867219349745197,0.0017494004111826343,0.0,0.00024867219349745197,0.0017494004111826343,0.0,0.015769343470717224,0.041825834255668284,0.0,0.12445603473817066,0.8755439652618292,interaction_and_metric_sampling_error,seed×fold interaction + metric sampling error,True
static_spearman,dS_sf,False,True,0.05468523377008275,0.003414708151712338,0.0014663032897911776,0.015595098922002419,4,4,16,0.0008536770379280845,0.0003665758224477944,0.0009746936826251512,-2.4203328939413345e-05,-0.00012162357203547136,0.0009746936826251512,0.0,0.0,0.0009746936826251512,0.0,0.0,0.03122008460310688,0.0,0.0,1.0,interaction_and_metric_sampling_error,seed×fold interaction + metric sampling error,True
base_degradation,D,False,True,0.04042070901651907,0.00878029214334622,0.0014159076893984631,0.051550156252091285,4,4,16,0.002195073035836555,0.0003539769223496158,0.0032218847657557053,-0.00020536234598383002,-0.0005735815686812179,0.0032218847657557053,0.0,0.0,0.0032218847657557053,0.0,0.0,0.05676164872302165,0.0,0.0,1.0,interaction_and_metric_sampling_error,seed×fold interaction + metric sampling error,True
