fold,static_delta_spearman_mean,static_delta_spearman_sd,delta_ftv_delta_spearman_mean,delta_ftv_delta_spearman_sd,base_failure_count,base_failure_rate,base_degradation_mean,base_degradation_sd
0,0.047824260138838184,0.023045838527760956,0.07127511874314943,0.053471624253009324,1,0.2,0.033294724855699995,0.029792539751255013
1,0.049247745231063955,0.029030122000269054,0.08092425572671405,0.02104409509939833,2,0.4,0.03217749809077125,0.044479347345610154
2,0.06217308257419922,0.039483947450727724,0.047614849642472354,0.044997844018768635,2,0.4,0.040169713852482566,0.03152813578620065
3,0.04845970801980835,0.02096659577661908,0.09008725105580208,0.015979942481468338,2,0.4,0.05283478019237684,0.08682613507386697
4,0.06572137288650401,0.03714852442397388,0.11420606796935642,0.05179175805444084,1,0.2,0.04362682809126467,0.060694342864218674
